ID,Title,Link,Roles,Type,Season,Year,Score,Members
40272,A3! Season Autumn & Winter,https://myanimelist.net/anime/40272/A3_Season_Autumn___Winter,Art Director,TV,Fall,2020,7.25,23971.0
52193,Akiba Meido Sensou,https://myanimelist.net/anime/52193/Akiba_Meido_Sensou,Art Director,TV,Fall,2022,7.58,176464.0
59675,Apocalypse Hotel,https://myanimelist.net/anime/59675/Apocalypse_Hotel,Art Director,TV,Spring,2025,,9701.0
37716,Beelzebub-jou no Okinimesu mama.,https://myanimelist.net/anime/37716/Beelzebub-jou_no_Okinimesu_mama,Art Director,TV,Fall,2018,7.22,102742.0
30485,ChäoS;Child,https://myanimelist.net/anime/30485/ChäoS_Child,Background Art (eps 2-12),TV,Winter,2017,6.3,137089.0
35315,ChäoS;Child: Silent Sky,https://myanimelist.net/anime/35315/ChäoS_Child__Silent_Sky,Background Art,Movie,,2017,6.5,25704.0
39533,Given,https://myanimelist.net/anime/39533/Given,Art Director,TV,Summer,2019,8.3,602858.0
17729,Grisaia no Kajitsu,https://myanimelist.net/anime/17729/Grisaia_no_Kajitsu,Background Art (eps 3-13),TV,Fall,2014,7.46,639169.0
29093,Grisaia no Meikyuu: Caprice no Mayu 0,https://myanimelist.net/anime/29093/Grisaia_no_Meikyuu__Caprice_no_Mayu_0,Background Art,TV Special,,2015,7.81,240238.0
29095,Grisaia no Rakuen,https://myanimelist.net/anime/29095/Grisaia_no_Rakuen,Background Art,TV,Spring,2015,7.73,425610.0
48644,Gyakuten Sekai no Denchi Shoujo,https://myanimelist.net/anime/48644/Gyakuten_Sekai_no_Denchi_Shoujo,Art Director,TV,Fall,2021,6.3,22642.0
58913,Hikaru ga Shinda Natsu,https://myanimelist.net/anime/58913/Hikaru_ga_Shinda_Natsu,Art Director,TV,Summer,2025,,32202.0
33204,Hirune Hime: Shiranai Watashi no Monogatari,https://myanimelist.net/anime/33204/Hirune_Hime__Shiranai_Watashi_no_Monogatari,Background Art,Movie,,2017,6.83,41511.0
40716,Kakushigoto,https://myanimelist.net/anime/40716/Kakushigoto,Art Director,TV,Spring,2020,7.97,341781.0
44586,Kakushigoto Movie,https://myanimelist.net/anime/44586/Kakushigoto_Movie,Art Director,Movie,,2021,7.68,43224.0
10937,Kidou Senshi Gundam: The Origin,https://myanimelist.net/anime/10937/Kidou_Senshi_Gundam__The_Origin,Background Art,OVA,,2015,8.32,78633.0
35241,Konohana Kitan,https://myanimelist.net/anime/35241/Konohana_Kitan,Background Art,TV,Fall,2017,7.48,161963.0
22145,Kuroshitsuji: Book of Circus,https://myanimelist.net/anime/22145/Kuroshitsuji__Book_of_Circus,Background Art,TV,Summer,2014,8.06,424705.0
31490,One Piece Film: Gold,https://myanimelist.net/anime/31490/One_Piece_Film__Gold,Background Art,Movie,,2016,7.87,235966.0
31716,Rewrite,https://myanimelist.net/anime/31716/Rewrite,Background Art,TV,Summer,2016,6.64,215289.0
60326,"Watashi ga Koibito ni Nareru Wake Nai jan, Muri Muri! (※Muri ja Nakatta!?)",https://myanimelist.net/anime/60326/Watashi_ga_Koibito_ni_Nareru_Wake_Nai_jan_Muri_Muri_※Muri_ja_Nakatta,Background Art (Art Design),TV,Summer,2025,,11359.0
55866,Yubisaki to Renren,https://myanimelist.net/anime/55866/Yubisaki_to_Renren,Art Director,TV,Winter,2024,8.21,286306.0
