ID,Title,Link,Roles,Type,Season,Year,Score,Members
41457,86,https://myanimelist.net/anime/41457/86,Director of Photography,TV,Spring,2021,8.32,870176.0
48569,86 Part 2,https://myanimelist.net/anime/48569/86_Part_2,Director of Photography,TV,Fall,2021,8.71,568138.0
40517,Ano Hi no Kokoro wo Toraete,https://myanimelist.net/anime/40517/Ano_Hi_no_Kokoro_wo_Toraete,Director of Photography,ONA,,2019,5.91,2504.0
9919,Ao no Exorcist,https://myanimelist.net/anime/9919/Ao_no_Exorcist,Director of Photography,TV,Spring,2011,7.48,1994566.0
33506,Ao no Exorcist: Kyoto Fujouou-hen,https://myanimelist.net/anime/33506/Ao_no_Exorcist__Kyoto_Fujouou-hen,Director of Photography,TV,Winter,2017,7.34,797015.0
34465,Ao no Exorcist: Kyoto Fujouou-hen OVA,https://myanimelist.net/anime/34465/Ao_no_Exorcist__Kyoto_Fujouou-hen_OVA,Director of Photography,OVA,,2017,7.09,74479.0
59675,Apocalypse Hotel,https://myanimelist.net/anime/59675/Apocalypse_Hotel,Director of Photography,TV,Spring,2025,,9703.0
34662,Fate/Apocrypha,https://myanimelist.net/anime/34662/Fate_Apocrypha,Director of Photography,TV,Summer,2017,7.2,495530.0
19367,Galilei Donna,https://myanimelist.net/anime/19367/Galilei_Donna,Director of Photography,TV,Fall,2013,6.41,54278.0
28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",https://myanimelist.net/anime/28907/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri,Director of Photography,TV,Summer,2015,7.68,846119.0
52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,Director of Photography,Movie,,2022,8.74,320238.0
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,Director of Photography,TV,Winter,2019,8.4,1833322.0
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,Director of Photography,TV,Spring,2022,8.98,1016562.0
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,Director of Photography,TV,Spring,2020,8.62,1417387.0
25517,Magic Kaito 1412,https://myanimelist.net/anime/25517/Magic_Kaito_1412,Director of Photography,TV,Fall,2014,7.86,130078.0
39753,"Omoi, Omoware, Furi, Furare",https://myanimelist.net/anime/39753/Omoi_Omoware_Furi_Furare,Director of Photography,Movie,,2020,7.25,83856.0
31645,Persona 5 the Animation: The Day Breakers,https://myanimelist.net/anime/31645/Persona_5_the_Animation__The_Day_Breakers,Director of Photography,TV Special,,2016,7.06,58301.0
13517,Ryuugajou Nanana no Maizoukin PV,https://myanimelist.net/anime/13517/Ryuugajou_Nanana_no_Maizoukin_PV,Director of Photography,PV,,2011,6.55,14221.0
23439,Toki wa Meguru: Tokyo Station,https://myanimelist.net/anime/23439/Toki_wa_Meguru__Tokyo_Station,Director of Photography,ONA,,2014,6.52,5358.0
12431,Uchuu Kyoudai,https://myanimelist.net/anime/12431/Uchuu_Kyoudai,Director of Photography,TV,Spring,2012,8.48,201906.0
22583,Uchuu Kyoudai: Number Zero,https://myanimelist.net/anime/22583/Uchuu_Kyoudai__Number_Zero,Director of Photography,Movie,,2014,7.59,8002.0
