ID,Title,Link,Roles,Type,Season,Year,Score,Members
28805,Bakemono no Ko,https://myanimelist.net/anime/28805/Bakemono_no_Ko,Assistant Director,Movie,,2015,8.23,439878.0
6920,Blade,https://myanimelist.net/anime/6920/Blade,Episode Director (Assistant Episode Director: OP),TV,Summer,2011,6.22,29862.0
53633,Bullbuster,https://myanimelist.net/anime/53633/Bullbuster,"Director, Series Composition",TV,Fall,2023,6.18,13678.0
6024,Chi's Sweet Home: Atarashii Ouchi,https://myanimelist.net/anime/6024/Chis_Sweet_Home__Atarashii_Ouchi,"Script (eps 73-76), Episode Director (ep 97)",TV,Spring,2009,7.71,31426.0
40056,Deca-Dence,https://myanimelist.net/anime/40056/Deca-Dence,"Storyboard (ep 9), Episode Director (ep 9)",TV,Summer,2020,7.35,313898.0
21681,Hanayamata,https://myanimelist.net/anime/21681/Hanayamata,Storyboard (ep 5),TV,Summer,2014,7.31,113880.0
38628,Hero Mask,https://myanimelist.net/anime/38628/Hero_Mask,"Director, Script, Series Composition",ONA,,2018,6.28,34318.0
40154,Hero Mask 2nd Season,https://myanimelist.net/anime/40154/Hero_Mask_2nd_Season,"Director, Series Composition",ONA,,2019,6.49,13765.0
8074,Highschool of the Dead,https://myanimelist.net/anime/8074/Highschool_of_the_Dead,"Episode Director (OP, ED1-12)",TV,Summer,2010,7.07,1560130.0
9515,Highschool of the Dead: Drifters of the Dead,https://myanimelist.net/anime/9515/Highschool_of_the_Dead__Drifters_of_the_Dead,Episode Director,OVA,,2011,6.62,315942.0
11061,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,"Storyboard (eps 26, 53, 60, 67, 75, 81, OP1), Episode Director, Assistant Director (eps 27-89), Setting (eps 1-26)",TV,Fall,2011,9.03,2996854.0
19951,Hunter x Hunter Movie 2: The Last Mission,https://myanimelist.net/anime/19951/Hunter_x_Hunter_Movie_2__The_Last_Mission,"Storyboard, Assistant Director",Movie,,2013,7.28,190523.0
5039,Kurozuka,https://myanimelist.net/anime/5039/Kurozuka,Key Animation (OP),TV,Fall,2008,6.85,99858.0
19815,No Game No Life,https://myanimelist.net/anime/19815/No_Game_No_Life,Episode Director (ep 9),TV,Spring,2014,8.05,2478056.0
52093,Trigun Stampede,https://myanimelist.net/anime/52093/Trigun_Stampede,Storyboard (ep 4),TV,Winter,2023,7.83,208820.0
29854,Ushio to Tora (TV),https://myanimelist.net/anime/29854/Ushio_to_Tora_TV,"Storyboard (ED2, ep 21), Episode Director (ED2, eps 15, 21)",TV,Summer,2015,7.57,233345.0
6919,X-Men,https://myanimelist.net/anime/6919/X-Men,Episode Director (ED),TV,Spring,2011,6.31,28742.0
