ID,Title,Link,Roles,Type,Season,Year,Score,Members
9332,.hack//Quantum,https://myanimelist.net/anime/9332/hack__Quantum,Key Animation (ep 2),OVA,,2011,7.11,41882.0
102,Aishiteruze Baby★★,https://myanimelist.net/anime/102/Aishiteruze_Baby★★,Key Animation (ED),TV,Spring,2004,7.43,105554.0
49052,Ao Ashi,https://myanimelist.net/anime/49052/Ao_Ashi,"Animation Director (ep 4), Key Animation (ep 9)",TV,Spring,2022,8.16,234114.0
971,Astro Boy: Tetsuwan Atom,https://myanimelist.net/anime/971/Astro_Boy__Tetsuwan_Atom,Key Animation (ep 34),TV,Spring,2003,7.08,26863.0
6920,Blade,https://myanimelist.net/anime/6920/Blade,"Character Design (Sub-Character Design), Animation Director (ep 12, ED), Key Animation (eps 1, 3, 7, 11, ED)",TV,Summer,2011,6.22,29863.0
41587,Boku no Hero Academia 5th Season,https://myanimelist.net/anime/41587/Boku_no_Hero_Academia_5th_Season,Key Animation (ep 23),TV,Spring,2021,7.35,1266060.0
37451,Boogiepop wa Warawanai (2019),https://myanimelist.net/anime/37451/Boogiepop_wa_Warawanai_2019,Key Animation (ep 8),TV,Winter,2019,7.06,237027.0
1681,Brave Story,https://myanimelist.net/anime/1681/Brave_Story,Animation Director,Movie,,2006,7.4,46104.0
33354,Cardcaptor Sakura: Clear Card-hen,https://myanimelist.net/anime/33354/Cardcaptor_Sakura__Clear_Card-hen,"Animation Director (eps 2, 15), Key Animation (eps 7, 9)",TV,Winter,2018,7.66,128565.0
4975,ChäoS;HEAd,https://myanimelist.net/anime/4975/ChäoS_HEAd,Key Animation (ep 3),TV,Fall,2008,6.28,292960.0
52215,Chi. Chikyuu no Undou ni Tsuite,https://myanimelist.net/anime/52215/Chi_Chikyuu_no_Undou_ni_Tsuite,Key Animation (OP),TV,Fall,2024,8.69,170625.0
37914,Chikyuugai Shounen Shoujo,https://myanimelist.net/anime/37914/Chikyuugai_Shounen_Shoujo,Key Animation (ep 5),ONA,,2022,6.82,41635.0
14893,"Dakara Boku wa, H ga Dekinai. Mie Sugi! Mizugi Contest",https://myanimelist.net/anime/14893/Dakara_Boku_wa_H_ga_Dekinai_Mie_Sugi_Mizugi_Contest,Key Animation,OVA,,2013,6.62,67805.0
41461,Date A Live IV,https://myanimelist.net/anime/41461/Date_A_Live_IV,"Character Design (Monster Design for eps 5, 11), Key Animation (ep 5)",TV,Spring,2022,7.75,273142.0
2164,Dennou Coil,https://myanimelist.net/anime/2164/Dennou_Coil,"Animation Director (eps 16, 21), Key Animation (eps 1-2, 4, 6, 8, 13, 15, 20, 23, 26)",TV,Spring,2007,8.02,152638.0
18689,Diamond no Ace,https://myanimelist.net/anime/18689/Diamond_no_Ace,Animation Director (ep 1),TV,Fall,2013,8.11,255217.0
38731,Diamond no Ace: Act II,https://myanimelist.net/anime/38731/Diamond_no_Ace__Act_II,"Chief Animation Director, Animation Director (eps 3-4, OP1-2)",TV,Spring,2019,8.27,95633.0
10534,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,https://myanimelist.net/anime/10534/Doraemon_Movie_31__Shin_Nobita_to_Tetsujin_Heidan_-_Habatake_Tenshi-tachi,Key Animation,Movie,,2011,8.29,18627.0
9330,Dragon Crisis!,https://myanimelist.net/anime/9330/Dragon_Crisis,Animation Director (ep 11),TV,Winter,2011,6.61,176287.0
10260,Eiyuu Densetsu: Sora no Kiseki The Animation,https://myanimelist.net/anime/10260/Eiyuu_Densetsu__Sora_no_Kiseki_The_Animation,"Key Animation (ep 2, OP)",OVA,,2011,6.42,18254.0
4039,Golgo 13 (TV),https://myanimelist.net/anime/4039/Golgo_13_TV,Key Animation (OP1),TV,Spring,2008,7.51,45269.0
49345,"Goodbye, Don Glees!",https://myanimelist.net/anime/49345/Goodbye_Don_Glees,"Animation Director, Key Animation",Movie,,2022,7.47,27815.0
10793,Guilty Crown,https://myanimelist.net/anime/10793/Guilty_Crown,Key Animation (OP2),TV,Fall,2011,7.4,1247938.0
37704,High School Fleet Movie,https://myanimelist.net/anime/37704/High_School_Fleet_Movie,Key Animation,Movie,,2020,7.62,18611.0
8074,Highschool of the Dead,https://myanimelist.net/anime/8074/Highschool_of_the_Dead,"Key Animation (eps 6, 12, OP)",TV,Summer,2010,7.07,1560130.0
