ID,Title,Link,Roles,Type,Season,Year,Score,Members
39783,5-toubun no Hanayome ∬,https://myanimelist.net/anime/39783/5-toubun_no_Hanayome_∬,Key Animation (ep 3),TV,Winter,2021.0,8.02,762821.0
58957,9: Ruler's Crown,https://myanimelist.net/anime/58957/9__Rulers_Crown,Character Design,,,,,2387.0
11339,A-Channel+smile,https://myanimelist.net/anime/11339/A-Channel_smile,Key Animation (ep 1),OVA,,2012.0,7.09,23271.0
7647,Arakawa Under the Bridge,https://myanimelist.net/anime/7647/Arakawa_Under_the_Bridge,Key Animation (ep 12),TV,Spring,2010.0,7.56,364435.0
9074,Arakawa Under the Bridge x Bridge,https://myanimelist.net/anime/9074/Arakawa_Under_the_Bridge_x_Bridge,Key Animation (ep 13),TV,Fall,2010.0,7.71,169195.0
13535,Binbougami ga!,https://myanimelist.net/anime/13535/Binbougami_ga,Key Animation (ep 6),TV,Summer,2012.0,7.66,241147.0
10719,Boku wa Tomodachi ga Sukunai,https://myanimelist.net/anime/10719/Boku_wa_Tomodachi_ga_Sukunai,Key Animation (ep 7),TV,Fall,2011.0,7.14,833192.0
32866,Brave Witches,https://myanimelist.net/anime/32866/Brave_Witches,"Animation Director (ep 1), Key Animation (ep 1)",TV,Fall,2016.0,6.78,62626.0
21677,Captain Earth,https://myanimelist.net/anime/21677/Captain_Earth,Key Animation (ep 21),TV,Spring,2014.0,6.4,68737.0
15037,Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,https://myanimelist.net/anime/15037/Corpse_Party__Tortured_Souls_-_Bougyakusareta_Tamashii_no_Jukyou,Key Animation (ep 2),OVA,,2013.0,6.42,395220.0
18689,Diamond no Ace,https://myanimelist.net/anime/18689/Diamond_no_Ace,Animation Director (ep 74),TV,Fall,2013.0,8.11,255217.0
40956,Enen no Shouboutai: Ni no Shou,https://myanimelist.net/anime/40956/Enen_no_Shouboutai__Ni_no_Shou,Key Animation (ep 11),TV,Summer,2020.0,7.82,830201.0
6702,Fairy Tail,https://myanimelist.net/anime/6702/Fairy_Tail,"2nd Key Animation (ep 63), Key Animation (eps 75, 85, 101, 115, 129, 140, 148, 157)",TV,Fall,2009.0,7.57,1794248.0
9982,Fairy Tail OVA,https://myanimelist.net/anime/9982/Fairy_Tail_OVA,2nd Key Animation (ep 2),OVA,,2011.0,7.46,170125.0
33047,Fate/Extra: Last Encore,https://myanimelist.net/anime/33047/Fate_Extra__Last_Encore,Key Animation (ep 6),TV,Winter,2018.0,6.3,229070.0
37651,Fate/Extra: Last Encore - Illustrias Tendousetsu,https://myanimelist.net/anime/37651/Fate_Extra__Last_Encore_-_Illustrias_Tendousetsu,Key Animation (ep 1),TV,Summer,2018.0,6.52,79359.0
22189,"Futsuu no Joshikousei ga ""Locodol"" Yattemita.",https://myanimelist.net/anime/22189/Futsuu_no_Joshikousei_ga_Locodol_Yattemita,"Animation Director (eps 5, 9)",TV,Summer,2014.0,6.88,47188.0
25719,"Futsuu no Joshikousei ga ""Locodol"" Yattemita.: Nagarekawa, Annai Shitemita.",https://myanimelist.net/anime/25719/Futsuu_no_Joshikousei_ga_Locodol_Yattemita__Nagarekawa_Annai_Shitemita,Animation Director,Special,,2014.0,6.88,10595.0
23289,Gekkan Shoujo Nozaki-kun,https://myanimelist.net/anime/23289/Gekkan_Shoujo_Nozaki-kun,"Key Animation (eps 2, 7)",TV,Summer,2014.0,7.82,958463.0
6795,Genius Party Beyond,https://myanimelist.net/anime/6795/Genius_Party_Beyond,In-Between Animation (ep 5),Movie,,2008.0,7.16,21548.0
587,Hanbun no Tsuki ga Noboru Sora,https://myanimelist.net/anime/587/Hanbun_no_Tsuki_ga_Noboru_Sora,In-Between Animation (ep 5),TV,Winter,2006.0,7.44,103102.0
16982,Hayate no Gotoku! Cuties,https://myanimelist.net/anime/16982/Hayate_no_Gotoku_Cuties,Key Animation (ep 8),TV,Spring,2013.0,7.02,46675.0
15225,Hentai Ouji to Warawanai Neko.,https://myanimelist.net/anime/15225/Hentai_Ouji_to_Warawanai_Neko,Key Animation (ep 3),TV,Spring,2013.0,7.14,461817.0
28883,Hidan no Aria AA,https://myanimelist.net/anime/28883/Hidan_no_Aria_AA,Animation Director (ep 3),TV,Fall,2015.0,6.19,105493.0
28825,Himouto! Umaru-chan,https://myanimelist.net/anime/28825/Himouto_Umaru-chan,Animation Director (ep 8),TV,Summer,2015.0,7.1,715270.0
2174,Hokuto no Ken: Raoh Gaiden Gekitou-hen,https://myanimelist.net/anime/2174/Hokuto_no_Ken__Raoh_Gaiden_Gekitou-hen,In-Between Animation,Movie,,2007.0,7.56,10978.0
19951,Hunter x Hunter Movie 2: The Last Mission,https://myanimelist.net/anime/19951/Hunter_x_Hunter_Movie_2__The_Last_Mission,Key Animation,Movie,,2013.0,7.28,190523.0
40748,Jujutsu Kaisen,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,"Animation Director (eps 3-4, 8, 10, 19, 21, 24), Key Animation (ep 8, ED2), Assistant Animation Director (eps 13, 15)",TV,Fall,2020.0,8.56,2777157.0
48561,Jujutsu Kaisen 0 Movie,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie,Key Animation,Movie,,2021.0,8.41,1098839.0
51009,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,"Animation Director (eps 6-7, 10, 13, 15, 18, 21-23), Assistant Animation Director (ep 8)",TV,Summer,2023.0,8.76,1163142.0
10372,Kamisama Dolls,https://myanimelist.net/anime/10372/Kamisama_Dolls,Key Animation (ep 8),TV,Summer,2011.0,6.99,74229.0
1604,Katekyou Hitman Reborn!,https://myanimelist.net/anime/1604/Katekyou_Hitman_Reborn,"Key Animation (eps 181, 185, 193)",TV,Fall,2006.0,8.12,571904.0
2408,Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!,https://myanimelist.net/anime/2408/Keroro_Gunsou_Movie_2__Shinkai_no_Princess_de_Arimasu,In-Between Animation,Movie,,2007.0,7.28,6036.0
5290,Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,https://myanimelist.net/anime/5290/Keroro_Gunsou_Movie_3__Tenkuu_Daikessen_de_Arimasu,In-Between Animation,Movie,,2008.0,7.39,5613.0
36098,Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,Key Animation,Movie,,2018.0,8.55,1036903.0
40595,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",https://myanimelist.net/anime/40595/Kimi_to_Boku_no_Saigo_no_Senjou_Aruiwa_Sekai_ga_Hajimaru_Seisen,"Animation Director (eps 2, 7)",TV,Fall,2020.0,6.69,323085.0
22535,Kiseijuu: Sei no Kakuritsu,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,Animation Director (ep 13),TV,Fall,2014.0,8.32,1953511.0
15379,Kotoura-san,https://myanimelist.net/anime/15379/Kotoura-san,Key Animation (ep 6),TV,Winter,2013.0,7.15,353460.0
28623,Koutetsujou no Kabaneri,https://myanimelist.net/anime/28623/Koutetsujou_no_Kabaneri,"Key Animation (eps 5, 12)",TV,Spring,2016.0,7.28,849585.0
7598,Loups=Garous,https://myanimelist.net/anime/7598/Loups_Garous,In-Between Animation,Movie,,2010.0,6.24,18210.0
3019,Lupin III: Kiri no Elusive,https://myanimelist.net/anime/3019/Lupin_III__Kiri_no_Elusive,In-Between Animation,Special,,2007.0,6.74,7016.0
14513,Magi: The Labyrinth of Magic,https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic,Key Animation (ep 4),TV,Fall,2012.0,8.01,1082756.0
5029,Major Movie: Yuujou no Winning Shot,https://myanimelist.net/anime/5029/Major_Movie__Yuujou_no_Winning_Shot,In-Between Animation,Movie,,2008.0,7.95,21539.0
31537,Manaria Friends,https://myanimelist.net/anime/31537/Manaria_Friends,Animation Director (ep 4),TV,Winter,2019.0,6.68,129953.0
28817,Mikagura Gakuen Kumikyoku (TV),https://myanimelist.net/anime/28817/Mikagura_Gakuen_Kumikyoku_TV,"Key Animation (eps 2, 12, OP1)",TV,Spring,2015.0,6.67,91911.0
20541,Mikakunin de Shinkoukei,https://myanimelist.net/anime/20541/Mikakunin_de_Shinkoukei,"Key Animation (eps 2, 10)",TV,Winter,2014.0,7.36,408217.0
3342,Mnemosyne: Mnemosyne no Musume-tachi,https://myanimelist.net/anime/3342/Mnemosyne__Mnemosyne_no_Musume-tachi,In-Between Animation (ep 4),TV,Winter,2008.0,7.24,193083.0
3001,Moyashimon,https://myanimelist.net/anime/3001/Moyashimon,"In-Between Animation (eps 7, 11)",TV,Fall,2007.0,7.55,75339.0
31953,New Game!,https://myanimelist.net/anime/31953/New_Game,"Key Animation (eps 2, 6, 10)",TV,Summer,2016.0,7.55,443639.0
24227,Nisekoi OVA,https://myanimelist.net/anime/24227/Nisekoi_OVA,Key Animation (ep 3),OVA,,2014.0,7.36,170198.0
39583,number24,https://myanimelist.net/anime/39583/number24,"Character Design, Chief Animation Director",TV,Winter,2020.0,6.73,65371.0
5341,Ookami to Koushinryou II,https://myanimelist.net/anime/5341/Ookami_to_Koushinryou_II,"In-Between Animation (eps 1, 3)",TV,Summer,2009.0,8.3,509077.0
8769,Ore no Imouto ga Konnani Kawaii Wake ga Nai,https://myanimelist.net/anime/8769/Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai,Key Animation (ep 8),TV,Fall,2010.0,6.93,703518.0
607,Otogi Juushi Akazukin,https://myanimelist.net/anime/607/Otogi_Juushi_Akazukin,In-Between Animation (ep 7),TV,Summer,2006.0,6.93,8435.0
26243,Owari no Seraph,https://myanimelist.net/anime/26243/Owari_no_Seraph,Key Animation (ep 10),TV,Spring,2015.0,7.48,1395709.0
10588,Persona 4 the Animation,https://myanimelist.net/anime/10588/Persona_4_the_Animation,"Key Animation (eps 18, 24)",TV,Fall,2011.0,7.51,271877.0
14267,Persona 4 the Animation: The Factor of Hope,https://myanimelist.net/anime/14267/Persona_4_the_Animation__The_Factor_of_Hope,Key Animation,Movie,,2012.0,7.26,19809.0
27775,Plastic Memories,https://myanimelist.net/anime/27775/Plastic_Memories,"Animation Director (ep 9), Key Animation (ep 13)",TV,Spring,2015.0,7.91,985922.0
28617,Punch Line,https://myanimelist.net/anime/28617/Punch_Line,Key Animation (ep 2),TV,Spring,2015.0,6.89,240432.0
34126,Rewrite 2nd Season,https://myanimelist.net/anime/34126/Rewrite_2nd_Season,Animation Director (ep 5),TV,Winter,2017.0,7.17,118316.0
11123,Sekaiichi Hatsukoi 2,https://myanimelist.net/anime/11123/Sekaiichi_Hatsukoi_2,Key Animation (ep 6),TV,Fall,2011.0,7.81,161150.0
