ID,Title,Link,Roles,Type,Season,Year,Score,Members
40060,BNA,https://myanimelist.net/anime/40060/BNA,"Key Animation (eps 1-2, 5, 8, 10-12)",TV,Spring,2020,7.34,385953.0
42310,Cyberpunk: Edgerunners,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners,"Animation Director (eps 4, 9-10), Key Animation (eps 1-2)",ONA,,2022,8.61,889584.0
35849,Darling in the FranXX,https://myanimelist.net/anime/35849/Darling_in_the_FranXX,"2nd Key Animation (eps 3-4, 6-8, 12, 14), In-Between Animation (ep 8), Key Animation (ep 10)",TV,Winter,2018,7.19,1725928.0
52701,Dungeon Meshi,https://myanimelist.net/anime/52701/Dungeon_Meshi,"Storyboard (ep 16), Animation Director (eps 10, 14, 16), Key Animation (ep 1)",TV,Winter,2024,8.6,461383.0
50587,Gridman Universe,https://myanimelist.net/anime/50587/Gridman_Universe,"Animation Director, Key Animation",Movie,,2023,8.06,35620.0
33489,Little Witch Academia (TV),https://myanimelist.net/anime/33489/Little_Witch_Academia_TV,In-Between Animation,TV,Winter,2017,7.81,671592.0
51145,Pokemon Legends Arceus: Yuki Hodo Kishi Futaai,https://myanimelist.net/anime/51145/Pokemon_Legends_Arceus__Yuki_Hodo_Kishi_Futaai,Character Design (Sub Character Design),ONA,,2022,7.4,17713.0
35848,Promare,https://myanimelist.net/anime/35848/Promare,Key Animation,Movie,,2019,7.9,292365.0
40870,SSSS.Dynazenon,https://myanimelist.net/anime/40870/SSSSDynazenon,"Key Animation (eps 2-3, 6-7, 11-12)",TV,Spring,2021,7.43,140616.0
35847,SSSS.Gridman,https://myanimelist.net/anime/35847/SSSSGridman,"Key Animation (eps 1-2, 5, 7, 9-10, 12)",TV,Fall,2018,7.13,312878.0
49357,Star Wars: Visions,https://myanimelist.net/anime/49357/Star_Wars__Visions,Key Animation,ONA,,2021,7.09,95769.0
