ID,Title,Link,Roles,Type,Season,Year,Score,Members
9201,Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,https://myanimelist.net/anime/9201/Air_Gear__Kuro_no_Hane_to_Nemuri_no_Mori_-_Break_on_the_Sky,Background Art (Art Design),OVA,,2010,7.56,67667.0
12149,AKB0048,https://myanimelist.net/anime/12149/AKB0048,Background Art (Art Design),TV,Spring,2012,7.34,63524.0
14941,AKB0048: Next Stage,https://myanimelist.net/anime/14941/AKB0048__Next_Stage,Background Art (Art Design),TV,Winter,2013,7.62,37924.0
5675,Basquash!,https://myanimelist.net/anime/5675/Basquash,Background Art (Art Design),TV,Spring,2009,7.19,48496.0
40256,Cannon Busters,https://myanimelist.net/anime/40256/Cannon_Busters,Background Art,ONA,,2019,6.43,44025.0
39063,Fairy Gone,https://myanimelist.net/anime/39063/Fairy_Gone,Background Art (Art Design),TV,Spring,2019,5.8,172379.0
39811,Fairy Gone Part 2,https://myanimelist.net/anime/39811/Fairy_Gone_Part_2,Background Art (Art Design),TV,Fall,2019,6.35,50797.0
9938,Ikoku Meiro no Croisée The Animation,https://myanimelist.net/anime/9938/Ikoku_Meiro_no_Croisée_The_Animation,Background Art (Art Design),TV,Summer,2011,7.41,60506.0
57502,Meiji Gekken: 1874,https://myanimelist.net/anime/57502/Meiji_Gekken__1874,"Art Director, Background Art (Art Design)",TV,Winter,2024,6.32,14843.0
8917,Mouretsu Pirates,https://myanimelist.net/anime/8917/Mouretsu_Pirates,Background Art (Art Design),TV,Winter,2012,7.13,76473.0
14817,Mouretsu Pirates: Abyss of Hyperspace,https://myanimelist.net/anime/14817/Mouretsu_Pirates__Abyss_of_Hyperspace,Background Art (Art Design),Movie,,2014,7.1,14172.0
56285,Ninja Kamui,https://myanimelist.net/anime/56285/Ninja_Kamui,Art Director,TV,Winter,2024,6.64,180708.0
57325,Ramen Akaneko,https://myanimelist.net/anime/57325/Ramen_Akaneko,Art Director,TV,Summer,2024,7.38,15365.0
11751,Senki Zesshou Symphogear,https://myanimelist.net/anime/11751/Senki_Zesshou_Symphogear,Background Art (Art Design),TV,Winter,2012,7.04,124064.0
32843,Senki Zesshou Symphogear XV,https://myanimelist.net/anime/32843/Senki_Zesshou_Symphogear_XV,Background Art (Art Design),TV,Summer,2019,8.19,41617.0
30736,Shingeki no Bahamut: Virgin Soul,https://myanimelist.net/anime/30736/Shingeki_no_Bahamut__Virgin_Soul,"Storyboard (Assistant, eps 17-18)",TV,Spring,2017,7.42,252214.0
35790,Tate no Yuusha no Nariagari,https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari,Background Art (ep 1),TV,Winter,2019,7.93,1677616.0
