ID,Title,Link,Roles,Type,Season,Year,Score,Members
477,Aria the Animation,https://myanimelist.net/anime/477/Aria_the_Animation,"Episode Director (eps 7, 10, 13), Assistant Director (Assistant Assistant Director)",TV,Fall,2005,7.68,170463.0
29893,Aria the Avvenire,https://myanimelist.net/anime/29893/Aria_the_Avvenire,Assistant Director,Special,,2015,7.88,29445.0
48411,Aria the Benedizione,https://myanimelist.net/anime/48411/Aria_the_Benedizione,"Director, Storyboard, Episode Director",Movie,,2021,7.96,9842.0
41674,Aria the Crepuscolo,https://myanimelist.net/anime/41674/Aria_the_Crepuscolo,"Director, Storyboard, Episode Director",Movie,,2021,7.75,14034.0
962,Aria the Natural,https://myanimelist.net/anime/962/Aria_the_Natural,"Storyboard (eps 3, 11, 21), Episode Director (eps 3, 11, 21, 26), Assistant Director (Assistant Assistant Director)",TV,Spring,2006,8.16,82355.0
3297,Aria the Origination,https://myanimelist.net/anime/3297/Aria_the_Origination,"Storyboard (eps 2-3, 9), Episode Director (eps 2, 9, 13), Assistant Director (Assistant Assistant Director)",TV,Winter,2008,8.47,135151.0
2563,Aria the OVA: Arietta,https://myanimelist.net/anime/2563/Aria_the_OVA__Arietta,Assistant Director (Assistant Assistant Director),OVA,,2007,7.99,39731.0
33371,Atom: The Beginning,https://myanimelist.net/anime/33371/Atom__The_Beginning,"Storyboard (ep 2), Episode Director (ep 2)",TV,Spring,2017,6.8,32412.0
31964,Boku no Hero Academia,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia,"Storyboard (ep 11), Episode Director (ep 11)",TV,Spring,2016,7.84,3152475.0
40256,Cannon Busters,https://myanimelist.net/anime/40256/Cannon_Busters,Director,ONA,,2019,6.43,44025.0
50139,Disney: Twisted-Wonderland The Animation - Episode of Heartslabyul,https://myanimelist.net/anime/50139/Disney__Twisted-Wonderland_The_Animation_-_Episode_of_Heartslabyul,"Director (Chief Director), Series Composition",ONA,,2025,,10801.0
12471,Eureka Seven AO,https://myanimelist.net/anime/12471/Eureka_Seven_AO,"Storyboard (ep 7), Episode Director (ep 7)",TV,Spring,2012,6.64,98956.0
15,Eyeshield 21,https://myanimelist.net/anime/15/Eyeshield_21,Episode Director (ep 90),TV,Spring,2005,7.91,189614.0
12875,Ginga e Kickoff!!,https://myanimelist.net/anime/12875/Ginga_e_Kickoff,"Storyboard (eps 14, 20)",TV,Spring,2012,7.2,28448.0
8425,Gosick,https://myanimelist.net/anime/8425/Gosick,"Storyboard (ep 16), Episode Director (ep 16)",TV,Winter,2011,8.04,576592.0
