ID,Title,Link,Roles,Type,Season,Year,Score,Members
46352,Blue Period,https://myanimelist.net/anime/46352/Blue_Period,"Storyboard (ep 10), Episode Director (ep 10)",TV,Fall,2021,7.79,498466.0
50549,Bubble,https://myanimelist.net/anime/50549/Bubble,2nd Key Animation,ONA,,2022,7.24,228735.0
30778,Fairy Tail Movie 2: Dragon Cry,https://myanimelist.net/anime/30778/Fairy_Tail_Movie_2__Dragon_Cry,Animation Director,Movie,,2017,7.56,200339.0
31630,"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!",https://myanimelist.net/anime/31630/Gyakuten_Saiban__Sono_Shinjitsu_Igi_Ari,"Animation Director (eps 1, 4, 11, 19-20, 23), Key Animation (eps 1, 3, 11, 15, 21, 24, OP1), Assistant Animation Director (eps 2-3, 24, OP2)",TV,Spring,2016,6.53,143395.0
37259,Hanebado!,https://myanimelist.net/anime/37259/Hanebado,"Episode Director (ep 7), Key Animation (eps 1-2, 6-7)",TV,Summer,2018,6.84,162008.0
16982,Hayate no Gotoku! Cuties,https://myanimelist.net/anime/16982/Hayate_no_Gotoku_Cuties,"Key Animation (eps 4, 9)",TV,Spring,2013,7.02,46675.0
55848,Isekai Suicide Squad,https://myanimelist.net/anime/55848/Isekai_Suicide_Squad,"Storyboard (ep 6), Episode Director (ep 6), Key Animation (ep 2)",TV,Summer,2024,6.44,150517.0
53747,Kimi no Iro,https://myanimelist.net/anime/53747/Kimi_no_Iro,Key Animation,Movie,,2024,7.69,33209.0
13655,Little Busters!,https://myanimelist.net/anime/13655/Little_Busters,2nd Key Animation (ep 15),TV,Fall,2012,7.48,299919.0
34541,Mary to Majo no Hana,https://myanimelist.net/anime/34541/Mary_to_Majo_no_Hana,Key Animation,Movie,,2017,7.26,105415.0
28927,Owari no Seraph: Nagoya Kessen-hen,https://myanimelist.net/anime/28927/Owari_no_Seraph__Nagoya_Kessen-hen,Key Animation (ep 12),TV,Fall,2015,7.61,823722.0
51145,Pokemon Legends Arceus: Yuki Hodo Kishi Futaai,https://myanimelist.net/anime/51145/Pokemon_Legends_Arceus__Yuki_Hodo_Kishi_Futaai,"Storyboard (ep 2), Episode Director (ep 2), Key Animation (ep 2)",ONA,,2022,7.4,17714.0
10257,Pretty Rhythm: Aurora Dream,https://myanimelist.net/anime/10257/Pretty_Rhythm__Aurora_Dream,"2nd Key Animation (ep 11), In-Between Animation (ep 33)",TV,Spring,2011,7.42,23930.0
30727,Saenai Heroine no Sodatekata ♭,https://myanimelist.net/anime/30727/Saenai_Heroine_no_Sodatekata_♭,Assistant Animation Director (ep 6),TV,Spring,2017,7.76,384721.0
22273,Selector Infected WIXOSS,https://myanimelist.net/anime/22273/Selector_Infected_WIXOSS,Key Animation (ep 3),TV,Spring,2014,7.21,153641.0
24037,Selector Spread WIXOSS,https://myanimelist.net/anime/24037/Selector_Spread_WIXOSS,Key Animation (ep 11),TV,Fall,2014,7.35,80377.0
30344,The iDOLM@STER Cinderella Girls 2nd Season,https://myanimelist.net/anime/30344/The_iDOLMSTER_Cinderella_Girls_2nd_Season,Key Animation (ep 6),TV,Summer,2015,7.34,38008.0
16011,Tokyo Ravens,https://myanimelist.net/anime/16011/Tokyo_Ravens,Animation Director (ep 13),TV,Fall,2013,7.4,503059.0
37521,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,"Episode Director (ep 18), Animation Director (ep 4), Key Animation (eps 6, 23, OP2), Assistant Animation Director (ep 14)",TV,Summer,2019,8.77,1656465.0
49387,Vinland Saga Season 2,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,Key Animation (ep 20),TV,Winter,2023,8.81,727695.0
46095,Vivy: Fluorite Eye's Song,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song,"Episode Director (ep 4), Character Design (Sub Character Design: ep 4)",TV,Spring,2021,8.39,574025.0
21639,Yu☆Gi☆Oh! Arc-V,https://myanimelist.net/anime/21639/Yu☆Gi☆Oh_Arc-V,"Animation Director (eps 19, 29)",TV,Spring,2014,6.72,68254.0
