ID,Title,Link,Roles,Type,Season,Year,Score,Members
40554,"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku",https://myanimelist.net/anime/40554/Uchuu_Senkan_Yamato_to_Iu_Jidai__Seireki_2202-nen_no_Sentaku,Episode Director,Movie,,2021,6.66,4537.0
5342,Asura Cryin',https://myanimelist.net/anime/5342/Asura_Cryin,Episode Director (ep 2),TV,Spring,2009,6.88,103936.0
6772,Break Blade Movie 1: Kakusei no Toki,https://myanimelist.net/anime/6772/Break_Blade_Movie_1__Kakusei_no_Toki,Episode Director,Movie,,2010,7.62,86547.0
1536,Busou Renkin,https://myanimelist.net/anime/1536/Busou_Renkin,Episode Director (ep 20),TV,Fall,2006,7.29,176352.0
31147,Concrete Revolutio: Choujin Gensou,https://myanimelist.net/anime/31147/Concrete_Revolutio__Choujin_Gensou,"Episode Director (eps 4, 9)",TV,Fall,2015,6.64,93195.0
32313,Concrete Revolutio: Choujin Gensou - The Last Song,https://myanimelist.net/anime/32313/Concrete_Revolutio__Choujin_Gensou_-_The_Last_Song,Episode Director (ep 6),TV,Spring,2016,6.98,37583.0
1250,Erementar Gerad,https://myanimelist.net/anime/1250/Erementar_Gerad,"Storyboard (eps 2, 6, 19), Episode Director (eps 2, 6, 8, 12, 19, 25)",TV,Spring,2005,7.23,98401.0
29787,Gochuumon wa Usagi desu ka??,https://myanimelist.net/anime/29787/Gochuumon_wa_Usagi_desu_ka,"Storyboard (eps 3-4), Episode Director (ep 3)",TV,Fall,2015,7.77,136936.0
43229,Godzilla: S.P,https://myanimelist.net/anime/43229/Godzilla__SP,Episode Director (ep 11),TV,Spring,2021,6.65,71712.0
37245,Gundam Build Divers,https://myanimelist.net/anime/37245/Gundam_Build_Divers,"Episode Director (eps 5, 11, 18)",TV,Spring,2018,6.31,33228.0
19319,Gundam Build Fighters,https://myanimelist.net/anime/19319/Gundam_Build_Fighters,"Episode Director (eps 5, 10, 15, 20)",TV,Fall,2013,7.74,78279.0
35982,Gundam Build Fighters: GM no Gyakushuu,https://myanimelist.net/anime/35982/Gundam_Build_Fighters__GM_no_Gyakushuu,Episode Director,ONA,,2017,7.15,10254.0
2002,Heroic Age,https://myanimelist.net/anime/2002/Heroic_Age,"Episode Director (eps 5, 20, 23)",TV,Spring,2007,7.5,115540.0
934,Higurashi no Naku Koro ni,https://myanimelist.net/anime/934/Higurashi_no_Naku_Koro_ni,Episode Director (ep 5),TV,Spring,2006,7.87,831109.0
34420,Isekai Izakaya: Koto Aitheria no Izakaya Nobu,https://myanimelist.net/anime/34420/Isekai_Izakaya__Koto_Aitheria_no_Izakaya_Nobu,"Episode Director (eps 13, 18)",ONA,,2018,7.48,47779.0
1594,Jigoku Shoujo Futakomori,https://myanimelist.net/anime/1594/Jigoku_Shoujo_Futakomori,"Episode Director (eps 6, 13, 23)",TV,Fall,2006,7.87,166297.0
16668,Kakumeiki Valvrave,https://myanimelist.net/anime/16668/Kakumeiki_Valvrave,Episode Director (ep 8),TV,Spring,2013,7.12,175468.0
3503,Kanokon,https://myanimelist.net/anime/3503/Kanokon,"Storyboard (eps 3, 11), Episode Director (eps 1, 3, 5, 11)",TV,Spring,2008,6.36,257791.0
6791,Kanokon: Manatsu no Dai Shanikusai,https://myanimelist.net/anime/6791/Kanokon__Manatsu_no_Dai_Shanikusai,Episode Director (ep 1),OVA,,2009,6.52,46700.0
32686,Keijo!!!!!!!!,https://myanimelist.net/anime/32686/Keijo,Episode Director (ep 7),TV,Fall,2016,6.9,414637.0
24439,Kekkai Sensen,https://myanimelist.net/anime/24439/Kekkai_Sensen,Episode Director (ep 5),TV,Spring,2015,7.59,911660.0
10808,Kidou Senshi Gundam AGE,https://myanimelist.net/anime/10808/Kidou_Senshi_Gundam_AGE,"Storyboard (ep 38), Episode Director (eps 7, 13, 23, 30, 38, 45)",TV,Fall,2011,6.47,34256.0
49828,Kidou Senshi Gundam: Suisei no Majo,https://myanimelist.net/anime/49828/Kidou_Senshi_Gundam__Suisei_no_Majo,Episode Director (ep 10),TV,Fall,2022,7.85,171620.0
31251,Kidou Senshi Gundam: Tekketsu no Orphans,https://myanimelist.net/anime/31251/Kidou_Senshi_Gundam__Tekketsu_no_Orphans,"Episode Director (eps 6, 14, 20)",TV,Fall,2015,8.06,257636.0
33051,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,https://myanimelist.net/anime/33051/Kidou_Senshi_Gundam__Tekketsu_no_Orphans_2nd_Season,"Episode Director (eps 4, 11, 18)",TV,Fall,2016,8.23,152078.0
34599,Made in Abyss,https://myanimelist.net/anime/34599/Made_in_Abyss,"Episode Director (eps 3, 10)",TV,Summer,2017,8.64,1462536.0
157,Mahou Sensei Negima!,https://myanimelist.net/anime/157/Mahou_Sensei_Negima,"Episode Director (eps 13, 26)",TV,Winter,2005,6.92,145452.0
