ID,Title,Link,Roles,Type,Season,Year,Score,Members
6408,"""Bungaku Shoujo"" Movie",https://myanimelist.net/anime/6408/Bungaku_Shoujo_Movie,2nd Key Animation,Movie,,2010,7.31,69747.0
9332,.hack//Quantum,https://myanimelist.net/anime/9332/hack__Quantum,Key Animation (ep 3),OVA,,2011,7.11,41877.0
39783,5-toubun no Hanayome ∬,https://myanimelist.net/anime/39783/5-toubun_no_Hanayome_∬,Chief Animation Director (Assistant Chief Animation Director: ep 4),TV,Winter,2021,8.02,762474.0
24699,Ai Tenchi Muyou!,https://myanimelist.net/anime/24699/Ai_Tenchi_Muyou,Key Animation (ep 42),TV,Fall,2014,6.14,37826.0
7152,Anyamal Tantei Kiruminzoo,https://myanimelist.net/anime/7152/Anyamal_Tantei_Kiruminzoo,Animation Director (ep 3),TV,Fall,2009,7.14,9660.0
477,Aria the Animation,https://myanimelist.net/anime/477/Aria_the_Animation,Key Animation (Yumeta Company),TV,Fall,2005,7.68,170424.0
7817,B-gata H-kei,https://myanimelist.net/anime/7817/B-gata_H-kei,"Animation Director (ep 6b, 11b)",TV,Spring,2010,6.83,401016.0
32827,B: The Beginning,https://myanimelist.net/anime/32827/B__The_Beginning,Key Animation (ep 9),ONA,,2018,7.15,359625.0
8516,Baka to Test to Shoukanjuu Ni!,https://myanimelist.net/anime/8516/Baka_to_Test_to_Shoukanjuu_Ni,"Animation Director (ep 2, 4-5, 7, 12), Key Animation (OP)",TV,Summer,2011,7.66,378563.0
9471,Baka to Test to Shoukanjuu: Matsuri,https://myanimelist.net/anime/9471/Baka_to_Test_to_Shoukanjuu__Matsuri,Key Animation (ep 2),OVA,,2011,7.55,128607.0
32947,Battery,https://myanimelist.net/anime/32947/Battery,Key Animation (ep 1),TV,Summer,2016,5.71,53829.0
11241,Brave 10,https://myanimelist.net/anime/11241/Brave_10,Animation Director (ep 9),TV,Winter,2012,6.73,150996.0
11103,Busou Shinki Moon Angel,https://myanimelist.net/anime/11103/Busou_Shinki_Moon_Angel,Key Animation,ONA,,2011,6.53,13570.0
9539,Cardfight!! Vanguard,https://myanimelist.net/anime/9539/Cardfight_Vanguard,"Key Animation (ep 4, 16, 22, 28, 46), Assistant Animation Director (ep 10)",TV,Winter,2011,7.03,56319.0
10578,C³,https://myanimelist.net/anime/10578/C³,"Animation Director (ep 2-3, 5, 7, 10, 12)",TV,Fall,2011,6.57,180693.0
32483,Cheer Danshi!!,https://myanimelist.net/anime/32483/Cheer_Danshi,"Animation Director (ep 2, 8)",TV,Summer,2016,6.66,65556.0
11703,Code:Breaker,https://myanimelist.net/anime/11703/Code_Breaker,"Key Animation (ep 1, 4, 10, 13)",TV,Fall,2012,6.71,344411.0
7048,Crush Gear Nitro,https://myanimelist.net/anime/7048/Crush_Gear_Nitro,In-Between Animation (Studio Dub),TV,Winter,2003,6.14,2184.0
20031,D-Frag!,https://myanimelist.net/anime/20031/D-Frag,Key Animation (ep 11),TV,Winter,2014,7.5,404435.0
29976,Dance with Devils,https://myanimelist.net/anime/29976/Dance_with_Devils,Animation Director (ep 3),TV,Fall,2015,6.19,132920.0
15583,Date A Live,https://myanimelist.net/anime/15583/Date_A_Live,Key Animation (ep 5),TV,Spring,2013,7.14,1078027.0
9493,Dororon Enma-kun Meeramera,https://myanimelist.net/anime/9493/Dororon_Enma-kun_Meeramera,Key Animation (ep 8),TV,Spring,2011,6.45,19137.0
10260,Eiyuu Densetsu: Sora no Kiseki The Animation,https://myanimelist.net/anime/10260/Eiyuu_Densetsu__Sora_no_Kiseki_The_Animation,Key Animation (ep 1-2),OVA,,2011,6.42,18253.0
15,Eyeshield 21,https://myanimelist.net/anime/15/Eyeshield_21,Key Animation,TV,Spring,2005,7.91,189544.0
6702,Fairy Tail,https://myanimelist.net/anime/6702/Fairy_Tail,Key Animation (ep 39),TV,Fall,2009,7.57,1793876.0
33010,FLCL Progressive,https://myanimelist.net/anime/33010/FLCL_Progressive,Key Animation,Movie,,2018,6.33,137336.0
9367,Freezing,https://myanimelist.net/anime/9367/Freezing,Key Animation (ep 10),TV,Winter,2011,6.78,334151.0
