ID,Title,Link,Roles,Type,Season,Year,Score,Members
55584,Chocolate Town,https://myanimelist.net/anime/55584/Chocolate_Town,Theme Song Performance,Music,,2018,6.43,273.0
53613,Dead Mount Death Play,https://myanimelist.net/anime/53613/Dead_Mount_Death_Play,Theme Song Performance (OP),TV,Spring,2023,7.27,262071.0
50076,Gusha no Parade,https://myanimelist.net/anime/50076/Gusha_no_Parade,Theme Song Performance,Music,,2019,6.43,340.0
40046,Id:Invaded,https://myanimelist.net/anime/40046/Id_Invaded,Theme Song Performance (OP),TV,Winter,2020,7.82,394524.0
43492,Mr. Fixer,https://myanimelist.net/anime/43492/Mr_Fixer,Theme Song Performance,Music,,2020,6.86,1298.0
55472,Nero,https://myanimelist.net/anime/55472/Nero,Theme Song Performance,Music,,2023,6.66,1178.0
38992,Rikei ga Koi ni Ochita no de Shoumei shitemita.,https://myanimelist.net/anime/38992/Rikei_ga_Koi_ni_Ochita_no_de_Shoumei_shitemita,Theme Song Performance (ED),TV,Winter,2020,7.34,373802.0
50932,Saikyou Onmyouji no Isekai Tenseiki,https://myanimelist.net/anime/50932/Saikyou_Onmyouji_no_Isekai_Tenseiki,Theme Song Performance (ED3),TV,Winter,2023,7.12,245615.0
57100,The New Gate,https://myanimelist.net/anime/57100/The_New_Gate,"Theme Song Performance (OP, ED1), Inserted Song Performance (eps 11-12)",TV,Spring,2024,6.44,128260.0
55581,Tomadoi Rhythm,https://myanimelist.net/anime/55581/Tomadoi_Rhythm,Theme Song Performance,Music,,2022,,153.0
55582,Utopia (2020),https://myanimelist.net/anime/55582/Utopia_2020,Theme Song Performance,Music,,2020,,134.0
55583,Yosasou,https://myanimelist.net/anime/55583/Yosasou,Theme Song Performance,Music,,2021,,144.0
57533,Youkai Gakkou no Sensei Hajimemashita!,https://myanimelist.net/anime/57533/Youkai_Gakkou_no_Sensei_Hajimemashita,Theme Song Performance (OP2),TV,Fall,2024,7.17,34609.0
58502,Zenshuu.,https://myanimelist.net/anime/58502/Zenshuu,Theme Song Performance (ED1),TV,Winter,2025,7.6,110397.0
