ID,Title,Link,Roles,Type,Season,Year,Score,Members
21995,Ao Haru Ride,https://myanimelist.net/anime/21995/Ao_Haru_Ride,Animation Director (ep 10),TV,Summer,2014.0,7.63,969805.0
49613,Chiyu Mahou no Machigatta Tsukaikata,https://myanimelist.net/anime/49613/Chiyu_Mahou_no_Machigatta_Tsukaikata,Chief Animation Director (ep 7),TV,Winter,2024.0,7.53,267213.0
3230,Druaga no Tou: The Aegis of Uruk,https://myanimelist.net/anime/3230/Druaga_no_Tou__The_Aegis_of_Uruk,"2nd Key Animation (eps 5-6, 10, 12)",TV,Spring,2008.0,7.12,122059.0
23199,Durarara!!x2 Shou,https://myanimelist.net/anime/23199/Durararax2_Shou,2nd Key Animation (ep 2),TV,Winter,2015.0,7.97,498726.0
6702,Fairy Tail,https://myanimelist.net/anime/6702/Fairy_Tail,In-Between Animation (ep 22),TV,Fall,2009.0,7.57,1793876.0
10187,HenSemi (TV),https://myanimelist.net/anime/10187/HenSemi_TV,2nd Key Animation (ep 6),TV,Spring,2011.0,6.49,47292.0
40842,Idoly Pride,https://myanimelist.net/anime/40842/Idoly_Pride,"Episode Director (eps 3, 5, 7, 9, 11-12)",TV,Winter,2021.0,7.41,70536.0
29785,Jitsu wa Watashi wa,https://myanimelist.net/anime/29785/Jitsu_wa_Watashi_wa,Animation Director (ep 8),TV,Summer,2015.0,6.82,285561.0
48675,Kakkou no Iinazuke,https://myanimelist.net/anime/48675/Kakkou_no_Iinazuke,Chief Animation Director,TV,Spring,2022.0,6.87,305284.0
32568,Kamiwaza Wanda,https://myanimelist.net/anime/32568/Kamiwaza_Wanda,Character Design,TV,Spring,2016.0,,724.0
53163,Kawaisugi Crisis,https://myanimelist.net/anime/53163/Kawaisugi_Crisis,Character Design,TV,Spring,2023.0,6.81,44628.0
58853,Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai,https://myanimelist.net/anime/58853/Kuroiwa_Medaka_ni_Watashi_no_Kawaii_ga_Tsuujinai,Character Design,TV,Winter,2025.0,6.57,86451.0
25283,Kuusen Madoushi Kouhosei no Kyoukan,https://myanimelist.net/anime/25283/Kuusen_Madoushi_Kouhosei_no_Kyoukan,Animation Director (ep 1),TV,Summer,2015.0,6.3,266598.0
54617,Kyuujitsu no Warumono-san,https://myanimelist.net/anime/54617/Kyuujitsu_no_Warumono-san,"Animation Director (eps 8, 12)",TV,Winter,2024.0,7.25,93451.0
40578,Lupin III: Prison of the Past,https://myanimelist.net/anime/40578/Lupin_III__Prison_of_the_Past,Key Animation,TV Special,,2019.0,6.89,5717.0
5597,Natsu no Arashi!,https://myanimelist.net/anime/5597/Natsu_no_Arashi,Assistant Animation Director (ep 2),TV,Spring,2009.0,7.23,56378.0
23673,Ookami Shoujo to Kuro Ouji,https://myanimelist.net/anime/23673/Ookami_Shoujo_to_Kuro_Ouji,Animation Director (ep 2),TV,Fall,2014.0,7.0,487944.0
5671,Saki,https://myanimelist.net/anime/5671/Saki,2nd Key Animation (ep 5),TV,Spring,2009.0,7.45,97075.0
5220,Shangri-La,https://myanimelist.net/anime/5220/Shangri-La,2nd Key Animation (ep 4),TV,Spring,2009.0,7.04,66465.0
36531,Shinkansen Henkei Robo Shinkalion The Animation,https://myanimelist.net/anime/36531/Shinkansen_Henkei_Robo_Shinkalion_The_Animation,Animation Director (ep 56),TV,Winter,2018.0,6.8,4762.0
61174,Sozai Saishuka no Isekai Ryokouki,https://myanimelist.net/anime/61174/Sozai_Saishuka_no_Isekai_Ryokouki,Character Design,,,,,1179.0
45055,Taishou Otome Otogibanashi,https://myanimelist.net/anime/45055/Taishou_Otome_Otogibanashi,Character Design,TV,Fall,2021.0,7.79,159865.0
40357,Tate no Yuusha no Nariagari Season 3,https://myanimelist.net/anime/40357/Tate_no_Yuusha_no_Nariagari_Season_3,Animation Director,TV,Fall,2023.0,7.1,476582.0
40615,Umibe no Étranger,https://myanimelist.net/anime/40615/Umibe_no_Étranger,Chief Animation Director,Movie,,2020.0,7.82,191140.0
35220,Youkai Apartment no Yuuga na Nichijou,https://myanimelist.net/anime/35220/Youkai_Apartment_no_Yuuga_na_Nichijou,"Chief Animation Director (eps 3, 5, 7, 9, 11, 13, 15-16, 18, 20, 25), Animation Director (eps 3, 7, 16, 20	)",TV,Summer,2017.0,7.18,70506.0
