ID,Title,Link,Roles,Type,Season,Year,Score,Members
55690,Boku no Kokoro no Yabai Yatsu 2nd Season,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season,"Background Art (ep 5, OP)",TV,Winter,2024,8.76,252094.0
56948,Boku no Kokoro no Yabai Yatsu: Twi-Yaba,https://myanimelist.net/anime/56948/Boku_no_Kokoro_no_Yabai_Yatsu__Twi-Yaba,Background Art,ONA,,2023,7.69,30974.0
38088,Digimon Adventure: Last Evolution Kizuna,https://myanimelist.net/anime/38088/Digimon_Adventure__Last_Evolution_Kizuna,Episode Director,Movie,,2020,8.17,47738.0
30778,Fairy Tail Movie 2: Dragon Cry,https://myanimelist.net/anime/30778/Fairy_Tail_Movie_2__Dragon_Cry,"Storyboard, Episode Director",Movie,,2017,7.56,200290.0
42897,Horimiya,https://myanimelist.net/anime/42897/Horimiya,Storyboard (ep 3),TV,Winter,2021,8.19,1500873.0
34933,Kakegurui,https://myanimelist.net/anime/34933/Kakegurui,Episode Director (ep 4),TV,Summer,2017,7.22,1552976.0
55855,Kuroshitsuji: Kishuku Gakkou-hen,https://myanimelist.net/anime/55855/Kuroshitsuji__Kishuku_Gakkou-hen,Storyboard (ep 4),TV,Spring,2024,7.86,92135.0
52211,Mashle,https://myanimelist.net/anime/52211/Mashle,Storyboard (ep 11),TV,Spring,2023,7.62,685293.0
18897,Nisekoi,https://myanimelist.net/anime/18897/Nisekoi,"Episode Director (eps 6, 15, 19)",TV,Winter,2014,7.56,1207897.0
27787,Nisekoi:,https://myanimelist.net/anime/27787/Nisekoi_,Episode Director (ep 7),TV,Spring,2015,7.34,720530.0
36023,Persona 5 the Animation,https://myanimelist.net/anime/36023/Persona_5_the_Animation,"Storyboard (eps 6, 10, 17, 23), Episode Director (eps 6, 10, 17, 23), Key Animation (ep 25)",TV,Spring,2018,6.44,268629.0
38431,Persona 5 the Animation TV Specials,https://myanimelist.net/anime/38431/Persona_5_the_Animation_TV_Specials,"Storyboard (ep 1), Episode Director (ep 1)",TV Special,,2018,6.89,37340.0
10590,Reunion,https://myanimelist.net/anime/10590/Reunion,Episode Director,OVA,,2011,6.55,11390.0
30727,Saenai Heroine no Sodatekata ♭,https://myanimelist.net/anime/30727/Saenai_Heroine_no_Sodatekata_♭,"Episode Director (eps 5, 10)",TV,Spring,2017,7.76,384650.0
36885,Saenai Heroine no Sodatekata Fine,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine,Episode Director,Movie,,2019,8.42,194803.0
43439,Shadows House,https://myanimelist.net/anime/43439/Shadows_House,"Director, Storyboard (eps 1, 13, OP), Episode Director (eps 1, 13, OP)",TV,Spring,2021,7.8,265683.0
49782,Shadows House 2nd Season,https://myanimelist.net/anime/49782/Shadows_House_2nd_Season,"Director, Storyboard (eps 1, 12)",TV,Summer,2022,8.01,130336.0
28025,Tsukimonogatari,https://myanimelist.net/anime/28025/Tsukimonogatari,Episode Director (ep 3),TV Special,,2014,8.08,431252.0
54900,Wind Breaker,https://myanimelist.net/anime/54900/Wind_Breaker,"Storyboard (ep 4), Episode Director (ep 4)",TV,Spring,2024,7.74,358343.0
