ID,Title,Link,Roles,Type,Season,Year,Score,Members
1901,11-nin Iru!,https://myanimelist.net/anime/1901/11-nin_Iru,Storyboard,Movie,,1986.0,7.0,13126.0
313,Ace wo Nerae! (1979),https://myanimelist.net/anime/313/Ace_wo_Nerae_1979,Key Animation,Movie,,1979.0,6.91,5301.0
314,Ace wo Nerae! 2,https://myanimelist.net/anime/314/Ace_wo_Nerae_2,Storyboard (ep 5),OVA,,1988.0,7.16,4164.0
6093,Anmitsu Hime,https://myanimelist.net/anime/6093/Anmitsu_Hime,"Storyboard (eps 16, 23, 25, 30, 33, 38, 41, 47, 50), Episode Director (eps 25, 30, 33, 38, 41, 47, 50)",TV,Fall,1986.0,6.6,2098.0
2921,Ashita no Joe 2,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,"Key Animation (eps 8, 12, 24, 27, 29, 31)",TV,Fall,1980.0,8.74,57619.0
2922,Ashita no Joe 2 (Movie),https://myanimelist.net/anime/2922/Ashita_no_Joe_2_Movie,Key Animation,Movie,,1981.0,7.27,5721.0
1674,Captain Tsubasa J,https://myanimelist.net/anime/1674/Captain_Tsubasa_J,Storyboard (ep 8),TV,Fall,1994.0,7.28,31329.0
2043,Cat's Eye,https://myanimelist.net/anime/2043/Cats_Eye,"Key Animation (eps 2, 9, 15)",TV,Summer,1983.0,7.21,24261.0
17657,Chibi Neko Tomu no Daibouken: Chikyuu wo Sukue! Nakama-tachi,https://myanimelist.net/anime/17657/Chibi_Neko_Tomu_no_Daibouken__Chikyuu_wo_Sukue_Nakama-tachi,"Director, Script, Storyboard, Series Composition",,,,,415.0
5032,Cobra The Animation,https://myanimelist.net/anime/5032/Cobra_The_Animation,Key Animation,TV,Winter,2010.0,7.07,10039.0
841,Colorful,https://myanimelist.net/anime/841/Colorful,"Director, Storyboard (eps 1-4, 10-11, 13-14, 16), Episode Director (eps 1-4, 12-14, 16)",TV,Fall,1999.0,5.9,28985.0
1157,Final Fantasy: Unlimited,https://myanimelist.net/anime/1157/Final_Fantasy__Unlimited,"Storyboard (ep 2), Episode Director (ep 2)",TV,Fall,2001.0,6.17,38297.0
8450,Guskou Budori no Denki,https://myanimelist.net/anime/8450/Guskou_Budori_no_Denki,"Director, Script, Original Character Design",Movie,,1994.0,6.33,1868.0
515,Hajimari no Boukensha-tachi: Legend of Crystania,https://myanimelist.net/anime/515/Hajimari_no_Boukensha-tachi__Legend_of_Crystania,Director,Movie,,1995.0,6.01,6577.0
2828,Ie Naki Ko,https://myanimelist.net/anime/2828/Ie_Naki_Ko,"In-Between Animation (eps 2, 8), Key Animation (eps 13, 19, 24, 32, 37, 42, 47)",TV,Fall,1977.0,7.88,17386.0
19627,Junkers Come Here: Memories of You,https://myanimelist.net/anime/19627/Junkers_Come_Here__Memories_of_You,Storyboard,OVA,,1994.0,5.9,844.0
21021,Juugo Shounen Hyouryuuki: Kaizokujima de! Daibouken,https://myanimelist.net/anime/21021/Juugo_Shounen_Hyouryuuki__Kaizokujima_de_Daibouken,Director,Movie,,2013.0,,456.0
21099,Kenji no Trunk,https://myanimelist.net/anime/21099/Kenji_no_Trunk,Director,Movie,,1996.0,,630.0
1288,Kidou Keisatsu Patlabor,https://myanimelist.net/anime/1288/Kidou_Keisatsu_Patlabor,"Storyboard (eps 2, 4)",OVA,,1988.0,7.26,41369.0
3315,Kikou Keisatsu Metal Jack,https://myanimelist.net/anime/3315/Kikou_Keisatsu_Metal_Jack,Storyboard (ep 30),TV,Spring,1991.0,6.29,1948.0
486,Kino no Tabi: The Beautiful World,https://myanimelist.net/anime/486/Kino_no_Tabi__The_Beautiful_World,"Director, Storyboard (eps 1, 3, 5, 11-13), Episode Director (eps 1-2, 5)",TV,Spring,2003.0,8.28,335695.0
2175,Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,https://myanimelist.net/anime/2175/Kino_no_Tabi__The_Beautiful_World_-_Byouki_no_Kuni_-_For_You,"Director, Storyboard, Episode Director",Movie,,2007.0,7.66,51839.0
1379,Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,https://myanimelist.net/anime/1379/Kino_no_Tabi__The_Beautiful_World_-_Nanika_wo_Suru_Tame_ni_-_Life_Goes_On,Production Assistant,Movie,,2005.0,7.73,59719.0
467,Koukaku Kidoutai: Stand Alone Complex,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex,"Storyboard (ep 5), Episode Director (ep 5)",TV,Fall,2002.0,8.42,410109.0
