ID,Title,Link,Roles,Type,Season,Year,Score,Members
52938,Ashita no Keikaku,https://myanimelist.net/anime/52938/Ashita_no_Keikaku,Theme Song Performance,Music,,2020,,165.0
38658,Futon no Naka kara Detakunai,https://myanimelist.net/anime/38658/Futon_no_Naka_kara_Detakunai,Theme Song Performance,Music,,2018,6.72,717.0
43692,Gokushufudou,https://myanimelist.net/anime/43692/Gokushufudou,Theme Song Performance (OP & ED),ONA,,2021,7.25,449112.0
48707,Gokushufudou Part 2,https://myanimelist.net/anime/48707/Gokushufudou_Part_2,Theme Song Performance (OP & ED),ONA,,2021,7.54,171882.0
57301,Hatarakitakunai,https://myanimelist.net/anime/57301/Hatarakitakunai,Theme Song Performance,Music,,2018,,102.0
52939,Kangaroo wa Doko ni Itta no ka,https://myanimelist.net/anime/52939/Kangaroo_wa_Doko_ni_Itta_no_ka,Theme Song Performance,Music,,2021,,151.0
57299,Kinoko Take no Ko Sensou,https://myanimelist.net/anime/57299/Kinoko_Take_no_Ko_Sensou,Theme Song Performance,Music,,2017,,100.0
47005,Natsu no Uta,https://myanimelist.net/anime/47005/Natsu_no_Uta,Theme Song Performance,Music,,2019,6.23,364.0
57304,Naze Kyou Tenki ga Warui,https://myanimelist.net/anime/57304/Naze_Kyou_Tenki_ga_Warui,Theme Song Performance,Music,,2023,,110.0
42935,Sakugasaku,https://myanimelist.net/anime/42935/Sakugasaku,Theme Song Performance,Music,,2020,6.6,1033.0
52937,Shake it up 'n' go: Shakitto! Corn no Uta,https://myanimelist.net/anime/52937/Shake_it_up_n_go__Shakitto_Corn_no_Uta,Theme Song Performance,Music,,2019,,172.0
42883,Sore dake ga Neck,https://myanimelist.net/anime/42883/Sore_dake_ga_Neck,Theme Song Performance (ED),TV,Fall,2020,5.67,6864.0
57300,Toushitsu Seigen Diet Yattemita,https://myanimelist.net/anime/57300/Toushitsu_Seigen_Diet_Yattemita,Theme Song Performance,Music,,2017,,80.0
