ID,Title,Link,Roles,Type,Season,Year,Score,Members
52214,Genjitsu no Yohane: Sunshine in the Mirror,https://myanimelist.net/anime/52214/Genjitsu_no_Yohane__Sunshine_in_the_Mirror,Sound Effects,TV,Summer,2023,6.86,41505.0
49514,Gensou Sangokushi: Tengen Reishinki,https://myanimelist.net/anime/49514/Gensou_Sangokushi__Tengen_Reishinki,Sound Effects,TV,Winter,2022,5.31,22432.0
56189,Grendizer U,https://myanimelist.net/anime/56189/Grendizer_U,Sound Effects,TV,Summer,2024,5.86,7872.0
39534,Jibaku Shounen Hanako-kun,https://myanimelist.net/anime/39534/Jibaku_Shounen_Hanako-kun,Sound Effects,TV,Winter,2020,7.83,633943.0
53924,Jibaku Shounen Hanako-kun 2,https://myanimelist.net/anime/53924/Jibaku_Shounen_Hanako-kun_2,Sound Effects,TV,Winter,2025,8.0,69773.0
45613,Kawaii dake ja Nai Shikimori-san,https://myanimelist.net/anime/45613/Kawaii_dake_ja_Nai_Shikimori-san,Sound Effects,TV,Spring,2022,6.93,579277.0
34973,Love Live! Sunshine!! 2nd Season,https://myanimelist.net/anime/34973/Love_Live_Sunshine_2nd_Season,Sound Effects,TV,Fall,2017,7.58,120575.0
48483,Mieruko-chan,https://myanimelist.net/anime/48483/Mieruko-chan,Sound Effects,TV,Fall,2021,7.39,528055.0
61221,Motoyama Seisakusho 100-shuunen Animation,https://myanimelist.net/anime/61221/Motoyama_Seisakusho_100-shuunen_Animation,Sound Effects,ONA,,2024,,66.0
57325,Ramen Akaneko,https://myanimelist.net/anime/57325/Ramen_Akaneko,Sound Effects,TV,Summer,2024,7.38,15341.0
34539,Saint Seiya: Saintia Shou,https://myanimelist.net/anime/34539/Saint_Seiya__Saintia_Shou,Sound Effects,ONA,,2018,5.64,15300.0
42351,Senpai ga Uzai Kouhai no Hanashi,https://myanimelist.net/anime/42351/Senpai_ga_Uzai_Kouhai_no_Hanashi,Sound Effects,TV,Fall,2021,7.55,357138.0
54913,"Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru.",https://myanimelist.net/anime/54913/Shinmai_Ossan_Boukensha_Saikyou_Party_ni_Shinu_hodo_Kitaerarete_Muteki_ni_Naru,Sound Effects,TV,Summer,2024,7.37,159341.0
37409,Tabechatta tte Ii no ni na!,https://myanimelist.net/anime/37409/Tabechatta_tte_Ii_no_ni_na,Sound Effects,ONA,,2018,5.81,512.0
32663,Tama & Friends: Uchi no Tama Shirimasen ka?,https://myanimelist.net/anime/32663/Tama___Friends__Uchi_no_Tama_Shirimasen_ka,Sound Effects,TV,Fall,2016,6.06,1010.0
42941,Uma Musume: Pretty Derby Season 2,https://myanimelist.net/anime/42941/Uma_Musume__Pretty_Derby_Season_2,Sound Effects,TV,Winter,2021,8.07,58923.0
38835,Umayon,https://myanimelist.net/anime/38835/Umayon,Sound Effects,TV,Summer,2020,6.37,18149.0
50346,Yofukashi no Uta,https://myanimelist.net/anime/50346/Yofukashi_no_Uta,Sound Effects,TV,Summer,2022,7.95,665018.0
