ID,Title,Link,Roles,Type,Season,Year,Score,Members
31821,Arslan Senki (TV): Fuujin Ranbu,https://myanimelist.net/anime/31821/Arslan_Senki_TV__Fuujin_Ranbu,"Storyboard (ep 3), Episode Director (eps 3, 8)",TV,Summer,2016,7.5,146378.0
37516,City Hunter Movie: Shinjuku Private Eyes,https://myanimelist.net/anime/37516/City_Hunter_Movie__Shinjuku_Private_Eyes,Episode Director,Movie,,2019,7.47,13096.0
34964,Killing Bites,https://myanimelist.net/anime/34964/Killing_Bites,"Storyboard (eps 2, 9), Episode Director (eps 2, 9, 12)",TV,Winter,2018,6.55,199321.0
34934,Koi to Uso,https://myanimelist.net/anime/34934/Koi_to_Uso,Episode Director (ep 2),TV,Summer,2017,6.48,435401.0
37023,Layton Mystery Tanteisha: Katri no Nazotoki File,https://myanimelist.net/anime/37023/Layton_Mystery_Tanteisha__Katri_no_Nazotoki_File,"Storyboard (eps 7, 44), Episode Director (eps 7, 44)",TV,Spring,2018,7.23,18145.0
39806,Mugen no Juunin: Immortal,https://myanimelist.net/anime/39806/Mugen_no_Juunin__Immortal,"Storyboard (eps 11, 17), Episode Director (eps 5, 11, 17, 23)",ONA,,2019,7.43,89501.0
50185,Ryman's Club,https://myanimelist.net/anime/50185/Rymans_Club,"Director, Series Composition",TV,Winter,2022,7.35,82601.0
42249,Tokyo Revengers,https://myanimelist.net/anime/42249/Tokyo_Revengers,"Storyboard (ep 9), Episode Director (ep 9)",TV,Spring,2021,7.87,1330492.0
51461,Tonari no Youkai-san,https://myanimelist.net/anime/51461/Tonari_no_Youkai-san,Director,TV,Spring,2024,7.29,23285.0
32673,Udon no Kuni no Kiniro Kemari,https://myanimelist.net/anime/32673/Udon_no_Kuni_no_Kiniro_Kemari,Episode Director (ep 12),TV,Fall,2016,7.74,140176.0
