ID,Title,Link,Roles,Type,Season,Year,Score,Members
39610,ACCA: 13-ku Kansatsu-ka - Regards,https://myanimelist.net/anime/39610/ACCA__13-ku_Kansatsu-ka_-_Regards,Key Animation,OVA,,2020,7.15,18404.0
47917,Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock,"Storyboard (ep 4), Episode Director (ep 4), Assistant Animation Director (ep 10)",TV,Fall,2022,8.76,679373.0
37451,Boogiepop wa Warawanai (2019),https://myanimelist.net/anime/37451/Boogiepop_wa_Warawanai_2019,"2nd Key Animation (ep 18), Key Animation (ep 9, 12)",TV,Winter,2019,7.06,236999.0
37379,Chihayafuru 3,https://myanimelist.net/anime/37379/Chihayafuru_3,"2nd Key Animation (ep 5), Key Animation (ep 9, 12)",TV,Fall,2019,8.46,148861.0
38668,Dorohedoro,https://myanimelist.net/anime/38668/Dorohedoro,Key Animation (OP),TV,Winter,2020,8.05,588795.0
39792,Eizouken ni wa Te wo Dasu na!,https://myanimelist.net/anime/39792/Eizouken_ni_wa_Te_wo_Dasu_na,Key Animation (ep 3),TV,Winter,2020,8.13,352837.0
48849,Sonny Boy,https://myanimelist.net/anime/48849/Sonny_Boy,"Animation Director (ep 3), Key Animation (ep 1, 2, 8, 12)",TV,Summer,2021,7.82,342813.0
48736,Sono Bisque Doll wa Koi wo Suru,https://myanimelist.net/anime/48736/Sono_Bisque_Doll_wa_Koi_wo_Suru,Key Animation (ep 8),TV,Winter,2022,8.15,1169217.0
52991,Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren,"Storyboard (eps 10, 27), Episode Director (ep 10), Animation Director (ep 27), Key Animation (ep 2, OP)",TV,Fall,2023,9.31,1066299.0
48556,Takt Op. Destiny,https://myanimelist.net/anime/48556/Takt_Op_Destiny,Key Animation (ep 3),TV,Fall,2021,7.16,543945.0
43299,Wonder Egg Priority,https://myanimelist.net/anime/43299/Wonder_Egg_Priority,Key Animation (OP),TV,Winter,2021,7.56,793765.0
48491,Yama no Susume: Next Summit,https://myanimelist.net/anime/48491/Yama_no_Susume__Next_Summit,Key Animation (ep 7),TV,Fall,2022,7.64,26979.0
