ID,Title,Link,Roles,Type,Season,Year,Score,Members
3043,Andersen Douwa: Ningyohime,https://myanimelist.net/anime/3043/Andersen_Douwa__Ningyohime,Publicity (French),Movie,,1975,6.86,6622.0
4074,"Arano no Sakebi Koe: Hoero, Buck",https://myanimelist.net/anime/4074/Arano_no_Sakebi_Koe__Hoero_Buck,Publicity (French),TV Special,,1981,6.46,1633.0
3800,Arrow Emblem Grand Prix no Taka,https://myanimelist.net/anime/3800/Arrow_Emblem_Grand_Prix_no_Taka,Publicity (French),TV,Fall,1977,6.46,2725.0
2800,Candy Candy,https://myanimelist.net/anime/2800/Candy_Candy,Publicity (French),TV,Fall,1976,7.59,33333.0
4199,Entaku no Kishi Monogatari: Moero Arthur,https://myanimelist.net/anime/4199/Entaku_no_Kishi_Monogatari__Moero_Arthur,Publicity (French),TV,Fall,1979,6.37,2311.0
2809,Fuusen Shoujo Temple-chan,https://myanimelist.net/anime/2809/Fuusen_Shoujo_Temple-chan,Publicity (French),TV,Fall,1977,6.25,767.0
3213,Ganbare Genki,https://myanimelist.net/anime/3213/Ganbare_Genki,Publicity (French),TV,Summer,1980,7.33,3494.0
1491,Ginga Tetsudou 999,https://myanimelist.net/anime/1491/Ginga_Tetsudou_999,Publicity (French),TV,Fall,1978,7.76,41814.0
2230,Hana no Ko Lunlun,https://myanimelist.net/anime/2230/Hana_no_Ko_Lunlun,Publicity (French),TV,Winter,1979,6.87,6679.0
5013,Juugo Shounen Hyouryuuki,https://myanimelist.net/anime/5013/Juugo_Shounen_Hyouryuuki,Publicity (French),TV Special,,1982,5.88,1011.0
6374,Kagaku Ninja-tai Gatchaman II,https://myanimelist.net/anime/6374/Kagaku_Ninja-tai_Gatchaman_II,Publicity (French),TV,Fall,1978,6.47,2963.0
10562,Machine Hayabusa,https://myanimelist.net/anime/10562/Machine_Hayabusa,Publicity (French),TV,Spring,1976,6.2,1254.0
3878,Mahou Shoujo Lalabel,https://myanimelist.net/anime/3878/Mahou_Shoujo_Lalabel,Publicity (French),TV,Winter,1980,6.51,2965.0
3201,Pure-tou no Nakama-tachi,https://myanimelist.net/anime/3201/Pure-tou_no_Nakama-tachi,Publicity (French),TV,Summer,1983,6.33,1405.0
2510,Sengoku Majin Goushougun,https://myanimelist.net/anime/2510/Sengoku_Majin_Goushougun,Publicity (French),TV,Summer,1981,6.53,3927.0
1236,SF Saiyuuki Starzinger,https://myanimelist.net/anime/1236/SF_Saiyuuki_Starzinger,Publicity (French),TV,Spring,1978,6.95,3423.0
5832,Tiger Mask Nisei,https://myanimelist.net/anime/5832/Tiger_Mask_Nisei,Publicity (French),TV,Spring,1981,7.31,7213.0
5833,Tondemo Senshi Muteking,https://myanimelist.net/anime/5833/Tondemo_Senshi_Muteking,Publicity (French),TV,Fall,1980,6.25,1566.0
5022,Toushi Gordian,https://myanimelist.net/anime/5022/Toushi_Gordian,Publicity (French),TV,Fall,1979,6.33,1674.0
1000,Uchuu Kaizoku Captain Herlock,https://myanimelist.net/anime/1000/Uchuu_Kaizoku_Captain_Herlock,Publicity (French),TV,Spring,1978,7.68,40459.0
1985,UFO Robo Grendizer,https://myanimelist.net/anime/1985/UFO_Robo_Grendizer,Publicity (French),TV,Fall,1975,7.56,13475.0
1986,Wakusei Robo Danguard Ace,https://myanimelist.net/anime/1986/Wakusei_Robo_Danguard_Ace,Publicity (French),TV,Spring,1977,6.06,2274.0
3801,Yami no Teio: Kyuuketsuki Dracula,https://myanimelist.net/anime/3801/Yami_no_Teio__Kyuuketsuki_Dracula,Publicity (French),TV Special,,1980,3.8,4921.0
8598,Yuki,https://myanimelist.net/anime/8598/Yuki,Publicity (French),Movie,,1981,6.03,2261.0
