ID,Title,Link,Roles,Type,Season,Year,Score,Members
694,Canvas 2: Nijiiro no Sketch,https://myanimelist.net/anime/694/Canvas_2__Nijiiro_no_Sketch,Original Character Design,TV,Fall,2005,6.71,27796.0
62,D.C.: Da Capo,https://myanimelist.net/anime/62/DC__Da_Capo,Original Character Design,TV,Summer,2003,6.71,77913.0
5216,D.C.if: Da Capo if,https://myanimelist.net/anime/5216/DCif__Da_Capo_if,Original Character Design,OVA,,2008,7.11,16441.0
291,D.C.S.S: Da Capo Second Season,https://myanimelist.net/anime/291/DCSS__Da_Capo_Second_Season,Original Character Design,TV,Summer,2005,6.93,34764.0
4508,D.C.S.S: Da Capo Second Season Omake,https://myanimelist.net/anime/4508/DCSS__Da_Capo_Second_Season_Omake,Original Character Design,Special,,2005,6.54,7120.0
4789,ef: A Tale of Melodies.,https://myanimelist.net/anime/4789/ef__A_Tale_of_Melodies,Original Character Design,TV,Fall,2008,7.98,167798.0
6401,ef: A Tale of Melodies. - Prologue,https://myanimelist.net/anime/6401/ef__A_Tale_of_Melodies_-_Prologue,Original Character Design,Special,,2008,7.22,19655.0
2924,ef: A Tale of Memories.,https://myanimelist.net/anime/2924/ef__A_Tale_of_Memories,Original Character Design,TV,Fall,2007,7.86,262149.0
6361,ef: A Tale of Memories. - Prologue,https://myanimelist.net/anime/6361/ef__A_Tale_of_Memories_-_Prologue,Original Character Design,Special,,2007,7.03,31872.0
6783,ef: A Tale of Memories. - Recollections,https://myanimelist.net/anime/6783/ef__A_Tale_of_Memories_-_Recollections,Original Character Design,Special,,2008,7.26,13847.0
1965,Sola,https://myanimelist.net/anime/1965/Sola,Original Character Design,TV,Spring,2007,7.16,102821.0
3174,Sola Specials,https://myanimelist.net/anime/3174/Sola_Specials,Original Character Design,Special,,2007,6.9,15668.0
1263,Suika,https://myanimelist.net/anime/1263/Suika,Original Character Design,OVA,,2003,6.42,6152.0
5411,Suika: Manatsu no Okurimono,https://myanimelist.net/anime/5411/Suika__Manatsu_no_Okurimono,Original Character Design,OVA,,2004,5.85,2098.0
