ID,Title,Link,Roles,Type,Season,Year,Score,Members
962,Aria the Natural,https://myanimelist.net/anime/962/Aria_the_Natural,ADR Director,TV,Spring,2006,8.16,82318.0
4981,Casshern Sins,https://myanimelist.net/anime/4981/Casshern_Sins,ADR Director (Latin America Spanish dub),TV,Fall,2008,7.5,171990.0
18507,Free!,https://myanimelist.net/anime/18507/Free,ADR Director,TV,Summer,2013,7.32,822871.0
29785,Jitsu wa Watashi wa,https://myanimelist.net/anime/29785/Jitsu_wa_Watashi_wa,ADR Director,TV,Summer,2015,6.82,285597.0
11771,Kuroko no Basket,https://myanimelist.net/anime/11771/Kuroko_no_Basket,ADR Director,TV,Spring,2012,8.05,1255423.0
16894,Kuroko no Basket 2nd Season,https://myanimelist.net/anime/16894/Kuroko_no_Basket_2nd_Season,ADR Director,TV,Fall,2013,8.2,889788.0
22125,Kuroko no Basket: Mou Ikkai Yarimasen ka,https://myanimelist.net/anime/22125/Kuroko_no_Basket__Mou_Ikkai_Yarimasen_ka,ADR Director,Special,,2014,7.59,50546.0
16916,Kuroko no Basket: Tip Off,https://myanimelist.net/anime/16916/Kuroko_no_Basket__Tip_Off,ADR Director,Special,,2013,7.79,108534.0
1064,Mazinkaiser,https://myanimelist.net/anime/1064/Mazinkaiser,ADR Director,OVA,,2001,7.32,11872.0
8666,Mazinkaiser SKL,https://myanimelist.net/anime/8666/Mazinkaiser_SKL,ADR Director,OVA,,2010,7.04,12713.0
1696,Murder Princess,https://myanimelist.net/anime/1696/Murder_Princess,ADR Director,OVA,,2007,6.96,59589.0
51673,Shaman King: Flowers,https://myanimelist.net/anime/51673/Shaman_King__Flowers,ADR Director (With the help of Alex Delint ),TV,Winter,2024,6.57,34006.0
46985,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,https://myanimelist.net/anime/46985/Shinka_no_Mi__Shiranai_Uchi_ni_Kachigumi_Jinsei,ADR Director,TV,Fall,2021,6.17,226014.0
30,Shinseiki Evangelion,https://myanimelist.net/anime/30/Shinseiki_Evangelion,ADR Director (Locomotion Spanish Dub),TV,Fall,1995,8.36,1912783.0
28621,Subete ga F ni Naru,https://myanimelist.net/anime/28621/Subete_ga_F_ni_Naru,ADR Director,TV,Fall,2015,7.23,177233.0
47194,Summertime Render,https://myanimelist.net/anime/47194/Summertime_Render,ADR Director,TV,Spring,2022,8.47,605435.0
