ID,Title,Link,Roles,Type,Season,Year,Score,Members
36039,A.I.C.O. Incarnation,https://myanimelist.net/anime/36039/AICO_Incarnation,Planning,ONA,,2018,6.53,119912.0
30123,Akagami no Shirayuki-hime,https://myanimelist.net/anime/30123/Akagami_no_Shirayuki-hime,Planning,TV,Summer,2015,7.76,708185.0
31173,Akagami no Shirayuki-hime 2nd Season,https://myanimelist.net/anime/31173/Akagami_no_Shirayuki-hime_2nd_Season,Planning,TV,Winter,2016,7.97,375133.0
31483,"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",https://myanimelist.net/anime/31483/Akagami_no_Shirayuki-hime__Nandemonai_Takaramono_Kono_Page,Planning,OVA,,2016,7.71,83072.0
3079,Aoki Ryuusei SPT Layzner,https://myanimelist.net/anime/3079/Aoki_Ryuusei_SPT_Layzner,Production Manager (asst),TV,Fall,1985,6.89,7745.0
4177,Bounen no Xamdou,https://myanimelist.net/anime/4177/Bounen_no_Xamdou,Planning,ONA,,2008,7.62,147183.0
42250,Bungou Stray Dogs Wan!,https://myanimelist.net/anime/42250/Bungou_Stray_Dogs_Wan,Executive Producer,TV,Winter,2021,7.98,126454.0
34944,Bungou Stray Dogs: Dead Apple,https://myanimelist.net/anime/34944/Bungou_Stray_Dogs__Dead_Apple,Executive Producer,Movie,,2018,7.91,298305.0
21677,Captain Earth,https://myanimelist.net/anime/21677/Captain_Earth,Chief Producer,TV,Spring,2014,6.4,68730.0
37435,Carole & Tuesday,https://myanimelist.net/anime/37435/Carole___Tuesday,Planning,TV,Spring,2019,7.85,339815.0
1,Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop,Producer,TV,Spring,1998,8.75,1954352.0
5,Cowboy Bebop: Tengoku no Tobira,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira,Producer,Movie,,2001,8.38,394432.0
2025,Darker than Black: Kuro no Keiyakusha,https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha,Planning,TV,Spring,2007,8.04,976199.0
