ID,Title,Link,Roles,Type,Season,Year,Score,Members
22611,Ahiru no Pekkle no Aladdin to Mahou no Lamp,https://myanimelist.net/anime/22611/Ahiru_no_Pekkle_no_Aladdin_to_Mahou_no_Lamp,Director,OVA,,1993,5.65,620.0
2548,Ai no Wakakusa Monogatari,https://myanimelist.net/anime/2548/Ai_no_Wakakusa_Monogatari,"Director, Storyboard",TV,Winter,1987,7.39,10197.0
2554,Ai Shoujo Pollyanna Story,https://myanimelist.net/anime/2554/Ai_Shoujo_Pollyanna_Story,Storyboard,TV,Winter,1986,6.94,6476.0
2579,Anime 80-nichikan Sekai Isshuu,https://myanimelist.net/anime/2579/Anime_80-nichikan_Sekai_Isshuu,"Director, Storyboard, Episode Director",TV,Winter,1984,6.82,6129.0
2825,Arabian Nights: Sindbad no Bouken (TV),https://myanimelist.net/anime/2825/Arabian_Nights__Sindbad_no_Bouken_TV,"Director, Episode Director",TV,Fall,1975,7.22,8087.0
4339,Ashita e Attack!,https://myanimelist.net/anime/4339/Ashita_e_Attack,"Director, Storyboard",TV,Spring,1977,6.35,2859.0
1550,Attack No.1,https://myanimelist.net/anime/1550/Attack_No1,Episode Director,TV,Winter,1970,6.76,10655.0
1589,Bartender,https://myanimelist.net/anime/1589/Bartender,Storyboard (ep 6),TV,Fall,2006,7.32,102927.0
3132,Boukensha: The Man Was from Spain,https://myanimelist.net/anime/3132/Boukensha__The_Man_Was_from_Spain,Director,TV,Fall,1992,6.24,1489.0
1333,Fushigi na Koala Blinky,https://myanimelist.net/anime/1333/Fushigi_na_Koala_Blinky,Storyboard,TV,Summer,1984,6.04,1225.0
4060,Grimm Meisaku Gekijou,https://myanimelist.net/anime/4060/Grimm_Meisaku_Gekijou,Animation Director,TV,Fall,1987,7.41,5723.0
3435,Joou Heika no Petite Angie,https://myanimelist.net/anime/3435/Joou_Heika_no_Petite_Angie,Director,TV,Winter,1978,6.48,1915.0
2569,Jungle Book Shounen Mowgli,https://myanimelist.net/anime/2569/Jungle_Book_Shounen_Mowgli,Director,TV,Fall,1989,6.99,8224.0
2544,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,https://myanimelist.net/anime/2544/Kazoku_Robinson_Hyouryuuki__Fushigi_na_Shima_no_Flone,Storyboard,TV,Winter,1981,7.32,7761.0
5600,Little El Cid no Bouken,https://myanimelist.net/anime/5600/Little_El_Cid_no_Bouken,Director,TV,Winter,1984,6.29,946.0
3823,Little Lulu to Chicchai Nakama,https://myanimelist.net/anime/3823/Little_Lulu_to_Chicchai_Nakama,"Director, Storyboard",TV,Fall,1976,6.48,1151.0
3180,Manga Aesop Monogatari (TV),https://myanimelist.net/anime/3180/Manga_Aesop_Monogatari_TV,Storyboard,TV,Fall,1983,6.09,616.0
2547,Princess Sara,https://myanimelist.net/anime/2547/Princess_Sara,Director,TV,Winter,1985,7.68,22396.0
4723,Seishun Anime Zenshuu,https://myanimelist.net/anime/4723/Seishun_Anime_Zenshuu,"Director, Storyboard",TV,Spring,1986,6.58,2768.0
13551,Shuukan Storyland,https://myanimelist.net/anime/13551/Shuukan_Storyland,"Storyboard, Episode Director",TV,Fall,1999,6.5,1090.0
