ID,Title,Link,Roles,Type,Season,Year,Score,Members
2251,Baccano!,https://myanimelist.net/anime/2251/Baccano,"Storyboard (eps 6-7, 11), Episode Director (eps 6, 11)",TV,Summer,2007,8.35,931879.0
3901,Baccano! Specials,https://myanimelist.net/anime/3901/Baccano_Specials,"Storyboard (ep 2), Episode Director (ep 2)",Special,,2008,8.08,183032.0
232,Cardcaptor Sakura,https://myanimelist.net/anime/232/Cardcaptor_Sakura,"Storyboard (eps 5, 9, 12, 16, 19, 21, 25, 28, 30, 33, 37, 41, 44), Episode Director (eps 5, 9, 12, 16, 19, 21, 25, 28, 30, 33, 37, 41, 44, 48)",TV,Spring,1998,8.17,455204.0
371,Cardcaptor Sakura Movie 1,https://myanimelist.net/anime/371/Cardcaptor_Sakura_Movie_1,Episode Director (Assistant Episode Director),Movie,,1999,7.63,103307.0
9119,Chirorin Mura Monogatari,https://myanimelist.net/anime/9119/Chirorin_Mura_Monogatari,"Storyboard (eps 42, 50, 72, 84, 98, 117, 124, 138, 156-157, 167), Episode Director",TV,Spring,1992,6.69,1293.0
2036,Cosmic Baton Girl Comet-san☆,https://myanimelist.net/anime/2036/Cosmic_Baton_Girl_Comet-san☆,"Director, Storyboard (eps 1, 43), Episode Director (eps 1, 43)",TV,Spring,2001,7.22,5642.0
35849,Darling in the FranXX,https://myanimelist.net/anime/35849/Darling_in_the_FranXX,Storyboard (ep 19),TV,Winter,2018,7.19,1725424.0
5177,Denpa-teki na Kanojo,https://myanimelist.net/anime/5177/Denpa-teki_na_Kanojo,"Director, Storyboard, Episode Director",OVA,,2009,7.48,152088.0
563,DNA²,https://myanimelist.net/anime/563/DNA²,Storyboard (ep 9),TV,Fall,1994,6.62,46640.0
39792,Eizouken ni wa Te wo Dasu na!,https://myanimelist.net/anime/39792/Eizouken_ni_wa_Te_wo_Dasu_na,Storyboard (ep 5),TV,Winter,2020,8.13,352794.0
226,Elfen Lied,https://myanimelist.net/anime/226/Elfen_Lied,"Director, Storyboard (eps 1, 13, OP, ED), Episode Director (eps 1, 13, OP, ED)",TV,Summer,2004,7.46,1564141.0
376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",https://myanimelist.net/anime/376/Elfen_Lied__Tooriame_nite_Arui_wa_Shoujo_wa_Ikani_Shite_Sono_Shinjou_ni_Itatta_ka_-_Regenschauer,"Director, Storyboard, Episode Director",Special,,2005,7.13,199019.0
9314,Fractale,https://myanimelist.net/anime/9314/Fractale,"Storyboard (eps 2, 8), Episode Director (eps 2, 8)",TV,Winter,2011,6.91,85480.0
4470,Gene Diver,https://myanimelist.net/anime/4470/Gene_Diver,Storyboard (ep 27),TV,Spring,1994,6.3,1228.0
31629,Granblue Fantasy The Animation,https://myanimelist.net/anime/31629/Granblue_Fantasy_The_Animation,"Storyboard (eps 10, 13)",TV,Spring,2017,6.62,208226.0
21681,Hanayamata,https://myanimelist.net/anime/21681/Hanayamata,Storyboard (eps 1-2),TV,Summer,2014,7.31,113877.0
9807,Harimogu Harry,https://myanimelist.net/anime/9807/Harimogu_Harry,"Director (eps 1-80), Storyboard (ep 1)",TV,Summer,1996,,436.0
811,I''s Pure,https://myanimelist.net/anime/811/Is_Pure,"Director, Storyboard (ep 1)",OVA,,2005,6.8,28095.0
488,Ichigo Mashimaro,https://myanimelist.net/anime/488/Ichigo_Mashimaro,"Storyboard (eps 2, 6, 11-12), Episode Director (eps 2, 6, 11)",TV,Summer,2005,7.62,119872.0
598,Jinzou Ningen Kikaider The Animation,https://myanimelist.net/anime/598/Jinzou_Ningen_Kikaider_The_Animation,"Storyboard (eps 5, 8, 11), Episode Director (ep 8)",TV,Fall,2000,6.97,10953.0
572,Kaze no Tani no Nausicaä,https://myanimelist.net/anime/572/Kaze_no_Tani_no_Nausicaä,Production Manager (Assistant Production Manager),Movie,,1984,8.35,395924.0
1556,Kikoushi Enma,https://myanimelist.net/anime/1556/Kikoushi_Enma,"Director, Storyboard, Episode Director",OVA,,2006,7.02,22160.0
10460,Kimi to Boku.,https://myanimelist.net/anime/10460/Kimi_to_Boku,"Director, Storyboard (ep 1), Episode Director (ep 1)",TV,Fall,2011,7.65,191301.0
11739,Kimi to Boku. 2,https://myanimelist.net/anime/11739/Kimi_to_Boku_2,"Director, Storyboard (ep 13), Episode Director (ep 13, ED)",TV,Spring,2012,7.91,91192.0
3723,Koala Boy Kokki,https://myanimelist.net/anime/3723/Koala_Boy_Kokki,Script (ep 13),TV,Spring,1984,6.3,1066.0
7681,Kyouryuu Wakusei,https://myanimelist.net/anime/7681/Kyouryuu_Wakusei,"Storyboard (eps 3, 25, 35, 40-41, 48, 52)",TV,Spring,1993,6.41,757.0
