ID,Title,Link,Roles,Type,Season,Year,Score,Members
11375,.hack//The Movie: Sekai no Mukou ni,https://myanimelist.net/anime/11375/hack__The_Movie__Sekai_no_Mukou_ni,Storyboard,Movie,,2012,7.04,19139.0
5081,Bakemonogatari,https://myanimelist.net/anime/5081/Bakemonogatari,Key Animation (OP1),TV,Summer,2009,8.32,1445735.0
31733,Bishoujo Senshi Sailor Moon Crystal Season III,https://myanimelist.net/anime/31733/Bishoujo_Senshi_Sailor_Moon_Crystal_Season_III,Key Animation (ep 12),TV,Spring,2016,7.77,64880.0
1312,Chikyuu Bouei Kigyou Dai-Guard,https://myanimelist.net/anime/1312/Chikyuu_Bouei_Kigyou_Dai-Guard,"Key Animation (eps 9, 17, 19, 23)",TV,Fall,1999,7.1,10555.0
294,Divergence Eve,https://myanimelist.net/anime/294/Divergence_Eve,"Animation Director (ep 6), Key Animation (ep 6)",TV,Summer,2003,5.9,14275.0
16419,Dokidoki! Precure,https://myanimelist.net/anime/16419/Dokidoki_Precure,Key Animation (ep 40),TV,Winter,2013,6.7,29664.0
37520,Dororo,https://myanimelist.net/anime/37520/Dororo,"Key Animation (ep 22, OP2)",TV,Winter,2019,8.25,1299840.0
9493,Dororon Enma-kun Meeramera,https://myanimelist.net/anime/9493/Dororon_Enma-kun_Meeramera,"Key Animation (OP, ep 10)",TV,Spring,2011,6.45,19137.0
4789,ef: A Tale of Melodies.,https://myanimelist.net/anime/4789/ef__A_Tale_of_Melodies,"Animation Director (ep 1, OP), Key Animation (ep 1, OP), Assistant Animation Director (ep 10)",TV,Fall,2008,7.98,167811.0
2924,ef: A Tale of Memories.,https://myanimelist.net/anime/2924/ef__A_Tale_of_Memories,Key Animation (OP),TV,Fall,2007,7.86,262161.0
126,Futakoi Alternative,https://myanimelist.net/anime/126/Futakoi_Alternative,Animation Director (ep 2),TV,Spring,2005,6.84,32775.0
1623,G-On Riders,https://myanimelist.net/anime/1623/G-On_Riders,"Animation Director (ep 7), Key Animation (ep 7)",TV,Summer,2002,5.77,5670.0
28669,Go! Princess Precure,https://myanimelist.net/anime/28669/Go_Princess_Precure,"Animation Director (eps 9, 30, 39), Key Animation (eps 1, 9, 22, 30, 39, 50)",TV,Winter,2015,7.81,20532.0
29868,Go! Princess Precure Movie: Go! Go!! Gouka 3-bondate!!!,https://myanimelist.net/anime/29868/Go_Princess_Precure_Movie__Go_Go_Gouka_3-bondate,Key Animation,Movie,,2015,6.73,4677.0
387,Haibane Renmei,https://myanimelist.net/anime/387/Haibane_Renmei,Key Animation (ep 4),TV,Fall,2002,7.98,308450.0
21407,Happiness Charge Precure!,https://myanimelist.net/anime/21407/Happiness_Charge_Precure,"Key Animation (eps 1, 11, 49)",TV,Winter,2014,6.8,13418.0
23083,Happiness Charge Precure! Movie: Ningyou no Kuni no Ballerina,https://myanimelist.net/anime/23083/Happiness_Charge_Precure_Movie__Ningyou_no_Kuni_no_Ballerina,"Character Design, Animation Director, Key Animation",Movie,,2014,7.1,4635.0
7645,Heartcatch Precure!,https://myanimelist.net/anime/7645/Heartcatch_Precure,"Key Animation (eps 34, 38, 43, 48-49)",TV,Winter,2010,7.86,34785.0
9288,Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... desu ka!?,https://myanimelist.net/anime/9288/Heartcatch_Precure_Movie__Hana_no_Miyako_de_Fashion_Show_desu_ka,Key Animation,Movie,,2010,7.63,8551.0
3604,Hidamari Sketch x 365,https://myanimelist.net/anime/3604/Hidamari_Sketch_x_365,"Key Animation (eps 1, 5, 12)",TV,Summer,2008,7.82,33873.0
36593,Hug tto! Precure,https://myanimelist.net/anime/36593/Hug_tto_Precure,"Animation Director (eps 5, 15), Key Animation (eps 5, 15)",TV,Winter,2018,7.82,18578.0
509,I My Me! Strawberry Eggs,https://myanimelist.net/anime/509/I_My_Me_Strawberry_Eggs,"Key Animation (eps 2, 7, 12)",TV,Summer,2001,6.74,40285.0
452,InuYasha Movie 1: Toki wo Koeru Omoi,https://myanimelist.net/anime/452/InuYasha_Movie_1__Toki_wo_Koeru_Omoi,Key Animation,Movie,,2001,7.56,107000.0
49220,Isekai Ojisan,https://myanimelist.net/anime/49220/Isekai_Ojisan,"Character Design, Chief Animation Director, Animation Director (eps 1, 13), Key Animation (ep 1)",TV,Summer,2022,7.77,392418.0
570,Jin-Rou,https://myanimelist.net/anime/570/Jin-Rou,In-Between Animation (Production I.G),Movie,,2000,7.78,193744.0
6594,Katanagatari,https://myanimelist.net/anime/6594/Katanagatari,Key Animation (eps 10-12),TV,Winter,2010,8.3,577858.0
17741,Kimi no Iru Machi,https://myanimelist.net/anime/17741/Kimi_no_Iru_Machi,"Character Design (Costume Design: eps 4, 6), Animation Director (ep 4), Key Animation (eps 4, 10, OP), Assistant Animation Director (ep 10)",TV,Summer,2013,6.81,156465.0
189,Love Hina,https://myanimelist.net/anime/189/Love_Hina,"Key Animation (eps 6, 12, 17, 20, 23)",TV,Spring,2000,7.09,274358.0
76,Mahou Shoujo Lyrical Nanoha,https://myanimelist.net/anime/76/Mahou_Shoujo_Lyrical_Nanoha,"Animation Director (eps 4, 7), Key Animation (eps 4, 7)",TV,Fall,2004,7.41,107596.0
31884,Mahoutsukai Precure!,https://myanimelist.net/anime/31884/Mahoutsukai_Precure,Key Animation (ep 22),TV,Winter,2016,7.3,16079.0
33183,Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!,https://myanimelist.net/anime/33183/Mahoutsukai_Precure_Movie__Kiseki_no_Henshin_Cure_Mofurun,Key Animation,Movie,,2016,7.46,4583.0
10721,Mawaru Penguindrum,https://myanimelist.net/anime/10721/Mawaru_Penguindrum,"Key Animation (eps 5, 18)",TV,Summer,2011,7.93,308463.0
51179,Mushoku Tensei II: Isekai Ittara Honki Dasu,https://myanimelist.net/anime/51179/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu,"Animation Director (eps 4, 10)",TV,Summer,2023,8.22,663179.0
55888,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,https://myanimelist.net/anime/55888/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu_Part_2,"Animation Director (eps 2, 10)",TV,Spring,2024,8.42,477002.0
5597,Natsu no Arashi!,https://myanimelist.net/anime/5597/Natsu_no_Arashi,"Character Design, Chief Animation Director, Key Animation (ep 1)",TV,Spring,2009,7.23,56378.0
6712,Natsu no Arashi! Akinaichuu,https://myanimelist.net/anime/6712/Natsu_no_Arashi_Akinaichuu,"Character Design, Chief Animation Director, Animation Director (OP, ED, ep 1), Key Animation (OP, ED, ep 1)",TV,Fall,2009,7.26,22065.0
1546,Negima!?,https://myanimelist.net/anime/1546/Negima,"Character Design, Animation Director (eps 3, 26, OP, ED), Key Animation (eps 1, 3, 7-8, 23), Assistant Animation Director (ep 18)",TV,Fall,2006,6.93,99009.0
1619,Negima!? Haru Special!?,https://myanimelist.net/anime/1619/Negima_Haru_Special,"Character Design, Key Animation",OVA,,2006,7.05,20609.0
1732,Negima!? Natsu Special!?,https://myanimelist.net/anime/1732/Negima_Natsu_Special,"Character Design, Chief Animation Director",OVA,,2006,7.07,18269.0
51678,Oniichan wa Oshimai!,https://myanimelist.net/anime/51678/Oniichan_wa_Oshimai,Animation Director (ep 11),TV,Winter,2023,7.65,169071.0
1792,Overman King Gainer,https://myanimelist.net/anime/1792/Overman_King_Gainer,"Key Animation (eps 2, 7, 26)",TV,Fall,2002,6.93,14893.0
490,Paniponi Dash!,https://myanimelist.net/anime/490/Paniponi_Dash,"Character Design, Chief Animation Director, Animation Director (eps 8, 17, 26, ED), Key Animation (eps 1, 8, 14, 26, ED), Assistant Animation Director (ep 24), Principle Drawing (eps 1-2, 5, 18)",TV,Summer,2005,7.42,65792.0
5419,Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku,https://myanimelist.net/anime/5419/Paniponi_Dash__Danjite_Okonaeba_Kishin_mo_Kore_wo_Saku,"Storyboard, Episode Director, Character Design, Animation Director",Special,,2009,7.45,10268.0
12221,Precure All Stars Movie New Stage: Mirai no Tomodachi,https://myanimelist.net/anime/12221/Precure_All_Stars_Movie_New_Stage__Mirai_no_Tomodachi,Key Animation,Movie,,2012,7.17,6716.0
32160,Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou,https://myanimelist.net/anime/32160/Precure_All_Stars_Movie__Minna_de_Utau♪_-_Kiseki_no_Mahou,Key Animation,Movie,,2016,7.09,4729.0
209,R.O.D: The TV,https://myanimelist.net/anime/209/ROD__The_TV,Key Animation (ep 1),TV,Fall,2003,7.52,71914.0
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season,"Animation Director (OP, eps 1, 3, 6, 8, 11-12), Key Animation (OP, eps 1, 3, 6, 8, 11-12)",TV,Summer,2020,8.33,1192060.0
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2,"Animation Director (eps 2-3, 10, 12), Key Animation (Main Animation)",TV,Winter,2021,8.43,978400.0
12929,Saint Seiya Omega,https://myanimelist.net/anime/12929/Saint_Seiya_Omega,"Animation Director (ep 49), Key Animation (eps 7, 20, 27, 30, 34, 42, 49)",TV,Spring,2012,6.29,51287.0
2605,Sayonara Zetsubou Sensei,https://myanimelist.net/anime/2605/Sayonara_Zetsubou_Sensei,"Storyboard (ED1), Episode Director (ED1), Animation Director (ep 12, ED1), Key Animation (ep 12, ED1)",TV,Summer,2007,7.85,355420.0
12191,Smile Precure!,https://myanimelist.net/anime/12191/Smile_Precure,"Key Animation (eps 1-2, 4, 11-12)",TV,Winter,2012,6.85,48321.0
15307,Smile Precure! Movie: Ehon no Naka wa Minna Chiguhagu!,https://myanimelist.net/anime/15307/Smile_Precure_Movie__Ehon_no_Naka_wa_Minna_Chiguhagu,Key Animation,Movie,,2012,7.31,6380.0
