ID,Title,Link,Roles,Type,Season,Year,Score,Members
61026,Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,https://myanimelist.net/anime/61026/Ansatsusha_de_Aru_Ore_no_Status_ga_Yuusha_yori_mo_Akiraka_ni_Tsuyoi_no_da_ga,"Script, Series Composition",TV,Fall,2025,,5717.0
28391,Ao no Kanata no Four Rhythm,https://myanimelist.net/anime/28391/Ao_no_Kanata_no_Four_Rhythm,"Script (eps 4, 10)",TV,Winter,2016,6.64,152867.0
393,Escaflowne,https://myanimelist.net/anime/393/Escaflowne,Production Manager (Assistant Production Manager),Movie,,2000,7.05,75470.0
5983,Higepiyo,https://myanimelist.net/anime/5983/Higepiyo,"Script (eps 5, 10)",TV,Spring,2009,7.07,6268.0
31500,High School Fleet,https://myanimelist.net/anime/31500/High_School_Fleet,"Script (eps 5, 8, 11)",TV,Spring,2016,7.3,108896.0
37704,High School Fleet Movie,https://myanimelist.net/anime/37704/High_School_Fleet_Movie,Screenplay,Movie,,2020,7.62,18606.0
34125,High School Fleet OVA,https://myanimelist.net/anime/34125/High_School_Fleet_OVA,Script (ep 1),OVA,,2017,7.22,21551.0
59130,Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,https://myanimelist.net/anime/59130/Isekai_Mokushiroku_Mynoghra__Hametsu_no_Bunmei_de_Hajimeru_Sekai_Seifuku,Series Composition,TV,Summer,2025,,8259.0
40010,Ishuzoku Reviewers,https://myanimelist.net/anime/40010/Ishuzoku_Reviewers,"Script (eps 5, 7, 11)",TV,Winter,2020,7.41,490253.0
47250,Jouran: The Princess of Snow and Blood,https://myanimelist.net/anime/47250/Jouran__The_Princess_of_Snow_and_Blood,"Script (eps 2, 4, 6, 9, 11)",TV,Spring,2021,6.11,99055.0
48316,Kage no Jitsuryokusha ni Naritakute!,https://myanimelist.net/anime/48316/Kage_no_Jitsuryokusha_ni_Naritakute,"Script (eps 4, 7, 10, 13, 16, 18)",TV,Fall,2022,8.26,759906.0
49109,Kami-tachi ni Hirowareta Otoko 2nd Season,https://myanimelist.net/anime/49109/Kami-tachi_ni_Hirowareta_Otoko_2nd_Season,"Script (eps 2, 4, 6, 10)",TV,Winter,2023,6.81,129634.0
59452,"Katainaka no Ossan, Kensei ni Naru",https://myanimelist.net/anime/59452/Katainaka_no_Ossan_Kensei_ni_Naru,Series Composition,TV,Spring,2025,,33004.0
96,Kidou Butouden G Gundam,https://myanimelist.net/anime/96/Kidou_Butouden_G_Gundam,"In-Between Animation (eps 24, 27, 30, 33, 36, 39, 43)",TV,Spring,1994,7.58,72674.0
51764,Level 1 dakedo Unique Skill de Saikyou desu,https://myanimelist.net/anime/51764/Level_1_dakedo_Unique_Skill_de_Saikyou_desu,"Script (eps 3, 7, 12)",TV,Summer,2023,6.22,139002.0
25517,Magic Kaito 1412,https://myanimelist.net/anime/25517/Magic_Kaito_1412,"Script (eps 3-4, 12-16, 18-19, 21-24)",TV,Fall,2014,7.86,130028.0
13835,Marimo no Hana: Saikyou Butouha Shougakusei Densetsu,https://myanimelist.net/anime/13835/Marimo_no_Hana__Saikyou_Butouha_Shougakusei_Densetsu,Screenplay,OVA,,2012,5.03,4652.0
167,Scrapped Princess,https://myanimelist.net/anime/167/Scrapped_Princess,Assistant Producer,TV,Spring,2003,7.36,99481.0
50184,Seiken Gakuin no Makentsukai,https://myanimelist.net/anime/50184/Seiken_Gakuin_no_Makentsukai,"Script, Series Composition",TV,Fall,2023,6.2,158479.0
5307,Sora wo Kakeru Shoujo,https://myanimelist.net/anime/5307/Sora_wo_Kakeru_Shoujo,"Script (eps 11, 15-16)",TV,Winter,2009,6.97,27589.0
23487,Witch Craft Works Specials,https://myanimelist.net/anime/23487/Witch_Craft_Works_Specials,Script (eps 2-6),Special,,2014,6.74,16772.0
24277,Yowamushi Pedal: Grande Road,https://myanimelist.net/anime/24277/Yowamushi_Pedal__Grande_Road,"Script (eps 5, 11, 14, 17, 20)",TV,Fall,2014,8.05,144993.0
