ID,Title,Link,Roles,Type,Season,Year,Score,Members
1635,Ai Shimai 2: Futari no Kajitsu,https://myanimelist.net/anime/1635/Ai_Shimai_2__Futari_no_Kajitsu,Script,OVA,,2003,6.48,9010.0
2411,Ane to Boin,https://myanimelist.net/anime/2411/Ane_to_Boin,Script,OVA,,2005,6.65,12927.0
2437,Elfina: Yoru e to Urareta Oukoku de... The Animation,https://myanimelist.net/anime/2437/Elfina__Yoru_e_to_Urareta_Oukoku_de_The_Animation,Script,OVA,,2003,5.97,4490.0
2378,Kisaku Spirit,https://myanimelist.net/anime/2378/Kisaku_Spirit,Script,OVA,,2004,6.11,3269.0
2841,Kuro Ai: Hitoyozumakan Inkou Rannyuuroku,https://myanimelist.net/anime/2841/Kuro_Ai__Hitoyozumakan_Inkou_Rannyuuroku,Script,OVA,,2005,6.65,11878.0
2861,Seifuku Shojo The Animation,https://myanimelist.net/anime/2861/Seifuku_Shojo_The_Animation,Script,OVA,,2004,6.21,5371.0
1633,Shintaisou: Kari,https://myanimelist.net/anime/1633/Shintaisou__Kari,Script,OVA,,2002,6.27,7343.0
2348,Shitai wo Arau The Animation,https://myanimelist.net/anime/2348/Shitai_wo_Arau_The_Animation,Script,OVA,,2003,5.41,3180.0
2376,Shusaku Liberty,https://myanimelist.net/anime/2376/Shusaku_Liberty,Script ((Also composer)),OVA,,2003,5.8,2809.0
2870,Yagami Yuu,https://myanimelist.net/anime/2870/Yagami_Yuu,Script,OVA,,2006,6.29,8122.0
