ID,Title,Link,Roles,Type,Season,Year,Score,Members
101,Air,https://myanimelist.net/anime/101/Air,Key Animation (2),TV,Winter,2005,7.27,305276.0
7059,Black★Rock Shooter (OVA),https://myanimelist.net/anime/7059/Black★Rock_Shooter_OVA,"Director, Script, Screenplay",OVA,,2010,7.09,176908.0
11285,Black★Rock Shooter (TV),https://myanimelist.net/anime/11285/Black★Rock_Shooter_TV,"Director, Storyboard (eps 1, 8)",TV,Winter,2012,6.79,361248.0
1962,Chikyuu Bouei Kazoku,https://myanimelist.net/anime/1962/Chikyuu_Bouei_Kazoku,Key Animation (ep 6),TV,Winter,2001,6.65,3232.0
8363,Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,https://myanimelist.net/anime/8363/Crayon_Shin-chan_Movie_11__Arashi_wo_Yobu_Eikou_no_Yakiniku_Road,Key Animation,Movie,,2003,7.26,5942.0
9314,Fractale,https://myanimelist.net/anime/9314/Fractale,"Storyboard (eps 5, 11), Episode Director (eps 5), 2nd Key Animation (ep 5), Key Animation (eps 1, 8)",TV,Winter,2011,6.91,85480.0
73,Full Metal Panic! The Second Raid,https://myanimelist.net/anime/73/Full_Metal_Panic_The_Second_Raid,"Storyboard (eps 7, 10), Episode Director (eps 7, 10), Key Animation (eps 2, 10, 13)",TV,Summer,2005,7.91,267069.0
72,Full Metal Panic? Fumoffu,https://myanimelist.net/anime/72/Full_Metal_Panic_Fumoffu,"Key Animation (eps 2, 9)",TV,Summer,2003,8.02,303893.0
37259,Hanebado!,https://myanimelist.net/anime/37259/Hanebado,"Storyboard (ep 6), Key Animation (eps 6, 10, 13)",TV,Summer,2018,6.84,161973.0
8074,Highschool of the Dead,https://myanimelist.net/anime/8074/Highschool_of_the_Dead,Key Animation (ep 12),TV,Summer,2010,7.07,1559818.0
249,InuYasha,https://myanimelist.net/anime/249/InuYasha,"Key Animation (eps 3, 11, 63, 163)",TV,Fall,2000,7.87,828690.0
255,Jungle wa Itsumo Hare nochi Guu Final,https://myanimelist.net/anime/255/Jungle_wa_Itsumo_Hare_nochi_Guu_Final,Key Animation (ep 4),OVA,,2003,7.6,10438.0
3958,Kannagi,https://myanimelist.net/anime/3958/Kannagi,"Storyboard (ep 10), Episode Director (eps 7, 10), Key Animation (ep 1), Assistant Animation Director (ep 13)",TV,Fall,2008,7.27,175065.0
1530,Kanon (2006),https://myanimelist.net/anime/1530/Kanon_2006,"Storyboard (ep 4), Episode Director (ep 4)",TV,Fall,2006,7.94,280200.0
1145,Kaze no Youjinbou,https://myanimelist.net/anime/1145/Kaze_no_Youjinbou,"Key Animation (eps 4, 10, 16, 22)",TV,Fall,2001,7.13,16427.0
18679,Kill la Kill,https://myanimelist.net/anime/18679/Kill_la_Kill,"Storyboard (ep 17), Key Animation (ep 16)",TV,Fall,2013,8.03,1784341.0
50796,Kimi wa Houkago Insomnia,https://myanimelist.net/anime/50796/Kimi_wa_Houkago_Insomnia,Storyboard (ep 13),TV,Spring,2023,8.07,243955.0
28725,Kokoro ga Sakebitagatterunda.,https://myanimelist.net/anime/28725/Kokoro_ga_Sakebitagatterunda,"Episode Director, Key Animation",Movie,,2015,7.8,343741.0
1887,Lucky☆Star,https://myanimelist.net/anime/1887/Lucky☆Star,"Storyboard (eps 3, 9, 16, 23), Episode Director (eps 3, 9, 16, 23)",TV,Spring,2007,7.75,672710.0
39806,Mugen no Juunin: Immortal,https://myanimelist.net/anime/39806/Mugen_no_Juunin__Immortal,Storyboard (ep 13),ONA,,2019,7.43,89485.0
1135,Munto: Toki no Kabe wo Koete,https://myanimelist.net/anime/1135/Munto__Toki_no_Kabe_wo_Koete,Key Animation,OVA,,2005,6.93,13267.0
457,Mushishi,https://myanimelist.net/anime/457/Mushishi,Key Animation (ep 24),TV,Fall,2005,8.65,865837.0
12979,Naruto SD: Rock Lee no Seishun Full-Power Ninden,https://myanimelist.net/anime/12979/Naruto_SD__Rock_Lee_no_Seishun_Full-Power_Ninden,Episode Director (ep 28),TV,Spring,2012,7.17,102819.0
19613,New Initial D Movie: Legend 1 - Kakusei,https://myanimelist.net/anime/19613/New_Initial_D_Movie__Legend_1_-_Kakusei,2nd Key Animation,Movie,,2014,7.8,41381.0
