ID,Title,Link,Roles,Type,Season,Year,Score,Members
22419,Acchi wa Kocchi,https://myanimelist.net/anime/22419/Acchi_wa_Kocchi,Director,,,,6.69,8027.0
6535,Ai,https://myanimelist.net/anime/6535/Ai,Director,,,,4.22,4381.0
56824,Akahana no Tonakai,https://myanimelist.net/anime/56824/Akahana_no_Tonakai,Director,Music,,1961.0,,112.0
36056,Amaryllis,https://myanimelist.net/anime/36056/Amaryllis,Animation Director,Music,,1968.0,4.84,457.0
6950,Aos,https://myanimelist.net/anime/6950/Aos,Director,,,,3.61,2746.0
56951,Asobou yo,https://myanimelist.net/anime/56951/Asobou_yo,Director,Music,,1969.0,,90.0
57023,Awate Tokoya (1966),https://myanimelist.net/anime/57023/Awate_Tokoya_1966,Director,Music,,1966.0,,116.0
29777,Baka Baka Baka na Sekai,https://myanimelist.net/anime/29777/Baka_Baka_Baka_na_Sekai,Director,Movie,,1968.0,4.24,2206.0
56723,Camp Ryouri,https://myanimelist.net/anime/56723/Camp_Ryouri,Director,Music,,1963.0,,94.0
36357,Chibikko Cowboy,https://myanimelist.net/anime/36357/Chibikko_Cowboy,Animation Director,Music,,1966.0,5.14,431.0
24843,Clarinet Kowashichatta,https://myanimelist.net/anime/24843/Clarinet_Kowashichatta,Animation Director,Music,,1963.0,4.77,544.0
56697,Clarinet Kowashichatta (1972),https://myanimelist.net/anime/56697/Clarinet_Kowashichatta_1972,Director,Music,,1972.0,,115.0
56857,Davy Crockett no Uta,https://myanimelist.net/anime/56857/Davy_Crockett_no_Uta,Director,Music,,1962.0,,88.0
56939,Deka Chibi Noppo,https://myanimelist.net/anime/56939/Deka_Chibi_Noppo,Director,Music,,1964.0,,84.0
59272,Electone Vostok,https://myanimelist.net/anime/59272/Electone_Vostok,Director,,,,,54.0
7020,Fashion,https://myanimelist.net/anime/7020/Fashion,Director,,,,4.13,1160.0
56952,Flipper,https://myanimelist.net/anime/56952/Flipper,Director,Music,,1965.0,,80.0
3215,Fuyu no Hi,https://myanimelist.net/anime/3215/Fuyu_no_Hi,"Animation Director (1 Segment), Key Animation",Movie,,2003.0,6.02,4883.0
7022,G-senjou no Higeki,https://myanimelist.net/anime/7022/G-senjou_no_Higeki,Director,,,,3.64,1518.0
57008,Gachou no Obasan,https://myanimelist.net/anime/57008/Gachou_no_Obasan,Director,Music,,1967.0,,77.0
24905,Go-hiki no Kobuta to Charleston,https://myanimelist.net/anime/24905/Go-hiki_no_Kobuta_to_Charleston,Director,Music,,1964.0,4.84,549.0
40299,Gokiburi-chan,https://myanimelist.net/anime/40299/Gokiburi-chan,Original Creator,TV,Spring,2005.0,,282.0
29597,Hana,https://myanimelist.net/anime/29597/Hana,Director,,,,4.36,1199.0
36360,Hasami Togi,https://myanimelist.net/anime/36360/Hasami_Togi,Animation Director,Music,,1965.0,5.06,374.0
56698,Hasami Togi (1974),https://myanimelist.net/anime/56698/Hasami_Togi_1974,Director,Music,,1974.0,,101.0
