ID,Title,Link,Roles,Type,Season,Year,Score,Members
299,.hack//Liminality,https://myanimelist.net/anime/299/hack__Liminality,"Character Design, Animation Director (eps 1, 4), Key Animation (eps 1, 3-4)",OVA,,2002,6.58,34693.0
298,.hack//Tasogare no Udewa Densetsu,https://myanimelist.net/anime/298/hack__Tasogare_no_Udewa_Densetsu,Key Animation (ep 2),TV,Winter,2003,6.55,69769.0
5525,07-Ghost,https://myanimelist.net/anime/5525/07-Ghost,Key Animation (ep 24),TV,Spring,2009,7.18,217246.0
35180,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,Key Animation (ep 7),TV,Fall,2017,8.91,418419.0
11759,Accel World,https://myanimelist.net/anime/11759/Accel_World,Key Animation (ep 2),TV,Spring,2012,7.2,730828.0
2041,Ai to Yuuki no Pig Girl Tonde Buurin,https://myanimelist.net/anime/2041/Ai_to_Yuuki_no_Pig_Girl_Tonde_Buurin,Key Animation (ep 47),TV,Fall,1994,6.67,11442.0
366,AIKa,https://myanimelist.net/anime/366/AIKa,Key Animation (ep 1),OVA,,1997,5.95,38929.0
15061,Aikatsu!,https://myanimelist.net/anime/15061/Aikatsu,"Animation Director (ep 46), Key Animation (eps 46, 49, 54)",TV,Fall,2012,7.47,45856.0
47,Akira,https://myanimelist.net/anime/47/Akira,Key Animation,Movie,,1988,8.16,895926.0
5330,Alice in Cyberland,https://myanimelist.net/anime/5330/Alice_in_Cyberland,Key Animation (ep 1),TV Special,,1996,4.64,3757.0
6164,Aoi Hana,https://myanimelist.net/anime/6164/Aoi_Hana,Key Animation (ep 4),TV,Summer,2009,7.09,103780.0
1028,Arete Hime,https://myanimelist.net/anime/1028/Arete_Hime,Assistant Animation Director,Movie,,2001,6.88,14721.0
9736,Astarotte no Omocha!,https://myanimelist.net/anime/9736/Astarotte_no_Omocha,Key Animation (ep 9),TV,Spring,2011,6.46,151245.0
56,Avenger,https://myanimelist.net/anime/56/Avenger,Key Animation (ep 1),TV,Fall,2003,5.85,18674.0
7674,Bakuman.,https://myanimelist.net/anime/7674/Bakuman,Key Animation (ep 12),TV,Fall,2010,8.17,639184.0
36649,Banana Fish,https://myanimelist.net/anime/36649/Banana_Fish,Key Animation (ep 8),TV,Summer,2018,8.46,911710.0
33573,BanG Dream!,https://myanimelist.net/anime/33573/BanG_Dream,Key Animation (ep 1),TV,Winter,2017,6.99,99438.0
51716,Bishoujo Senshi Sailor Moon Cosmos Movie,https://myanimelist.net/anime/51716/Bishoujo_Senshi_Sailor_Moon_Cosmos_Movie,Key Animation (ep 1),Movie,,2023,7.82,14391.0
40024,Bishoujo Senshi Sailor Moon Eternal Movie 1,https://myanimelist.net/anime/40024/Bishoujo_Senshi_Sailor_Moon_Eternal_Movie_1,Key Animation,Movie,,2021,7.58,34011.0
