ID,Title,Link,Roles,Type,Season,Year,Score,Members
37623,Chiisana Eiyuu: Kani to Tamago to Toumei Ningen,https://myanimelist.net/anime/37623/Chiisana_Eiyuu__Kani_to_Tamago_to_Toumei_Ningen,"Director (ep 1), Script (ep 1), Key Animation (ep 3)",Movie,,2018.0,6.84,29487.0
10029,Coquelicot-zaka kara,https://myanimelist.net/anime/10029/Coquelicot-zaka_kara,Key Animation,Movie,,2011.0,7.78,217097.0
2890,Gake no Ue no Ponyo,https://myanimelist.net/anime/2890/Gake_no_Ue_no_Ponyo,Key Animation,Movie,,2008.0,7.95,616206.0
1829,Ged Senki,https://myanimelist.net/anime/1829/Ged_Senki,Assistant Animation Director,Movie,,2006.0,6.8,154842.0
2617,Ghiblies,https://myanimelist.net/anime/2617/Ghiblies,Key Animation (ep 2),Special,,2000.0,6.36,7860.0
28891,Haikyuu!! Second Season,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,Key Animation (ep 3),TV,Fall,2015.0,8.62,1496282.0
1020,Honoo no Mirage: Minagiwa no Hangyakusha,https://myanimelist.net/anime/1020/Honoo_no_Mirage__Minagiwa_no_Hangyakusha,Key Animation (ep 3),OVA,,2004.0,6.79,11454.0
431,Howl no Ugoku Shiro,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,Key Animation,Movie,,2004.0,8.67,1411544.0
2891,Iblard Jikan,https://myanimelist.net/anime/2891/Iblard_Jikan,Key Animation,OVA,,2007.0,6.84,23670.0
570,Jin-Rou,https://myanimelist.net/anime/570/Jin-Rou,In-Between Animation,Movie,,2000.0,7.78,193744.0
7711,Karigurashi no Arrietty,https://myanimelist.net/anime/7711/Karigurashi_no_Arrietty,"Director, Storyboard, In-Between Animation, Key Animation",Movie,,2010.0,7.9,372802.0
16662,Kaze Tachinu,https://myanimelist.net/anime/16662/Kaze_Tachinu,Key Animation,Movie,,2013.0,8.12,361298.0
36699,Kimitachi wa Dou Ikiru ka,https://myanimelist.net/anime/36699/Kimitachi_wa_Dou_Ikiru_ka,Key Animation,Movie,,2023.0,7.6,120605.0
6975,Koro no Dai Sanpo,https://myanimelist.net/anime/6975/Koro_no_Dai_Sanpo,Key Animation,Special,,2001.0,6.57,3571.0
19401,Kuusou no Soratobu Kikai-tachi,https://myanimelist.net/anime/19401/Kuusou_no_Soratobu_Kikai-tachi,Animation Director,,,,6.16,2368.0
34541,Mary to Majo no Hana,https://myanimelist.net/anime/34541/Mary_to_Majo_no_Hana,"Director, Script",Movie,,2017.0,7.26,105361.0
1483,Master Keaton,https://myanimelist.net/anime/1483/Master_Keaton,Key Animation (ep 10),TV,Fall,1998.0,7.61,30450.0
1910,Master Keaton OVA,https://myanimelist.net/anime/1910/Master_Keaton_OVA,Key Animation (ep 30),OVA,,1999.0,7.73,11326.0
2488,Mei to Koneko Bus,https://myanimelist.net/anime/2488/Mei_to_Koneko_Bus,Animation Director,Special,,2002.0,7.3,22559.0
4306,Mizugumo Monmon,https://myanimelist.net/anime/4306/Mizugumo_Monmon,Key Animation,Movie,,2006.0,6.54,4200.0
164,Mononoke Hime,https://myanimelist.net/anime/164/Mononoke_Hime,In-Between Animation,Movie,,1997.0,8.66,1314384.0
19,Monster,https://myanimelist.net/anime/19/Monster,Key Animation,TV,Spring,2004.0,8.88,1216122.0
3111,Nasu: Suitcase no Wataridori,https://myanimelist.net/anime/3111/Nasu__Suitcase_no_Wataridori,Key Animation,OVA,,2007.0,7.06,4468.0
21557,Omoide no Marnie,https://myanimelist.net/anime/21557/Omoide_no_Marnie,"Director, Script",Movie,,2014.0,8.04,316986.0
199,Sen to Chihiro no Kamikakushi,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,Key Animation,Movie,,2001.0,8.77,1936355.0
339,Serial Experiments Lain,https://myanimelist.net/anime/339/Serial_Experiments_Lain,Key Animation,TV,Summer,1998.0,8.09,835668.0
38015,Shika no Ou: Yuna to Yakusoku no Tabi,https://myanimelist.net/anime/38015/Shika_no_Ou__Yuna_to_Yakusoku_no_Tabi,Key Animation,Movie,,2022.0,6.88,30738.0
420,Spriggan,https://myanimelist.net/anime/420/Spriggan,In-Between Animation,Movie,,1998.0,6.68,39024.0
415,Tonari no Yamada-kun,https://myanimelist.net/anime/415/Tonari_no_Yamada-kun,In-Between Animation,Movie,,1999.0,7.09,51658.0
45643,With All Our Hearts,https://myanimelist.net/anime/45643/With_All_Our_Hearts,Director,ONA,,2021.0,6.61,1434.0
3570,Yadosagashi,https://myanimelist.net/anime/3570/Yadosagashi,Key Animation,Special,,2006.0,6.54,3471.0
28,Yakitate!! Japan,https://myanimelist.net/anime/28/Yakitate_Japan,Key Animation (ep 14),TV,Fall,2004.0,7.91,101406.0
