ID,Title,Link,Roles,Type,Season,Year,Score,Members
3269,.hack//G.U. Trilogy,https://myanimelist.net/anime/3269/hack__GU_Trilogy,ADR Director (French),Movie,,2007,7.06,33963.0
7674,Bakuman.,https://myanimelist.net/anime/7674/Bakuman,ADR Director (French),TV,Fall,2010,8.17,639184.0
10030,Bakuman. 2nd Season,https://myanimelist.net/anime/10030/Bakuman_2nd_Season,ADR Director (French),TV,Fall,2011,8.33,362411.0
57,Beck,https://myanimelist.net/anime/57/Beck,ADR Director,TV,Fall,2004,8.29,357373.0
269,Bleach,https://myanimelist.net/anime/269/Bleach,ADR Director (French),TV,Fall,2004,7.97,2081254.0
1686,Bleach Movie 1: Memories of Nobody,https://myanimelist.net/anime/1686/Bleach_Movie_1__Memories_of_Nobody,ADR Director (French),Movie,,2006,7.43,291625.0
2889,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,https://myanimelist.net/anime/2889/Bleach_Movie_2__The_DiamondDust_Rebellion_-_Mou_Hitotsu_no_Hyourinmaru,ADR Director (French),Movie,,2007,7.42,257641.0
4835,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,https://myanimelist.net/anime/4835/Bleach_Movie_3__Fade_to_Black_-_Kimi_no_Na_wo_Yobu,ADR Director (French),Movie,,2008,7.5,245297.0
8247,Bleach Movie 4: Jigoku-hen,https://myanimelist.net/anime/8247/Bleach_Movie_4__Jigoku-hen,ADR Director (French),Movie,,2010,7.62,225690.0
41467,Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,ADR Director (French),TV,Fall,2022,9.0,622547.0
53998,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan,ADR Director (FR),TV,Summer,2023,8.7,346277.0
56784,Bleach: Sennen Kessen-hen - Soukoku-tan,https://myanimelist.net/anime/56784/Bleach__Sennen_Kessen-hen_-_Soukoku-tan,ADR Director (French),TV,Fall,2024,8.68,220463.0
1050,Bobobo-bo Bo-bobo,https://myanimelist.net/anime/1050/Bobobo-bo_Bo-bobo,ADR Director (French),TV,Fall,2003,7.5,97934.0
1681,Brave Story,https://myanimelist.net/anime/1681/Brave_Story,ADR Director (French),Movie,,2006,7.4,46093.0
514,Cossette no Shouzou,https://myanimelist.net/anime/514/Cossette_no_Shouzou,ADR Director (French),OVA,,2004,6.78,75909.0
