ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
31235,Hikawa Maru Monogatari,https://myanimelist.net/anime/31235/Hikawa_Maru_Monogatari,Movie,,2015,"Hirayama, Jirou",https://myanimelist.net/character/222988/Jirou_Hirayama,222988,Main,0
8311,Tegamibachi Reverse,https://myanimelist.net/anime/8311/Tegamibachi_Reverse,TV,Fall,2010,Kimidori,https://myanimelist.net/character/43318/Kimidori,43318,Supporting,0
1694,iDOLM@STER Xenoglossia,https://myanimelist.net/anime/1694/iDOLMSTER_Xenoglossia,TV,Spring,2007,Gojou,https://myanimelist.net/character/67719/Gojou,67719,Supporting,1
1110,Mermaid Melody Pichi Pichi Pitch Pure,https://myanimelist.net/anime/1110/Mermaid_Melody_Pichi_Pichi_Pitch_Pure,TV,Spring,2004,"Shirai, Nagisa",https://myanimelist.net/character/22668/Nagisa_Shirai,22668,Supporting,2
407,Tantei Gakuen Q,https://myanimelist.net/anime/407/Tantei_Gakuen_Q,TV,Spring,2003,"Hachiya, Musashi",https://myanimelist.net/character/31220/Musashi_Hachiya,31220,Supporting,0
521,Mermaid Melody Pichi Pichi Pitch,https://myanimelist.net/anime/521/Mermaid_Melody_Pichi_Pichi_Pitch,TV,Spring,2003,Makoto,https://myanimelist.net/character/31221/Makoto,31221,Supporting,1
3098,Shutsugeki! Machine Robo Rescue,https://myanimelist.net/anime/3098/Shutsugeki_Machine_Robo_Rescue,TV,Winter,2003,"Aikawa, Makoto",https://myanimelist.net/character/39663/Makoto_Aikawa,39663,Main,1
3098,Shutsugeki! Machine Robo Rescue,https://myanimelist.net/anime/3098/Shutsugeki_Machine_Robo_Rescue,TV,Winter,2003,"Kitazawa, Kai",https://myanimelist.net/character/90933/Kai_Kitazawa,90933,Main,0
23523,Aterui,https://myanimelist.net/anime/23523/Aterui,Movie,,2002,"Okazaki, Hihito",https://myanimelist.net/character/125648/Hihito_Okazaki,125648,Supporting,0
9495,Inochi no Chikyuu: Dioxin no Natsu,https://myanimelist.net/anime/9495/Inochi_no_Chikyuu__Dioxin_no_Natsu,Movie,,2001,Angelo,https://myanimelist.net/character/228899/Angelo,228899,Main,0
104,Ayashi no Ceres,https://myanimelist.net/anime/104/Ayashi_no_Ceres,TV,Spring,2000,"Tsukasa, Shuro",https://myanimelist.net/character/1689/Shuro_Tsukasa,1689,Supporting,8
