ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
34102,Sakurada Reset,https://myanimelist.net/anime/34102/Sakurada_Reset,TV,Spring,2017,Sakuin-san,https://myanimelist.net/character/151766/Sakuin-san,151766,Supporting,1
17919,Houkago no Pleiades (TV),https://myanimelist.net/anime/17919/Houkago_no_Pleiades_TV,TV,Spring,2015,Itsuki's Mother,https://myanimelist.net/character/128270/Itsukis_Mother,128270,Supporting,0
7598,Loups=Garous,https://myanimelist.net/anime/7598/Loups_Garous,Movie,,2010,"Yabe, Yuko",https://myanimelist.net/character/39188/Yuko_Yabe,39188,Supporting,1
5941,Cross Game,https://myanimelist.net/anime/5941/Cross_Game,TV,Spring,2009,"Takigawa, Mother",https://myanimelist.net/character/22586/Mother_Takigawa,22586,Supporting,0
4722,Skip Beat!,https://myanimelist.net/anime/4722/Skip_Beat,TV,Fall,2008,Ruriko's Manager,https://myanimelist.net/character/212725/Ruriko_039_s_Manager,212725,Supporting,0
4898,Kuroshitsuji,https://myanimelist.net/anime/4898/Kuroshitsuji,TV,Fall,2008,"Phantomhive, Rachel",https://myanimelist.net/character/16737/Rachel_Phantomhive,16737,Supporting,15
2847,Pokemon Movie 10: Dialga vs. Palkia vs. Darkrai,https://myanimelist.net/anime/2847/Pokemon_Movie_10__Dialga_vs_Palkia_vs_Darkrai,Movie,,2007,Kolink,https://myanimelist.net/character/222560/Kolink,222560,Supporting,2
1735,Naruto: Shippuuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden,TV,Winter,2007,"Hyuuga, Natsu",https://myanimelist.net/character/119785/Natsu_Hyuuga,119785,Supporting,1
1565,Pokemon Diamond & Pearl,https://myanimelist.net/anime/1565/Pokemon_Diamond___Pearl,TV,Fall,2006,Maria,https://myanimelist.net/character/31725/Maria,31725,Supporting,0
235,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,TV,Winter,1996,"Kadota, Rina",https://myanimelist.net/character/181038/Rina_Kadota,181038,Supporting,0
