ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
53393,Tengoku Daimakyou,https://myanimelist.net/anime/53393/Tengoku_Daimakyou,TV,Spring,2023,Katayama,https://myanimelist.net/character/252338/Katayama,252338,Supporting,0
53393,Tengoku Daimakyou,https://myanimelist.net/anime/53393/Tengoku_Daimakyou,TV,Spring,2023,"Sakota, Teruhiko",https://myanimelist.net/character/229028/Teruhiko_Sakota,229028,Supporting,1
53393,Tengoku Daimakyou,https://myanimelist.net/anime/53393/Tengoku_Daimakyou,TV,Spring,2023,"Sawatari, Teruhiko",https://myanimelist.net/character/225632/Teruhiko_Sawatari,225632,Supporting,0
52031,Itou Junji: Maniac,https://myanimelist.net/anime/52031/Itou_Junji__Maniac,ONA,,2023,Hiratsuka,https://myanimelist.net/character/214002/Hiratsuka,214002,Supporting,0
44511,Chainsaw Man,https://myanimelist.net/anime/44511/Chainsaw_Man,TV,Fall,2022,Madoka,https://myanimelist.net/character/199819/Madoka,199819,Supporting,3
40682,Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,TV,Spring,2020,"Wan, Ji",https://myanimelist.net/character/107305/Ji_Wan,107305,Supporting,0
28617,Punch Line,https://myanimelist.net/anime/28617/Punch_Line,TV,Spring,2015,Gliese,https://myanimelist.net/character/127489/Gliese,127489,Supporting,0
21013,Marvel Disk Wars: The Avengers,https://myanimelist.net/anime/21013/Marvel_Disk_Wars__The_Avengers,TV,Spring,2014,Loki,https://myanimelist.net/character/93987/Loki,93987,Main,4
12031,Kingdom,https://myanimelist.net/anime/12031/Kingdom,TV,Summer,2012,"Wan, Ji",https://myanimelist.net/character/107305/Ji_Wan,107305,Supporting,0
11017,Battle Spirits: Heroes,https://myanimelist.net/anime/11017/Battle_Spirits__Heroes,TV,Fall,2011,"Ooizumi, Manabu",https://myanimelist.net/character/51181/Manabu_Ooizumi,51181,Supporting,0
7661,Giant Killing,https://myanimelist.net/anime/7661/Giant_Killing,TV,Spring,2010,"Akasaki, Ryou",https://myanimelist.net/character/35152/Ryou_Akasaki,35152,Supporting,4
1842,Major S3,https://myanimelist.net/anime/1842/Major_S3,TV,Winter,2007,"Kodama, Kentarou",https://myanimelist.net/character/97971/Kentarou_Kodama,97971,Supporting,0
916,Tokkou,https://myanimelist.net/anime/916/Tokkou,TV,Spring,2006,"Hanazono, Ichiro",https://myanimelist.net/character/20652/Ichiro_Hanazono,20652,Supporting,0
558,Major S2,https://myanimelist.net/anime/558/Major_S2,TV,Winter,2006,"Kodama, Kentarou",https://myanimelist.net/character/97971/Kentarou_Kodama,97971,Supporting,0
915,Ginga Densetsu Weed,https://myanimelist.net/anime/915/Ginga_Densetsu_Weed,TV,Fall,2005,Rick,https://myanimelist.net/character/106979/Rick,106979,Supporting,0
915,Ginga Densetsu Weed,https://myanimelist.net/anime/915/Ginga_Densetsu_Weed,TV,Fall,2005,Shingo,https://myanimelist.net/character/106977/Shingo,106977,Supporting,0
915,Ginga Densetsu Weed,https://myanimelist.net/anime/915/Ginga_Densetsu_Weed,TV,Fall,2005,Missile,https://myanimelist.net/character/106937/Missile,106937,Supporting,0
915,Ginga Densetsu Weed,https://myanimelist.net/anime/915/Ginga_Densetsu_Weed,TV,Fall,2005,Shinsaku,https://myanimelist.net/character/32177/Shinsaku,32177,Supporting,0
