ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
55310,Atarashii Joushi wa Do Tennen,https://myanimelist.net/anime/55310/Atarashii_Joushi_wa_Do_Tennen,TV,Fall,2023,"Shirosaki, Grandmother",https://myanimelist.net/character/238193/Grandmother_Shirosaki,238193,Supporting,2
44516,Koroshi Ai,https://myanimelist.net/anime/44516/Koroshi_Ai,TV,Winter,2022,"Dankworth, Anna",https://myanimelist.net/character/207807/Anna_Dankworth,207807,Supporting,0
45783,Saiyuuki Reload: Zeroin,https://myanimelist.net/anime/45783/Saiyuuki_Reload__Zeroin,TV,Winter,2022,"Koushou, Gyokumen",https://myanimelist.net/character/9265/Gyokumen_Koushou,9265,Supporting,0
33726,Saiyuuki Reload Blast,https://myanimelist.net/anime/33726/Saiyuuki_Reload_Blast,TV,Summer,2017,"Koushou, Gyokumen",https://myanimelist.net/character/9265/Gyokumen_Koushou,9265,Supporting,0
32483,Cheer Danshi!!,https://myanimelist.net/anime/32483/Cheer_Danshi,TV,Summer,2016,Wataru's Mother,https://myanimelist.net/character/251790/Wataru_039_s_Mother,251790,Supporting,0
1379,Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,https://myanimelist.net/anime/1379/Kino_no_Tabi__The_Beautiful_World_-_Nanika_wo_Suru_Tame_ni_-_Life_Goes_On,Movie,,2005,Middle-aged Woman,https://myanimelist.net/character/248115/Middle-aged_Woman,248115,Supporting,0
131,Saiyuuki Reload Gunlock,https://myanimelist.net/anime/131/Saiyuuki_Reload_Gunlock,TV,Spring,2004,"Koushou, Gyokumen",https://myanimelist.net/character/9265/Gyokumen_Koushou,9265,Supporting,0
131,Saiyuuki Reload Gunlock,https://myanimelist.net/anime/131/Saiyuuki_Reload_Gunlock,TV,Spring,2004,"Grouse, Hazel",https://myanimelist.net/character/21498/Hazel_Grouse,21498,Supporting,4
130,Saiyuuki Reload,https://myanimelist.net/anime/130/Saiyuuki_Reload,TV,Fall,2003,"Koushou, Gyokumen",https://myanimelist.net/character/9265/Gyokumen_Koushou,9265,Supporting,0
249,InuYasha,https://myanimelist.net/anime/249/InuYasha,TV,Fall,2000,Mayu's Mother,https://myanimelist.net/character/262148/Mayu_039_s_Mother,262148,Supporting,0
129,Gensoumaden Saiyuuki,https://myanimelist.net/anime/129/Gensoumaden_Saiyuuki,TV,Spring,2000,"Koushou, Gyokumen",https://myanimelist.net/character/9265/Gyokumen_Koushou,9265,Supporting,0
2204,Karakuri Zoushi Ayatsuri Sakon,https://myanimelist.net/anime/2204/Karakuri_Zoushi_Ayatsuri_Sakon,TV,Fall,1999,"Tachibana, Chizuru",https://myanimelist.net/character/89871/Chizuru_Tachibana,89871,Supporting,0
245,Great Teacher Onizuka,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,TV,Summer,1999,"Aizawa, Masayo",https://myanimelist.net/character/34020/Masayo_Aizawa,34020,Supporting,0
235,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,TV,Winter,1996,"Ichikawa, Mizue",https://myanimelist.net/character/180488/Mizue_Ichikawa,180488,Supporting,0
17117,Aoi Kioku: Manmou Kaitaku to Shounen-tachi,https://myanimelist.net/anime/17117/Aoi_Kioku__Manmou_Kaitaku_to_Shounen-tachi,Movie,,1993,"Kawamura, Harue",https://myanimelist.net/character/225527/Harue_Kawamura,225527,Supporting,0
392,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,TV,Fall,1992,Natsume,https://myanimelist.net/character/39258/Natsume,39258,Supporting,1
