ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
1596,Arcade Gamer Fubuki,https://myanimelist.net/anime/1596/Arcade_Gamer_Fubuki,OVA,,2002,Miss Arca,https://myanimelist.net/character/242970/Miss_Arca,242970,Supporting,0
441,Shoujo Kakumei Utena: Adolescence Mokushiroku,https://myanimelist.net/anime/441/Shoujo_Kakumei_Utena__Adolescence_Mokushiroku,Movie,,1999,"Himemiya, Anthy",https://myanimelist.net/character/748/Anthy_Himemiya,748,Main,1273
360,Himiko-den,https://myanimelist.net/anime/360/Himiko-den,TV,Winter,1999,Fujina,https://myanimelist.net/character/20951/Fujina,20951,Main,3
440,Shoujo Kakumei Utena,https://myanimelist.net/anime/440/Shoujo_Kakumei_Utena,TV,Spring,1997,"Himemiya, Anthy",https://myanimelist.net/character/748/Anthy_Himemiya,748,Main,1273
440,Shoujo Kakumei Utena,https://myanimelist.net/anime/440/Shoujo_Kakumei_Utena,TV,Spring,1997,B-ko,https://myanimelist.net/character/13094/B-ko,13094,Supporting,8
2317,Hen,https://myanimelist.net/anime/2317/Hen,OVA,,1997,"Yoshida, Chizuru",https://myanimelist.net/character/16190/Chizuru_Yoshida,16190,Main,6
914,Ike! Ina-chuu Takkyuu-bu,https://myanimelist.net/anime/914/Ike_Ina-chuu_Takkyuu-bu,TV,Spring,1995,"Iwashita, Kyoko",https://myanimelist.net/character/34894/Kyoko_Iwashita,34894,Main,11
1859,Grappler Baki,https://myanimelist.net/anime/1859/Grappler_Baki,OVA,,1994,"Matsumoto, Kozue",https://myanimelist.net/character/22281/Kozue_Matsumoto,22281,Supporting,11
1859,Grappler Baki,https://myanimelist.net/anime/1859/Grappler_Baki,OVA,,1994,"Matsumoto, Kinuyo",https://myanimelist.net/character/41238/Kinuyo_Matsumoto,41238,Supporting,0
3037,GS Mikami: Gokuraku Daisakusen!!,https://myanimelist.net/anime/3037/GS_Mikami__Gokuraku_Daisakusen,Movie,,1994,"Mikami, Reiko",https://myanimelist.net/character/19564/Reiko_Mikami,19564,Main,31
1009,Battle Spirits: Ryuuko no Ken,https://myanimelist.net/anime/1009/Battle_Spirits__Ryuuko_no_Ken,TV Special,,1993,King,https://myanimelist.net/character/15470/King,15470,Supporting,8
2622,Big Wars: Kami Utsu Akaki Kouya ni,https://myanimelist.net/anime/2622/Big_Wars__Kami_Utsu_Akaki_Kouya_ni,OVA,,1993,Darsa,https://myanimelist.net/character/158632/Darsa,158632,Supporting,0
2400,GS Mikami,https://myanimelist.net/anime/2400/GS_Mikami,TV,Spring,1993,"Mikami, Reiko",https://myanimelist.net/character/19564/Reiko_Mikami,19564,Main,31
3882,Seijuuki Cyguard,https://myanimelist.net/anime/3882/Seijuuki_Cyguard,OVA,,1989,"Rozetta, Leyla",https://myanimelist.net/character/27607/Leyla_Rozetta,27607,Main,0
