ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
57592,Dr. Stone: Science Future,https://myanimelist.net/anime/57592/Dr_Stone__Science_Future,TV,Winter,2025,Kaseki,https://myanimelist.net/character/162162/Kaseki,162162,Supporting,590
57360,Kabushikigaisha Magi-Lumière,https://myanimelist.net/anime/57360/Kabushikigaisha_Magi-Lumière,TV,Fall,2024,Nishina,https://myanimelist.net/character/216914/Nishina,216914,Supporting,0
58510,Hanma Baki vs. Kengan Ashura,https://myanimelist.net/anime/58510/Hanma_Baki_vs_Kengan_Ashura,ONA,,2024,"Shibukawa, Gouki",https://myanimelist.net/character/36384/Gouki_Shibukawa,36384,Supporting,40
54789,Boku no Hero Academia 7th Season,https://myanimelist.net/anime/54789/Boku_no_Hero_Academia_7th_Season,TV,Spring,2024,"Ujiko, Daruma",https://myanimelist.net/character/174412/Daruma_Ujiko,174412,Supporting,1
57519,Boku no Hero Academia: Memories,https://myanimelist.net/anime/57519/Boku_no_Hero_Academia__Memories,TV Special,,2024,"Ujiko, Daruma",https://myanimelist.net/character/174412/Daruma_Ujiko,174412,Supporting,1
53580,Tensei shitara Slime Datta Ken 3rd Season,https://myanimelist.net/anime/53580/Tensei_shitara_Slime_Datta_Ken_3rd_Season,TV,Spring,2024,Hakurou,https://myanimelist.net/character/131939/Hakurou,131939,Supporting,83
55813,Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,https://myanimelist.net/anime/55813/Mashle__Shinkakusha_Kouho_Senbatsu_Shiken-hen,TV,Winter,2024,"Baigan, Wahlberg",https://myanimelist.net/character/182835/Wahlberg_Baigan,182835,Supporting,5
54492,Kusuriya no Hitorigoto,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,TV,Fall,2023,Luomen,https://myanimelist.net/character/199481/Luomen,199481,Supporting,3
55644,Dr. Stone: New World Part 2,https://myanimelist.net/anime/55644/Dr_Stone__New_World_Part_2,TV,Fall,2023,Kaseki,https://myanimelist.net/character/162162/Kaseki,162162,Supporting,590
51318,Hanma Baki: Son of Ogre 2nd Season,https://myanimelist.net/anime/51318/Hanma_Baki__Son_of_Ogre_2nd_Season,ONA,,2023,"Shibukawa, Gouki",https://myanimelist.net/character/36384/Gouki_Shibukawa,36384,Supporting,40
51318,Hanma Baki: Son of Ogre 2nd Season,https://myanimelist.net/anime/51318/Hanma_Baki__Son_of_Ogre_2nd_Season,ONA,,2023,Mills,https://myanimelist.net/character/246599/Mills,246599,Supporting,0
52657,Ousama Ranking: Yuuki no Takarabako,https://myanimelist.net/anime/52657/Ousama_Ranking__Yuuki_no_Takarabako,TV,Spring,2023,Desha,https://myanimelist.net/character/200587/Desha,200587,Supporting,75
52211,Mashle,https://myanimelist.net/anime/52211/Mashle,TV,Spring,2023,"Baigan, Wahlberg",https://myanimelist.net/character/182835/Wahlberg_Baigan,182835,Supporting,5
51706,Yuusha ga Shinda!,https://myanimelist.net/anime/51706/Yuusha_ga_Shinda,TV,Spring,2023,"Breydan, Ledo",https://myanimelist.net/character/230238/Ledo_Breydan,230238,Supporting,0
48549,Dr. Stone: New World,https://myanimelist.net/anime/48549/Dr_Stone__New_World,TV,Spring,2023,Kaseki,https://myanimelist.net/character/162162/Kaseki,162162,Supporting,590
46569,Jigokuraku,https://myanimelist.net/anime/46569/Jigokuraku,TV,Spring,2023,Osa,https://myanimelist.net/character/205557/Osa,205557,Supporting,1
53111,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,https://myanimelist.net/anime/53111/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_IV__Shin_Shou_-_Yakusai-hen,TV,Winter,2023,Ouranos,https://myanimelist.net/character/150167/Ouranos,150167,Supporting,0
49877,Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,https://myanimelist.net/anime/49877/Tensei_shitara_Slime_Datta_Ken_Movie__Guren_no_Kizuna-hen,Movie,,2022,Hakurou,https://myanimelist.net/character/131939/Hakurou,131939,Supporting,83
49918,Boku no Hero Academia 6th Season,https://myanimelist.net/anime/49918/Boku_no_Hero_Academia_6th_Season,TV,Fall,2022,"Ujiko, Daruma",https://myanimelist.net/character/174412/Daruma_Ujiko,174412,Supporting,1
50602,Spy x Family Part 2,https://myanimelist.net/anime/50602/Spy_x_Family_Part_2,TV,Fall,2022,"Zacharis, Erik",https://myanimelist.net/character/221553/Erik_Zacharis,221553,Supporting,0
50410,One Piece Film: Red,https://myanimelist.net/anime/50410/One_Piece_Film__Red,Movie,,2022,"Saturn, Jaygarcia",https://myanimelist.net/character/225101/Jaygarcia_Saturn,225101,Supporting,2
