ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
38234,One Piece Movie 14: Stampede,https://myanimelist.net/anime/38234/One_Piece_Movie_14__Stampede,Movie,,2019,Dalmatian,https://myanimelist.net/character/38644/Dalmatian,38644,Supporting,1
31289,One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,https://myanimelist.net/anime/31289/One_Piece__Episode_of_Sabo_-_3_Kyoudai_no_Kizuna_Kiseki_no_Saikai_to_Uketsugareru_Ishi,TV Special,,2015,Moocy,https://myanimelist.net/character/212727/Moocy,212727,Supporting,1
31289,One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,https://myanimelist.net/anime/31289/One_Piece__Episode_of_Sabo_-_3_Kyoudai_no_Kizuna_Kiseki_no_Saikai_to_Uketsugareru_Ishi,TV Special,,2015,Jeet,https://myanimelist.net/character/108591/Jeet,108591,Supporting,1
29163,Sore ga Seiyuu!,https://myanimelist.net/anime/29163/Sore_ga_Seiyuu,TV,Summer,2015,Dance Teacher,https://myanimelist.net/character/265114/Dance_Teacher,265114,Supporting,0
10588,Persona 4 the Animation,https://myanimelist.net/anime/10588/Persona_4_the_Animation,TV,Fall,2011,"Namatame, Tarou",https://myanimelist.net/character/59619/Tarou_Namatame,59619,Supporting,2
9922,Oretachi ni Tsubasa wa Nai: Under the Innocent Sky.,https://myanimelist.net/anime/9922/Oretachi_ni_Tsubasa_wa_Nai__Under_the_Innocent_Sky,TV,Spring,2011,Archbishop,https://myanimelist.net/character/259185/Archbishop,259185,Supporting,0
825,King of Fighters: Another Day,https://myanimelist.net/anime/825/King_of_Fighters__Another_Day,ONA,,2005,"Meira, Soiree",https://myanimelist.net/character/179909/Soiree_Meira,179909,Main,0
284,Area 88 (TV),https://myanimelist.net/anime/284/Area_88_TV,TV,Winter,2004,Roundell,https://myanimelist.net/character/38370/Roundell,38370,Supporting,0
1816,Sonic X,https://myanimelist.net/anime/1816/Sonic_X,TV,Spring,2003,"Wise, Jerome",https://myanimelist.net/character/14749/Jerome_Wise,14749,Supporting,1
462,One Piece Movie 04: Dead End no Bouken,https://myanimelist.net/anime/462/One_Piece_Movie_04__Dead_End_no_Bouken,Movie,,2003,Bigalo,https://myanimelist.net/character/67837/Bigalo,67837,Supporting,0
7048,Crush Gear Nitro,https://myanimelist.net/anime/7048/Crush_Gear_Nitro,TV,Winter,2003,"Sanama, Sanpei",https://myanimelist.net/character/184930/Sanpei_Sanama,184930,Supporting,0
980,Rikujou Bouei-tai Mao-chan,https://myanimelist.net/anime/980/Rikujou_Bouei-tai_Mao-chan,TV,Summer,2002,"Onigawara, Rikukichi",https://myanimelist.net/character/133006/Rikukichi_Onigawara,133006,Supporting,0
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Arlong Pirate (Monkfish),https://myanimelist.net/character/266770/Arlong_Pirate_Monkfish,266770,Supporting,0
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Chiya,https://myanimelist.net/character/267383/Chiya,267383,Supporting,0
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Juki,https://myanimelist.net/character/236611/Juki,236611,Supporting,0
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,G-8 Head Custodian,https://myanimelist.net/character/267419/G-8_Head_Custodian,267419,Supporting,0
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Kerville,https://myanimelist.net/character/220072/Kerville,220072,Supporting,0
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,G-8 Marine Officer (Gray),https://myanimelist.net/character/267516/G-8_Marine_Officer_Gray,267516,Supporting,0
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Moocy,https://myanimelist.net/character/212727/Moocy,212727,Supporting,1
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Ultraking,https://myanimelist.net/character/207978/Ultraking,207978,Supporting,0
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Jose,https://myanimelist.net/character/184017/Jose,184017,Supporting,0
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Rakuda,https://myanimelist.net/character/178649/Rakuda,178649,Supporting,0
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,"Charlotte, Chiboust",https://myanimelist.net/character/168390/Chiboust_Charlotte,168390,Supporting,0
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Dr. Fishbonen,https://myanimelist.net/character/161877/Dr_Fishbonen,161877,Supporting,0
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Catacombo,https://myanimelist.net/character/161871/Catacombo,161871,Supporting,1
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Jeet,https://myanimelist.net/character/108591/Jeet,108591,Supporting,1
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Dalmatian,https://myanimelist.net/character/38644/Dalmatian,38644,Supporting,1
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Doma,https://myanimelist.net/character/25389/Doma,25389,Supporting,1
