ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
60351,Ikuiku Succubus Saikyouiku,https://myanimelist.net/anime/60351/Ikuiku_Succubus_Saikyouiku,OVA,,2025,"Orcus, Ruku",https://myanimelist.net/character/260013/Ruku_Orcus,260013,Main,0
56497,Secret Mission: Sennyuu Sousakan wa Zettai ni Makenai!,https://myanimelist.net/anime/56497/Secret_Mission__Sennyuu_Sousakan_wa_Zettai_ni_Makenai,ONA,,2023,"Ikazuchi, Riko",https://myanimelist.net/character/239973/Riko_Ikazuchi,239973,Main,4
50435,Sei Dorei Gakuen 2,https://myanimelist.net/anime/50435/Sei_Dorei_Gakuen_2,OVA,,2022,"Azuma, Haruka",https://myanimelist.net/character/210569/Haruka_Azuma,210569,Main,1
49020,Jashin Shoukan: Inran Kyonyuu Oyako Ikenie Gishiki,https://myanimelist.net/anime/49020/Jashin_Shoukan__Inran_Kyonyuu_Oyako_Ikenie_Gishiki,OVA,,2021,"Munakata, Rurie",https://myanimelist.net/character/197614/Rurie_Munakata,197614,Main,35
49095,Kuroinu II The Animation,https://myanimelist.net/anime/49095/Kuroinu_II_The_Animation,OVA,,2021,Kohaku,https://myanimelist.net/character/198092/Kohaku,198092,Supporting,0
48651,Sakusei Byoutou The Animation,https://myanimelist.net/anime/48651/Sakusei_Byoutou_The_Animation,OVA,,2021,Mochizuki,https://myanimelist.net/character/242886/Mochizuki,242886,Main,3
42592,Kaa-chan no Tomodachi ni Shikotteru Tokoro Mirareta. The Animation,https://myanimelist.net/anime/42592/Kaa-chan_no_Tomodachi_ni_Shikotteru_Tokoro_Mirareta_The_Animation,OVA,,2020,"Nishimura, Shiori",https://myanimelist.net/character/217475/Shiori_Nishimura,217475,Main,14
42224,Shikiyoku Infinite,https://myanimelist.net/anime/42224/Shikiyoku_Infinite,OVA,,2020,"Souma, Souko",https://myanimelist.net/character/187614/Souko_Souma,187614,Main,2
40855,Hajimete no Hitozuma,https://myanimelist.net/anime/40855/Hajimete_no_Hitozuma,OVA,,2020,Tomoko,https://myanimelist.net/character/183877/Tomoko,183877,Supporting,10
41375,Meltys Quest,https://myanimelist.net/anime/41375/Meltys_Quest,ONA,,2020,"Rothstein, Daliah",https://myanimelist.net/character/191145/Daliah_Rothstein,191145,Supporting,0
40519,Youma Shoukan e Youkoso,https://myanimelist.net/anime/40519/Youma_Shoukan_e_Youkoso,OVA,,2020,Kris,https://myanimelist.net/character/183228/Kris,183228,Supporting,1
40519,Youma Shoukan e Youkoso,https://myanimelist.net/anime/40519/Youma_Shoukan_e_Youkoso,OVA,,2020,Maria,https://myanimelist.net/character/178818/Maria,178818,Main,1
40212,Shigokare: Ecchi na Joshi Daisei to Doki x2 Love Lesson!! The Animation,https://myanimelist.net/anime/40212/Shigokare__Ecchi_na_Joshi_Daisei_to_Doki_x2_Love_Lesson_The_Animation,OVA,,2019,"Takemi, Kasumi",https://myanimelist.net/character/201772/Kasumi_Takemi,201772,Main,4
37340,Venus Blood: Brave,https://myanimelist.net/anime/37340/Venus_Blood__Brave,OVA,,2018,"Menor, Akris",https://myanimelist.net/character/169205/Akris_Menor,169205,Main,0
37815,Niizuma Koyomi The Animation,https://myanimelist.net/anime/37815/Niizuma_Koyomi_The_Animation,OVA,,2018,"Uikawa, Shino",https://myanimelist.net/character/225116/Shino_Uikawa,225116,Main,10
36720,Youkoso! Sukebe Elf no Mori e,https://myanimelist.net/anime/36720/Youkoso_Sukebe_Elf_no_Mori_e,OVA,,2018,"Menelumia, Lucie",https://myanimelist.net/character/170184/Lucie_Menelumia,170184,Main,39
35028,Baka Dakedo Chinchin Shaburu no dake wa Jouzu na Chii-chan♡,https://myanimelist.net/anime/35028/Baka_Dakedo_Chinchin_Shaburu_no_dake_wa_Jouzu_na_Chii-chan♡,OVA,,2017,"Shiina, Chieri",https://myanimelist.net/character/152805/Chieri_Shiina,152805,Main,86
34963,Yarimoku Beach ni Shuugakuryokou de!! The Animation,https://myanimelist.net/anime/34963/Yarimoku_Beach_ni_Shuugakuryokou_de_The_Animation,OVA,,2017,"Sakai, Maria",https://myanimelist.net/character/176792/Maria_Sakai,176792,Supporting,3
34638,Jitaku Keibiin,https://myanimelist.net/anime/34638/Jitaku_Keibiin,OVA,,2017,"Katsuragi, Shouko",https://myanimelist.net/character/158622/Shouko_Katsuragi,158622,Main,37
34659,Otokonoko ♂ Delivery,https://myanimelist.net/anime/34659/Otokonoko_♂_Delivery,OVA,,2016,Aoi,https://myanimelist.net/character/159512/Aoi,159512,Main,8
33165,Mashou no Nie 3,https://myanimelist.net/anime/33165/Mashou_no_Nie_3,OVA,,2016,"von Austria, Iris",https://myanimelist.net/character/147411/Iris_von_Austria,147411,Main,3
32833,Nudist Beach ni Shuugaku Ryokou de!! The Animation,https://myanimelist.net/anime/32833/Nudist_Beach_ni_Shuugaku_Ryokou_de_The_Animation,OVA,,2016,"Sakai, Maria",https://myanimelist.net/character/176792/Maria_Sakai,176792,Main,3
32405,Marshmallow★Imouto★Succubus★,https://myanimelist.net/anime/32405/Marshmallow★Imouto★Succubus★,OVA,,2016,"Manabe, Riri",https://myanimelist.net/character/143942/Riri_Manabe,143942,Main,2
31401,Creamy Pie,https://myanimelist.net/anime/31401/Creamy_Pie,OVA,,2015,Alice,https://myanimelist.net/character/264166/Alice,264166,Supporting,0
30614,Ane Yome Quartet,https://myanimelist.net/anime/30614/Ane_Yome_Quartet,OVA,,2015,"Hanabishi, Yurina",https://myanimelist.net/character/130737/Yurina_Hanabishi,130737,Main,23
31118,Demon Busters: Ecchi na Ecchi na Demon Taiji The Animation,https://myanimelist.net/anime/31118/Demon_Busters__Ecchi_na_Ecchi_na_Demon_Taiji_The_Animation,OVA,,2015,"Hinata, Ai",https://myanimelist.net/character/139315/Ai_Hinata,139315,Main,4
29808,Namaiki: Kissuisou e Youkoso! The Animation,https://myanimelist.net/anime/29808/Namaiki__Kissuisou_e_Youkoso_The_Animation,OVA,,2015,"Esumi, Mei",https://myanimelist.net/character/124085/Mei_Esumi,124085,Main,13
29085,Sei Yariman Sisters Pakopako Nikki The Animation,https://myanimelist.net/anime/29085/Sei_Yariman_Sisters_Pakopako_Nikki_The_Animation,OVA,,2015,"Nagase, Maki",https://myanimelist.net/character/124040/Maki_Nagase,124040,Main,1
25345,Rance 01: Hikari wo Motomete The Animation,https://myanimelist.net/anime/25345/Rance_01__Hikari_wo_Motomete_The_Animation,OVA,,2014,"Sys, Necai",https://myanimelist.net/character/115145/Necai_Sys,115145,Supporting,6
24641,Baku Ane: Otouto Shibocchau zo! The Animation,https://myanimelist.net/anime/24641/Baku_Ane__Otouto_Shibocchau_zo_The_Animation,OVA,,2014,"Hayasaki, Naru",https://myanimelist.net/character/120793/Naru_Hayasaki,120793,Main,11
21925,Chichiiro Toiki,https://myanimelist.net/anime/21925/Chichiiro_Toiki,OVA,,2014,"Kawasumi, Saya",https://myanimelist.net/character/120509/Saya_Kawasumi,120509,Main,58
21751,Okusama wa Moto Yariman,https://myanimelist.net/anime/21751/Okusama_wa_Moto_Yariman,OVA,,2014,"Suzumoto, Mako",https://myanimelist.net/character/124044/Mako_Suzumoto,124044,Main,8
19857,Kagachi-sama Onagusame Tatematsurimasu: Netorare Mura Inya Hanashi The Animation,https://myanimelist.net/anime/19857/Kagachi-sama_Onagusame_Tatematsurimasu__Netorare_Mura_Inya_Hanashi_The_Animation,OVA,,2013,"Tomikura, Manami",https://myanimelist.net/character/89053/Manami_Tomikura,89053,Main,3
16472,Sei Yariman Gakuen Enkou Nikki The Animation,https://myanimelist.net/anime/16472/Sei_Yariman_Gakuen_Enkou_Nikki_The_Animation,OVA,,2013,"Misono, Miho",https://myanimelist.net/character/79557/Miho_Misono,79557,Main,66
17251,Wanna. SpartanSex Spermax!!!,https://myanimelist.net/anime/17251/Wanna_SpartanSex_Spermax,OVA,,2013,"Hiragi, Aiki",https://myanimelist.net/character/79765/Aiki_Hiragi,79765,Main,3
16189,Miboujin Nikki: Akogare no Ano Hito to Hitotsu Yane no Shita,https://myanimelist.net/anime/16189/Miboujin_Nikki__Akogare_no_Ano_Hito_to_Hitotsu_Yane_no_Shita,OVA,,2013,"Sonomura, Ayako",https://myanimelist.net/character/93375/Ayako_Sonomura,93375,Main,25
15537,Tsugou no Yoi Sexfriend?,https://myanimelist.net/anime/15537/Tsugou_no_Yoi_Sexfriend,OVA,,2012,"Yanagi, Ryouko",https://myanimelist.net/character/74956/Ryouko_Yanagi,74956,Main,52
11827,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,https://myanimelist.net/anime/11827/Kuroinu__Kedakaki_Seijo_wa_Hakudaku_ni_Somaru,OVA,,2012,"Levantine, Claudia",https://myanimelist.net/character/96355/Claudia_Levantine,96355,Main,29
