ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
39622,Bakugan: Battle Planet,https://myanimelist.net/anime/39622/Bakugan__Battle_Planet,TV,Spring,2019,Bee,https://myanimelist.net/character/170939/Bee,170939,Supporting,0
39622,Bakugan: Battle Planet,https://myanimelist.net/anime/39622/Bakugan__Battle_Planet,TV,Spring,2019,"Kouzo, Bill",https://myanimelist.net/character/170949/Bill_Kouzo,170949,Supporting,0
39622,Bakugan: Battle Planet,https://myanimelist.net/anime/39622/Bakugan__Battle_Planet,TV,Spring,2019,Bobby,https://myanimelist.net/character/170956/Bobby,170956,Supporting,0
5962,Metal Fight Beyblade,https://myanimelist.net/anime/5962/Metal_Fight_Beyblade,TV,Spring,2009,"Hagane, Ginga",https://myanimelist.net/character/22337/Ginga_Hagane,22337,Main,214
1668,Bakuten Shoot Beyblade G Revolution,https://myanimelist.net/anime/1668/Bakuten_Shoot_Beyblade_G_Revolution,TV,Winter,2003,"Masefield, Brooklyn",https://myanimelist.net/character/7122/Brooklyn_Masefield,7122,Supporting,22
288,Bakuten Shoot Beyblade,https://myanimelist.net/anime/288/Bakuten_Shoot_Beyblade,TV,Winter,2001,Cairona,https://myanimelist.net/character/150120/Cairona,150120,Supporting,0
288,Bakuten Shoot Beyblade,https://myanimelist.net/anime/288/Bakuten_Shoot_Beyblade,TV,Winter,2001,Butler,https://myanimelist.net/character/153215/Butler,153215,Supporting,0
288,Bakuten Shoot Beyblade,https://myanimelist.net/anime/288/Bakuten_Shoot_Beyblade,TV,Winter,2001,Cook 1,https://myanimelist.net/character/153244/Cook_1,153244,Supporting,0
288,Bakuten Shoot Beyblade,https://myanimelist.net/anime/288/Bakuten_Shoot_Beyblade,TV,Winter,2001,Delinquent C,https://myanimelist.net/character/153247/Delinquent_C,153247,Supporting,0
1138,Medarot,https://myanimelist.net/anime/1138/Medarot,TV,Summer,1999,Cyandog,https://myanimelist.net/character/25008/Cyandog,25008,Supporting,1
163,Power Stone,https://myanimelist.net/anime/163/Power_Stone,TV,Spring,1999,"Fokker, Edward",https://myanimelist.net/character/10007/Edward_Fokker,10007,Main,3
1240,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,https://myanimelist.net/anime/1240/Bishoujo_Senshi_Sailor_Moon_SuperS__Sailor_9_Senshi_Shuuketsu_Black_Dream_Hole_no_Kiseki,Movie,,1995,Poupelin,https://myanimelist.net/character/26890/Poupelin,26890,Supporting,0
170,Slam Dunk,https://myanimelist.net/anime/170/Slam_Dunk,TV,Fall,1993,"Sakuragi, Hanamichi",https://myanimelist.net/character/310/Hanamichi_Sakuragi,310,Main,8400
740,Bishoujo Senshi Sailor Moon R,https://myanimelist.net/anime/740/Bishoujo_Senshi_Sailor_Moon_R,TV,Spring,1993,Crimson Rubeus,https://myanimelist.net/character/8882/Crimson_Rubeus,8882,Supporting,3
1254,Saint Seiya,https://myanimelist.net/anime/1254/Saint_Seiya,TV,Fall,1986,"Unicorn, Jabu",https://myanimelist.net/character/18729/Jabu_Unicorn,18729,Supporting,6
