ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
58894,Touken Ranbu Kai: Douden Chikashi Haberau Monora,https://myanimelist.net/anime/58894/Touken_Ranbu_Kai__Douden_Chikashi_Haberau_Monora,Movie,,2024,"Toushirou, Hirano",https://myanimelist.net/character/134396/Hirano_Toushirou,134396,Supporting,1
51859,Touken Ranbu Kai: Kyoden Moyuru Honnouji,https://myanimelist.net/anime/51859/Touken_Ranbu_Kai__Kyoden_Moyuru_Honnouji,TV,Spring,2024,"Toushirou, Hirano",https://myanimelist.net/character/134396/Hirano_Toushirou,134396,Supporting,1
51009,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,TV,Summer,2023,"Nitta, Arata",https://myanimelist.net/character/189219/Arata_Nitta,189219,Supporting,3
54767,Fuyu no Okurimono,https://myanimelist.net/anime/54767/Fuyu_no_Okurimono,ONA,,2023,Father,https://myanimelist.net/character/227322/Father,227322,Supporting,0
47777,Toku: Touken Ranbu - Hanamaru - Setsugetsuka,https://myanimelist.net/anime/47777/Toku__Touken_Ranbu_-_Hanamaru_-_Setsugetsuka,Movie,,2022,"Kuniyuki, Akashi",https://myanimelist.net/character/134405/Akashi_Kuniyuki,134405,Supporting,18
47777,Toku: Touken Ranbu - Hanamaru - Setsugetsuka,https://myanimelist.net/anime/47777/Toku__Touken_Ranbu_-_Hanamaru_-_Setsugetsuka,Movie,,2022,"Toushirou, Hirano",https://myanimelist.net/character/134396/Hirano_Toushirou,134396,Supporting,1
47777,Toku: Touken Ranbu - Hanamaru - Setsugetsuka,https://myanimelist.net/anime/47777/Toku__Touken_Ranbu_-_Hanamaru_-_Setsugetsuka,Movie,,2022,Sohayanotsurugi,https://myanimelist.net/character/159838/Sohayanotsurugi,159838,Supporting,1
44940,World Trigger 3rd Season,https://myanimelist.net/anime/44940/World_Trigger_3rd_Season,TV,Fall,2021,"Koarai, Noboru",https://myanimelist.net/character/126420/Noboru_Koarai,126420,Supporting,0
40907,World Trigger 2nd Season,https://myanimelist.net/anime/40907/World_Trigger_2nd_Season,TV,Winter,2021,"Koarai, Noboru",https://myanimelist.net/character/126420/Noboru_Koarai,126420,Supporting,0
34863,Zoku Touken Ranbu: Hanamaru,https://myanimelist.net/anime/34863/Zoku_Touken_Ranbu__Hanamaru,TV,Winter,2018,"Kuniyuki, Akashi",https://myanimelist.net/character/134405/Akashi_Kuniyuki,134405,Supporting,18
34863,Zoku Touken Ranbu: Hanamaru,https://myanimelist.net/anime/34863/Zoku_Touken_Ranbu__Hanamaru,TV,Winter,2018,Sohayanotsurugi,https://myanimelist.net/character/159838/Sohayanotsurugi,159838,Supporting,1
34863,Zoku Touken Ranbu: Hanamaru,https://myanimelist.net/anime/34863/Zoku_Touken_Ranbu__Hanamaru,TV,Winter,2018,"Toushirou, Hirano",https://myanimelist.net/character/134396/Hirano_Toushirou,134396,Supporting,1
36444,Touken Ranbu: Hanamaru - Makuai Kaisouroku,https://myanimelist.net/anime/36444/Touken_Ranbu__Hanamaru_-_Makuai_Kaisouroku,Movie,,2017,"Toushirou, Hirano",https://myanimelist.net/character/134396/Hirano_Toushirou,134396,Supporting,1
36444,Touken Ranbu: Hanamaru - Makuai Kaisouroku,https://myanimelist.net/anime/36444/Touken_Ranbu__Hanamaru_-_Makuai_Kaisouroku,Movie,,2017,"Kuniyuki, Akashi",https://myanimelist.net/character/134405/Akashi_Kuniyuki,134405,Supporting,18
34566,Boruto: Naruto Next Generations,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations,TV,Spring,2017,Kakou,https://myanimelist.net/character/173409/Kakou,173409,Supporting,0
33836,Seiren,https://myanimelist.net/anime/33836/Seiren,TV,Winter,2017,"Nanasaki, Ikuo",https://myanimelist.net/character/146768/Ikuo_Nanasaki,146768,Supporting,7
