ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
10165,Nichijou,https://myanimelist.net/anime/10165/Nichijou,TV,Spring,2011,Narrator,https://myanimelist.net/character/42659/Narrator,42659,Supporting,22
2645,Dorami & Doraemons: Space Land's Critical Event,https://myanimelist.net/anime/2645/Dorami___Doraemons__Space_Lands_Critical_Event,Movie,,2001,Dorami,https://myanimelist.net/character/61815/Dorami,61815,Main,18
2646,Dorami & Doraemons: Robot School's Seven Mysteries,https://myanimelist.net/anime/2646/Dorami___Doraemons__Robot_Schools_Seven_Mysteries,Movie,,1996,Dorami,https://myanimelist.net/character/61815/Dorami,61815,Main,18
2648,Doraemon: 2112-nen Doraemon Tanjou,https://myanimelist.net/anime/2648/Doraemon__2112-nen_Doraemon_Tanjou,Movie,,1995,Dorami,https://myanimelist.net/character/61815/Dorami,61815,Supporting,18
998,Blue Seed,https://myanimelist.net/anime/998/Blue_Seed,TV,Fall,1994,"Yamatone, Wakaba",https://myanimelist.net/character/241700/Wakaba_Yamatone,241700,Supporting,0
2332,Plastic Little,https://myanimelist.net/anime/2332/Plastic_Little,OVA,,1994,"Jones, Mei Lin",https://myanimelist.net/character/13919/Mei_Lin_Jones,13919,Supporting,0
2314,Tobe! Kujira no Peek,https://myanimelist.net/anime/2314/Tobe_Kujira_no_Peek,Movie,,1991,Maira,https://myanimelist.net/character/155616/Maira,155616,Supporting,0
1289,Kidou Keisatsu Patlabor: New OVA,https://myanimelist.net/anime/1289/Kidou_Keisatsu_Patlabor__New_OVA,OVA,,1990,"Kumagami, Takeo",https://myanimelist.net/character/44493/Takeo_Kumagami,44493,Supporting,5
20243,Gatapishi,https://myanimelist.net/anime/20243/Gatapishi,TV,Spring,1990,Gatapishi,https://myanimelist.net/character/90591/Gatapishi,90591,Main,0
324,Kidou Keisatsu Patlabor: On Television,https://myanimelist.net/anime/324/Kidou_Keisatsu_Patlabor__On_Television,TV,Fall,1989,"Kumagami, Takeo",https://myanimelist.net/character/44493/Takeo_Kumagami,44493,Supporting,5
