ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
10793,Guilty Crown,https://myanimelist.net/anime/10793/Guilty_Crown,TV,Fall,2011,"Keidou, Shuuichirou",https://myanimelist.net/character/50077/Shuuichirou_Keidou,50077,Supporting,1
8937,Toaru Majutsu no Index II,https://myanimelist.net/anime/8937/Toaru_Majutsu_no_Index_II,TV,Fall,2010,"Komaba, Ritoku",https://myanimelist.net/character/40145/Ritoku_Komaba,40145,Supporting,0
8937,Toaru Majutsu no Index II,https://myanimelist.net/anime/8937/Toaru_Majutsu_no_Index_II,TV,Fall,2010,"Conder, Charles",https://myanimelist.net/character/39983/Charles_Conder,39983,Supporting,0
8769,Ore no Imouto ga Konnani Kawaii Wake ga Nai,https://myanimelist.net/anime/8769/Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai,TV,Fall,2010,"Kousaka, Daisuke",https://myanimelist.net/character/37196/Daisuke_Kousaka,37196,Supporting,7
6500,Seikon no Qwaser,https://myanimelist.net/anime/6500/Seikon_no_Qwaser,TV,Winter,2010,"Ootori, Shinichiro",https://myanimelist.net/character/29549/Shinichiro_Ootori,29549,Supporting,3
4896,Umineko no Naku Koro ni,https://myanimelist.net/anime/4896/Umineko_no_Naku_Koro_ni,TV,Summer,2009,"Ushiromiya, Kinzou",https://myanimelist.net/character/14041/Kinzou_Ushiromiya,14041,Supporting,54
4192,Hayate no Gotoku!!,https://myanimelist.net/anime/4192/Hayate_no_Gotoku,TV,Spring,2009,"Klaus, Seishirou",https://myanimelist.net/character/3981/Seishirou_Klaus,3981,Supporting,13
5231,Inazuma Eleven,https://myanimelist.net/anime/5231/Inazuma_Eleven,TV,Fall,2008,"Hibiki, Seigou",https://myanimelist.net/character/33986/Seigou_Hibiki,33986,Supporting,2
5262,Shugo Chara!! Doki,https://myanimelist.net/anime/5262/Shugo_Chara_Doki,TV,Fall,2008,"Hoshina, Kazuomi",https://myanimelist.net/character/23969/Kazuomi_Hoshina,23969,Supporting,0
3712,Zero no Tsukaima: Princesses no Rondo,https://myanimelist.net/anime/3712/Zero_no_Tsukaima__Princesses_no_Rondo,TV,Summer,2008,"Colbert, Jean",https://myanimelist.net/character/1291/Jean_Colbert,1291,Supporting,26
2923,Shugo Chara!,https://myanimelist.net/anime/2923/Shugo_Chara,TV,Fall,2007,"Hoshina, Kazuomi",https://myanimelist.net/character/23969/Kazuomi_Hoshina,23969,Supporting,0
2167,Clannad,https://myanimelist.net/anime/2167/Clannad,TV,Fall,2007,"Okazaki, Naoyuki",https://myanimelist.net/character/16054/Naoyuki_Okazaki,16054,Supporting,55
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,https://myanimelist.net/anime/3002/Gyakkyou_Burai_Kaiji__Ultimate_Survivor,TV,Fall,2007,Narrator,https://myanimelist.net/character/17062/Narrator,17062,Supporting,115
2986,Bamboo Blade,https://myanimelist.net/anime/2986/Bamboo_Blade,TV,Fall,2007,"Hayashi, Tadaaki",https://myanimelist.net/character/39819/Tadaaki_Hayashi,39819,Supporting,0
1840,Zero no Tsukaima: Futatsuki no Kishi,https://myanimelist.net/anime/1840/Zero_no_Tsukaima__Futatsuki_no_Kishi,TV,Summer,2007,"Colbert, Jean",https://myanimelist.net/character/1291/Jean_Colbert,1291,Supporting,26
2158,Terra e... (TV),https://myanimelist.net/anime/2158/Terra_e_TV,TV,Spring,2007,Hilman,https://myanimelist.net/character/40387/Hilman,40387,Supporting,0
2025,Darker than Black: Kuro no Keiyakusha,https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha,TV,Spring,2007,Huang,https://myanimelist.net/character/2164/Huang,2164,Main,86
1699,Romeo x Juliet,https://myanimelist.net/anime/1699/Romeo_x_Juliet,TV,Spring,2007,"Montague, Laertes",https://myanimelist.net/character/2046/Laertes_Montague,2046,Supporting,1
