ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
58216,Übel Blatt,https://myanimelist.net/anime/58216/Übel_Blatt,TV,Winter,2025,Largor III,https://myanimelist.net/character/137241/Largor_III,137241,Supporting,0
57719,Akuyaku Reijou Tensei Ojisan,https://myanimelist.net/anime/57719/Akuyaku_Reijou_Tensei_Ojisan,TV,Winter,2025,Walz,https://myanimelist.net/character/263110/Walz,263110,Supporting,0
50306,Seirei Gensouki 2,https://myanimelist.net/anime/50306/Seirei_Gensouki_2,TV,Fall,2024,Syldra,https://myanimelist.net/character/200658/Syldra,200658,Supporting,0
54913,"Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru.",https://myanimelist.net/anime/54913/Shinmai_Ossan_Boukensha_Saikyou_Party_ni_Shinu_hodo_Kitaerarete_Muteki_ni_Naru,TV,Summer,2024,"Resurrect, Snape",https://myanimelist.net/character/250881/Snape_Resurrect,250881,Supporting,0
55911,The Fable,https://myanimelist.net/anime/55911/The_Fable,TV,Spring,2024,Master,https://myanimelist.net/character/243907/Master,243907,Supporting,1
50664,Saihate no Paladin: Tetsusabi no Yama no Ou,https://myanimelist.net/anime/50664/Saihate_no_Paladin__Tetsusabi_no_Yama_no_Ou,TV,Fall,2023,Hiram,https://myanimelist.net/character/235749/Hiram,235749,Supporting,0
53716,Hirogaru Sky! Precure,https://myanimelist.net/anime/53716/Hirogaru_Sky_Precure,TV,Winter,2023,King of Sky Land,https://myanimelist.net/character/229472/King_of_Sky_Land,229472,Supporting,0
43735,Cue!,https://myanimelist.net/anime/43735/Cue,TV,Winter,2022,Masapi,https://myanimelist.net/character/264366/Masapi,264366,Supporting,0
44203,Seirei Gensouki,https://myanimelist.net/anime/44203/Seirei_Gensouki,TV,Summer,2021,Syldra,https://myanimelist.net/character/200658/Syldra,200658,Supporting,0
40269,Kengan Ashura Part 2,https://myanimelist.net/anime/40269/Kengan_Ashura_Part_2,ONA,,2019,"Murobuchi, Gozo",https://myanimelist.net/character/187554/Gozo_Murobuchi,187554,Supporting,0
36903,Kengan Ashura,https://myanimelist.net/anime/36903/Kengan_Ashura,ONA,,2019,"Murobuchi, Gozo",https://myanimelist.net/character/187554/Gozo_Murobuchi,187554,Supporting,0
39592,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,https://myanimelist.net/anime/39592/Kidou_Senshi_Gundam__The_Origin_-_Zenya_Akai_Suisei,TV,Spring,2019,Gaia,https://myanimelist.net/character/129534/Gaia,129534,Supporting,1
35984,Mahou Shoujo Lyrical Nanoha: Detonation,https://myanimelist.net/anime/35984/Mahou_Shoujo_Lyrical_Nanoha__Detonation,Movie,,2018,Zafila,https://myanimelist.net/character/4178/Zafila,4178,Supporting,5
35972,Fairy Tail: Final Series,https://myanimelist.net/anime/35972/Fairy_Tail__Final_Series,TV,Fall,2018,Hoteye,https://myanimelist.net/character/37773/Hoteye,37773,Supporting,12
36902,Mahou Shoujo Ore,https://myanimelist.net/anime/36902/Mahou_Shoujo_Ore,TV,Spring,2018,Kokoro-chan,https://myanimelist.net/character/157924/Kokoro-chan,157924,Supporting,1
17947,Mahou Shoujo Lyrical Nanoha: Reflection,https://myanimelist.net/anime/17947/Mahou_Shoujo_Lyrical_Nanoha__Reflection,Movie,,2017,Zafila,https://myanimelist.net/character/4178/Zafila,4178,Supporting,5
34501,Kenka Banchou Otome: Girl Beats Boys,https://myanimelist.net/anime/34501/Kenka_Banchou_Otome__Girl_Beats_Boys,TV,Spring,2017,Enchou,https://myanimelist.net/character/155921/Enchou,155921,Supporting,0
34494,Sakura Quest,https://myanimelist.net/anime/34494/Sakura_Quest,TV,Spring,2017,"Kume, Tomoharu",https://myanimelist.net/character/151169/Tomoharu_Kume,151169,Supporting,0
32696,Fukigen na Mononokean,https://myanimelist.net/anime/32696/Fukigen_na_Mononokean,TV,Summer,2016,Mitsuchigura,https://myanimelist.net/character/140998/Mitsuchigura,140998,Supporting,1
31018,DD Hokuto no Ken 2 Ichigo Aji+,https://myanimelist.net/anime/31018/DD_Hokuto_no_Ken_2_Ichigo_Aji_,TV,Fall,2015,Raou,https://myanimelist.net/character/8738/Raou,8738,Supporting,575
28619,Ranpo Kitan: Game of Laplace,https://myanimelist.net/anime/28619/Ranpo_Kitan__Game_of_Laplace,TV,Summer,2015,"Komoda, Genzaburou",https://myanimelist.net/character/133630/Genzaburou_Komoda,133630,Supporting,0
25939,Mahou Shoujo Lyrical Nanoha ViVid,https://myanimelist.net/anime/25939/Mahou_Shoujo_Lyrical_Nanoha_ViVid,TV,Spring,2015,Zafila,https://myanimelist.net/character/4178/Zafila,4178,Supporting,5
10937,Kidou Senshi Gundam: The Origin,https://myanimelist.net/anime/10937/Kidou_Senshi_Gundam__The_Origin,OVA,,2015,Gaia,https://myanimelist.net/character/129534/Gaia,129534,Supporting,1
24417,Maido! Urayasu Tekkin Kazoku,https://myanimelist.net/anime/24417/Maido_Urayasu_Tekkin_Kazoku,TV,Summer,2014,"Oosawagi, Daitetsu",https://myanimelist.net/character/107411/Daitetsu_Oosawagi,107411,Supporting,0
22043,Fairy Tail (2014),https://myanimelist.net/anime/22043/Fairy_Tail_2014,TV,Spring,2014,Hoteye,https://myanimelist.net/character/37773/Hoteye,37773,Supporting,12
19369,Outbreak Company,https://myanimelist.net/anime/19369/Outbreak_Company,TV,Fall,2013,Zakhar,https://myanimelist.net/character/97437/Zakhar,97437,Supporting,0
17705,DD Hokuto no Ken (2013),https://myanimelist.net/anime/17705/DD_Hokuto_no_Ken_2013,TV,Spring,2013,Raou,https://myanimelist.net/character/8738/Raou,8738,Main,575
17705,DD Hokuto no Ken (2013),https://myanimelist.net/anime/17705/DD_Hokuto_no_Ken_2013,TV,Spring,2013,Hyui,https://myanimelist.net/character/17903/Hyui,17903,Supporting,0
17705,DD Hokuto no Ken (2013),https://myanimelist.net/anime/17705/DD_Hokuto_no_Ken_2013,TV,Spring,2013,Diamond,https://myanimelist.net/character/28511/Diamond,28511,Supporting,1
