ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
60401,Uchuujin MuuMuu,https://myanimelist.net/anime/60401/Uchuujin_MuuMuu,TV,Spring,2025,"Tenkubashi, Wataru",https://myanimelist.net/character/261469/Wataru_Tenkubashi,261469,Supporting,0
59349,Salaryman ga Isekai ni Ittara Shitennou ni Natta Hanashi,https://myanimelist.net/anime/59349/Salaryman_ga_Isekai_ni_Ittara_Shitennou_ni_Natta_Hanashi,TV,Winter,2025,Butagarian,https://myanimelist.net/character/260007/Butagarian,260007,Supporting,0
48896,Overlord Movie 3: Sei Oukoku-hen,https://myanimelist.net/anime/48896/Overlord_Movie_3__Sei_Oukoku-hen,Movie,,2024,"Montagnés, Gustav",https://myanimelist.net/character/255808/Gustav_Montagn_eacute_s,255808,Supporting,0
58717,Garouden: The Way of the Lone Wolf,https://myanimelist.net/anime/58717/Garouden__The_Way_of_the_Lone_Wolf,ONA,,2024,"Tamon, Fumito",https://myanimelist.net/character/247318/Fumito_Tamon,247318,Supporting,0
52816,Majo to Yajuu,https://myanimelist.net/anime/52816/Majo_to_Yajuu,TV,Winter,2024,"Cole, Reuben",https://myanimelist.net/character/237892/Reuben_Cole,237892,Supporting,0
48426,Kitarou Tanjou: Gegege no Nazo,https://myanimelist.net/anime/48426/Kitarou_Tanjou__Gegege_no_Nazo,Movie,,2023,Mizuki,https://myanimelist.net/character/161242/Mizuki,161242,Supporting,1
35737,Pluto,https://myanimelist.net/anime/35737/Pluto,ONA,,2023,Brando,https://myanimelist.net/character/44469/Brando,44469,Supporting,5
50796,Kimi wa Houkago Insomnia,https://myanimelist.net/anime/50796/Kimi_wa_Houkago_Insomnia,TV,Spring,2023,"Nakami, Father",https://myanimelist.net/character/190409/Father_Nakami,190409,Supporting,0
50183,Blue Giant,https://myanimelist.net/anime/50183/Blue_Giant,Movie,,2023,"Amanuma, Kousei",https://myanimelist.net/character/246079/Kousei_Amanuma,246079,Supporting,0
51462,Isekai Nonbiri Nouka,https://myanimelist.net/anime/51462/Isekai_Nonbiri_Nouka,TV,Winter,2023,Kuro,https://myanimelist.net/character/224392/Kuro,224392,Supporting,22
