ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
54717,Mahoutsukai Precure!! Mirai Days,https://myanimelist.net/anime/54717/Mahoutsukai_Precure_Mirai_Days,TV,Winter,2025,"Nagase, Mayumi",https://myanimelist.net/character/157571/Mayumi_Nagase,157571,Supporting,0
39167,Girls & Panzer: Saishuushou Part 4,https://myanimelist.net/anime/39167/Girls___Panzer__Saishuushou_Part_4,Movie,,2023,"Ikeda, Emi",https://myanimelist.net/character/161640/Emi_Ikeda,161640,Supporting,0
39167,Girls & Panzer: Saishuushou Part 4,https://myanimelist.net/anime/39167/Girls___Panzer__Saishuushou_Part_4,Movie,,2023,"Sakaguchi, Karina",https://myanimelist.net/character/67497/Karina_Sakaguchi,67497,Supporting,4
39166,Girls & Panzer: Saishuushou Part 3,https://myanimelist.net/anime/39166/Girls___Panzer__Saishuushou_Part_3,Movie,,2021,"Sakaguchi, Karina",https://myanimelist.net/character/67497/Karina_Sakaguchi,67497,Supporting,4
39166,Girls & Panzer: Saishuushou Part 3,https://myanimelist.net/anime/39166/Girls___Panzer__Saishuushou_Part_3,Movie,,2021,"Ikeda, Emi",https://myanimelist.net/character/161640/Emi_Ikeda,161640,Supporting,0
40587,Precure Miracle Leap Movie: Minna to no Fushigi na Ichinichi,https://myanimelist.net/anime/40587/Precure_Miracle_Leap_Movie__Minna_to_no_Fushigi_na_Ichinichi,Movie,,2020,Hug-tan,https://myanimelist.net/character/157507/Hug-tan,157507,Supporting,7
38081,Girls & Panzer: Saishuushou Part 2,https://myanimelist.net/anime/38081/Girls___Panzer__Saishuushou_Part_2,Movie,,2019,"Sakaguchi, Karina",https://myanimelist.net/character/67497/Karina_Sakaguchi,67497,Supporting,4
38081,Girls & Panzer: Saishuushou Part 2,https://myanimelist.net/anime/38081/Girls___Panzer__Saishuushou_Part_2,Movie,,2019,"Ikeda, Emi",https://myanimelist.net/character/161640/Emi_Ikeda,161640,Supporting,0
38672,Precure Miracle Universe Movie,https://myanimelist.net/anime/38672/Precure_Miracle_Universe_Movie,Movie,,2019,Hug-tan,https://myanimelist.net/character/157507/Hug-tan,157507,Supporting,7
37501,Hug tto! Precure♡Futari wa Precure Movie: All Stars Memories,https://myanimelist.net/anime/37501/Hug_tto_Precure♡Futari_wa_Precure_Movie__All_Stars_Memories,Movie,,2018,Hug-tan,https://myanimelist.net/character/157507/Hug-tan,157507,Main,7
36995,Precure Super Stars! Movie,https://myanimelist.net/anime/36995/Precure_Super_Stars_Movie,Movie,,2018,Hug-tan,https://myanimelist.net/character/157507/Hug-tan,157507,Main,7
36593,Hug tto! Precure,https://myanimelist.net/anime/36593/Hug_tto_Precure,TV,Winter,2018,Hug-tan,https://myanimelist.net/character/157507/Hug-tan,157507,Main,7
33970,Girls & Panzer: Saishuushou Part 1,https://myanimelist.net/anime/33970/Girls___Panzer__Saishuushou_Part_1,Movie,,2017,"Ikeda, Emi",https://myanimelist.net/character/161640/Emi_Ikeda,161640,Supporting,0
33970,Girls & Panzer: Saishuushou Part 1,https://myanimelist.net/anime/33970/Girls___Panzer__Saishuushou_Part_1,Movie,,2017,"Sakaguchi, Karina",https://myanimelist.net/character/67497/Karina_Sakaguchi,67497,Supporting,4
36783,Girls & Panzer: Dai 63-kai Senshadou Zenkoku Koukousei Taikai Recap,https://myanimelist.net/anime/36783/Girls___Panzer__Dai_63-kai_Senshadou_Zenkoku_Koukousei_Taikai_Recap,ONA,,2017,"Sakaguchi, Karina",https://myanimelist.net/character/67497/Karina_Sakaguchi,67497,Supporting,4
34290,Kirakira☆Precure A La Mode,https://myanimelist.net/anime/34290/Kirakira☆Precure_A_La_Mode,TV,Winter,2017,Hug-tan,https://myanimelist.net/character/157507/Hug-tan,157507,Supporting,7
32740,Girls & Panzer Movie Specials,https://myanimelist.net/anime/32740/Girls___Panzer_Movie_Specials,Special,,2016,"Sakaguchi, Karina",https://myanimelist.net/character/67497/Karina_Sakaguchi,67497,Supporting,4
32438,Mayoiga,https://myanimelist.net/anime/32438/Mayoiga,TV,Spring,2016,Yuune,https://myanimelist.net/character/139340/Yuune,139340,Supporting,1
32438,Mayoiga,https://myanimelist.net/anime/32438/Mayoiga,TV,Spring,2016,Nanko,https://myanimelist.net/character/138808/Nanko,138808,Supporting,11
31884,Mahoutsukai Precure!,https://myanimelist.net/anime/31884/Mahoutsukai_Precure,TV,Winter,2016,"Nagase, Mayumi",https://myanimelist.net/character/157571/Mayumi_Nagase,157571,Supporting,0
18617,Girls & Panzer Movie,https://myanimelist.net/anime/18617/Girls___Panzer_Movie,Movie,,2015,"Ikeda, Emi",https://myanimelist.net/character/161640/Emi_Ikeda,161640,Supporting,0
18617,Girls & Panzer Movie,https://myanimelist.net/anime/18617/Girls___Panzer_Movie,Movie,,2015,"Sakaguchi, Karina",https://myanimelist.net/character/67497/Karina_Sakaguchi,67497,Supporting,4
18619,Girls & Panzer: Kore ga Hontou no Anzio-sen desu!,https://myanimelist.net/anime/18619/Girls___Panzer__Kore_ga_Hontou_no_Anzio-sen_desu,OVA,,2014,"Sakaguchi, Karina",https://myanimelist.net/character/67497/Karina_Sakaguchi,67497,Supporting,4
22199,Akame ga Kill!,https://myanimelist.net/anime/22199/Akame_ga_Kill,TV,Summer,2014,Logue,https://myanimelist.net/character/114809/Logue,114809,Supporting,0
18465,Genshiken Nidaime,https://myanimelist.net/anime/18465/Genshiken_Nidaime,TV,Summer,2013,"Asada, Naoko",https://myanimelist.net/character/81955/Naoko_Asada,81955,Supporting,2
15811,Girls & Panzer Specials,https://myanimelist.net/anime/15811/Girls___Panzer_Specials,Special,,2012,"Sakaguchi, Karina",https://myanimelist.net/character/67497/Karina_Sakaguchi,67497,Supporting,4
16199,Girls & Panzer: Shoukai Shimasu!,https://myanimelist.net/anime/16199/Girls___Panzer__Shoukai_Shimasu,TV Special,,2012,"Sakaguchi, Karina",https://myanimelist.net/character/67497/Karina_Sakaguchi,67497,Supporting,4
14131,Girls & Panzer,https://myanimelist.net/anime/14131/Girls___Panzer,TV,Fall,2012,"Sakaguchi, Karina",https://myanimelist.net/character/67497/Karina_Sakaguchi,67497,Supporting,4
