ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
31033,Nintama Rantarou: Dokutake Onsen no Dan,https://myanimelist.net/anime/31033/Nintama_Rantarou__Dokutake_Onsen_no_Dan,Special,,2007,Shibuki,https://myanimelist.net/character/127612/Shibuki,127612,Supporting,1
1906,Harukanaru Toki no Naka de: Maihitoyo,https://myanimelist.net/anime/1906/Harukanaru_Toki_no_Naka_de__Maihitoyo,Movie,,2006,Kotengu,https://myanimelist.net/character/11464/Kotengu,11464,Supporting,1
854,Soul Link,https://myanimelist.net/anime/854/Soul_Link,TV,Spring,2006,"Yamanami, Yuu",https://myanimelist.net/character/12729/Yuu_Yamanami,12729,Supporting,4
1907,Harukanaru Toki no Naka de: Hachiyou Shou OVA,https://myanimelist.net/anime/1907/Harukanaru_Toki_no_Naka_de__Hachiyou_Shou_OVA,OVA,,2005,Kotengu,https://myanimelist.net/character/11464/Kotengu,11464,Supporting,1
247,Harukanaru Toki no Naka de: Hachiyou Shou,https://myanimelist.net/anime/247/Harukanaru_Toki_no_Naka_de__Hachiyou_Shou,TV,Fall,2004,Kotengu,https://myanimelist.net/character/11464/Kotengu,11464,Supporting,1
1668,Bakuten Shoot Beyblade G Revolution,https://myanimelist.net/anime/1668/Bakuten_Shoot_Beyblade_G_Revolution,TV,Winter,2003,"Cheng, Kiki",https://myanimelist.net/character/7127/Kiki_Cheng,7127,Supporting,1
288,Bakuten Shoot Beyblade,https://myanimelist.net/anime/288/Bakuten_Shoot_Beyblade,TV,Winter,2001,"Cheng, Kiki",https://myanimelist.net/character/7127/Kiki_Cheng,7127,Supporting,1
1660,Kurogane Communication,https://myanimelist.net/anime/1660/Kurogane_Communication,TV,Fall,1998,Trigger,https://myanimelist.net/character/122359/Trigger,122359,Main,1
2829,Ie Naki Ko Remy,https://myanimelist.net/anime/2829/Ie_Naki_Ko_Remy,TV,Fall,1996,"Barberin, Nana",https://myanimelist.net/character/92243/Nana_Barberin,92243,Supporting,0
2102,Tattoon Master,https://myanimelist.net/anime/2102/Tattoon_Master,OVA,,1996,Nike,https://myanimelist.net/character/50251/Nike,50251,Supporting,0
2082,Marriage: Kekkon,https://myanimelist.net/anime/2082/Marriage__Kekkon,OVA,,1996,"Katou, Mika",https://myanimelist.net/character/16260/Mika_Katou,16260,Main,0
235,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,TV,Winter,1996,"Oono, Takami",https://myanimelist.net/character/183536/Takami_Oono,183536,Supporting,0
268,Golden Boy,https://myanimelist.net/anime/268/Golden_Boy,OVA,,1995,Employee D,https://myanimelist.net/character/130148/Employee_D,130148,Supporting,2
616,Nurse Angel Ririka SOS,https://myanimelist.net/anime/616/Nurse_Angel_Ririka_SOS,TV,Summer,1995,Misa,https://myanimelist.net/character/228374/Misa,228374,Supporting,0
616,Nurse Angel Ririka SOS,https://myanimelist.net/anime/616/Nurse_Angel_Ririka_SOS,TV,Summer,1995,Maruru,https://myanimelist.net/character/215284/Maruru,215284,Supporting,0
1643,Sailor Victory,https://myanimelist.net/anime/1643/Sailor_Victory,OVA,,1995,"Katou, Mika",https://myanimelist.net/character/16260/Mika_Katou,16260,Main,0
2714,Sotsugyou: Graduation,https://myanimelist.net/anime/2714/Sotsugyou__Graduation,OVA,,1995,"Katou, Mika",https://myanimelist.net/character/16260/Mika_Katou,16260,Main,0
2559,Romeo no Aoi Sora,https://myanimelist.net/anime/2559/Romeo_no_Aoi_Sora,TV,Winter,1995,Carlo,https://myanimelist.net/character/10106/Carlo,10106,Supporting,0
903,Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,https://myanimelist.net/anime/903/Dragon_Ball_Z_Movie_10__Kiken_na_Futari_Super_Senshi_wa_Nemurenai,Movie,,1994,Koko,https://myanimelist.net/character/120151/Koko,120151,Supporting,0
6557,Fortune Quest: Yonimo Shiawase na Boukensha-tachi,https://myanimelist.net/anime/6557/Fortune_Quest__Yonimo_Shiawase_na_Boukensha-tachi,OVA,,1993,Pitt,https://myanimelist.net/character/120149/Pitt,120149,Supporting,0
1199,Nintama Rantarou,https://myanimelist.net/anime/1199/Nintama_Rantarou,TV,Spring,1993,"Hatsushima, Magojirou",https://myanimelist.net/character/127394/Magojirou_Hatsushima,127394,Supporting,0
1199,Nintama Rantarou,https://myanimelist.net/anime/1199/Nintama_Rantarou,TV,Spring,1993,Shibuki,https://myanimelist.net/character/127612/Shibuki,127612,Supporting,1
530,Bishoujo Senshi Sailor Moon,https://myanimelist.net/anime/530/Bishoujo_Senshi_Sailor_Moon,TV,Spring,1992,"Ohara, An",https://myanimelist.net/character/47317/An_Ohara,47317,Supporting,0
3875,Mahoutsukai Sally 2,https://myanimelist.net/anime/3875/Mahoutsukai_Sally_2,TV,Fall,1989,Erika-chan,https://myanimelist.net/character/259653/Erika-chan,259653,Supporting,0
1960,Sore Ike! Anpanman,https://myanimelist.net/anime/1960/Sore_Ike_Anpanman,TV,Fall,1988,Kirimaru,https://myanimelist.net/character/96283/Kirimaru,96283,Supporting,0
1960,Sore Ike! Anpanman,https://myanimelist.net/anime/1960/Sore_Ike_Anpanman,TV,Fall,1988,Kumomaru,https://myanimelist.net/character/96281/Kumomaru,96281,Supporting,0
