ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
31490,One Piece Film: Gold,https://myanimelist.net/anime/31490/One_Piece_Film__Gold,Movie,,2016,Brook,https://myanimelist.net/character/5627/Brook,5627,Main,10851
12859,One Piece Film: Z,https://myanimelist.net/anime/12859/One_Piece_Film__Z,Movie,,2012,Brook,https://myanimelist.net/character/5627/Brook,5627,Main,10851
9999,One Piece 3D: Mugiwara Chase,https://myanimelist.net/anime/9999/One_Piece_3D__Mugiwara_Chase,Movie,,2011,Brook,https://myanimelist.net/character/5627/Brook,5627,Main,10851
4106,Trigun: Badlands Rumble,https://myanimelist.net/anime/4106/Trigun__Badlands_Rumble,Movie,,2010,"Tanto Ogorare, Michio",https://myanimelist.net/character/63345/Michio_Tanto_Ogorare,63345,Supporting,2
4155,One Piece Film: Strong World,https://myanimelist.net/anime/4155/One_Piece_Film__Strong_World,Movie,,2009,Brook,https://myanimelist.net/character/5627/Brook,5627,Main,10851
5485,Shin Mazinger Shougeki! Z-hen,https://myanimelist.net/anime/5485/Shin_Mazinger_Shougeki_Z-hen,TV,Spring,2009,Yasu,https://myanimelist.net/character/22170/Yasu,22170,Supporting,1
4549,Hokuto no Ken: Raoh Gaiden Ten no Haoh,https://myanimelist.net/anime/4549/Hokuto_no_Ken__Raoh_Gaiden_Ten_no_Haoh,TV,Fall,2008,Gion,https://myanimelist.net/character/48551/Gion,48551,Supporting,0
1726,Devil May Cry,https://myanimelist.net/anime/1726/Devil_May_Cry,TV,Summer,2007,Sid,https://myanimelist.net/character/5502/Sid,5502,Supporting,0
2107,One Piece Movie 08: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi,https://myanimelist.net/anime/2107/One_Piece_Movie_08__Episode_of_Alabasta_-_Sabaku_no_Oujo_to_Kaizoku-tachi,Movie,,2007,Terracotta,https://myanimelist.net/character/23530/Terracotta,23530,Supporting,0
1686,Bleach Movie 1: Memories of Nobody,https://myanimelist.net/anime/1686/Bleach_Movie_1__Memories_of_Nobody,Movie,,2006,"Ishida, Uryuu",https://myanimelist.net/character/564/Uryuu_Ishida,564,Supporting,1793
73,Full Metal Panic! The Second Raid,https://myanimelist.net/anime/73/Full_Metal_Panic_The_Second_Raid,TV,Summer,2005,AL,https://myanimelist.net/character/10678/AL,10678,Supporting,9
198,Speed Grapher,https://myanimelist.net/anime/198/Speed_Grapher,TV,Spring,2005,Ekoda,https://myanimelist.net/character/20584/Ekoda,20584,Supporting,0
516,Keroro Gunsou,https://myanimelist.net/anime/516/Keroro_Gunsou,TV,Spring,2004,Kururu,https://myanimelist.net/character/1248/Kururu,1248,Main,248
329,Planetes,https://myanimelist.net/anime/329/Planetes,TV,Fall,2003,"Lavie, Arvind",https://myanimelist.net/character/7594/Arvind_Lavie,7594,Supporting,3
250,Konjiki no Gash Bell!!,https://myanimelist.net/anime/250/Konjiki_no_Gash_Bell,TV,Spring,2003,Fein,https://myanimelist.net/character/94775/Fein,94775,Supporting,0
1564,Pokemon Advanced Generation,https://myanimelist.net/anime/1564/Pokemon_Advanced_Generation,TV,Fall,2002,King of Tricks,https://myanimelist.net/character/42421/King_of_Tricks,42421,Supporting,0
20,Naruto,https://myanimelist.net/anime/20/Naruto,TV,Fall,2002,"Kinuta, Dosu",https://myanimelist.net/character/9244/Dosu_Kinuta,9244,Supporting,34
156,X,https://myanimelist.net/anime/156/X,TV,Fall,2001,Nataku,https://myanimelist.net/character/447/Nataku,447,Supporting,16
154,Shaman King,https://myanimelist.net/anime/154/Shaman_King,TV,Summer,2001,Conchi,https://myanimelist.net/character/20245/Conchi,20245,Supporting,0
154,Shaman King,https://myanimelist.net/anime/154/Shaman_King,TV,Summer,2001,"Faust VIII, Johann",https://myanimelist.net/character/3262/Johann_Faust_VIII,3262,Supporting,349
543,Vampire Hunter D (2000),https://myanimelist.net/anime/543/Vampire_Hunter_D_2000,Movie,,2000,Benge,https://myanimelist.net/character/1025/Benge,1025,Supporting,3
481,Yu☆Gi☆Oh! Duel Monsters,https://myanimelist.net/anime/481/Yu☆Gi☆Oh_Duel_Monsters,TV,Spring,2000,Pandora,https://myanimelist.net/character/88755/Pandora,88755,Supporting,2
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Brook,https://myanimelist.net/character/5627/Brook,5627,Main,10851
437,Perfect Blue,https://myanimelist.net/anime/437/Perfect_Blue,Movie,,1998,"Uchida, Mamoru",https://myanimelist.net/character/14123/Mamoru_Uchida,14123,Supporting,62
33,Kenpuu Denki Berserk,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,TV,Fall,1997,Raban,https://myanimelist.net/character/90341/Raban,90341,Supporting,5
155,X/1999,https://myanimelist.net/anime/155/X_1999,Movie,,1996,Nataku,https://myanimelist.net/character/447/Nataku,447,Supporting,16
170,Slam Dunk,https://myanimelist.net/anime/170/Slam_Dunk,TV,Fall,1993,"Ookusu, Yuuji",https://myanimelist.net/character/13687/Yuuji_Ookusu,13687,Supporting,1
392,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,TV,Fall,1992,Karasu,https://myanimelist.net/character/2972/Karasu,2972,Supporting,41
3116,Dash! Yonkurou,https://myanimelist.net/anime/3116/Dash_Yonkurou,TV,Fall,1989,"Minami, Shinkurou",https://myanimelist.net/character/5339/Shinkurou_Minami,5339,Supporting,1
2333,Anime Sanjuushi,https://myanimelist.net/anime/2333/Anime_Sanjuushi,TV,Fall,1987,Louis XIII,https://myanimelist.net/character/14858/Louis_XIII,14858,Supporting,1
1951,Manie-Manie: Meikyuu Monogatari,https://myanimelist.net/anime/1951/Manie-Manie__Meikyuu_Monogatari,Movie,,1987,Robot 444-1,https://myanimelist.net/character/214404/Robot_444-1,214404,Supporting,1
