ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
38015,Shika no Ou: Yuna to Yakusoku no Tabi,https://myanimelist.net/anime/38015/Shika_no_Ou__Yuna_to_Yakusoku_no_Tabi,Movie,,2022,Yuna,https://myanimelist.net/character/163799/Yuna,163799,Main,0
21877,High Score Girl,https://myanimelist.net/anime/21877/High_Score_Girl,TV,Summer,2018,"Onizuka, Chihiro",https://myanimelist.net/character/165329/Chihiro_Onizuka,165329,Supporting,2
36873,Back Street Girls: Gokudolls,https://myanimelist.net/anime/36873/Back_Street_Girls__Gokudolls,TV,Summer,2018,Rina,https://myanimelist.net/character/163321/Rina,163321,Supporting,5
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou,Movie,,2018,Dita,https://myanimelist.net/character/157306/Dita,157306,Supporting,1
34820,Mazinger Z Movie: Infinity,https://myanimelist.net/anime/34820/Mazinger_Z_Movie__Infinity,Movie,,2018,"Yumi, Sayaka",https://myanimelist.net/character/20201/Sayaka_Yumi,20201,Main,12
34792,Yoake Tsugeru Lu no Uta,https://myanimelist.net/anime/34792/Yoake_Tsugeru_Lu_no_Uta,Movie,,2017,Lu,https://myanimelist.net/character/148648/Lu,148648,Main,39
33486,Boku no Hero Academia 2nd Season,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season,TV,Spring,2017,"Mineta, Minoru",https://myanimelist.net/character/119521/Minoru_Mineta,119521,Supporting,496
34514,Pokemon Generations,https://myanimelist.net/anime/34514/Pokemon_Generations,ONA,,2016,Matiere,https://myanimelist.net/character/149153/Matiere,149153,Supporting,0
27969,Hana to Alice: Satsujin Jiken,https://myanimelist.net/anime/27969/Hana_to_Alice__Satsujin_Jiken,Movie,,2015,"Tsutsumi, Yuki",https://myanimelist.net/character/120087/Yuki_Tsutsumi,120087,Supporting,0
24591,Youkai Watch Movie 1: Tanjou no Himitsu da Nyan!,https://myanimelist.net/anime/24591/Youkai_Watch_Movie_1__Tanjou_no_Himitsu_da_Nyan,Movie,,2014,Komasan,https://myanimelist.net/character/134436/Komasan,134436,Supporting,112
23067,Tenkai Knights,https://myanimelist.net/anime/23067/Tenkai_Knights,TV,Spring,2014,Beni,https://myanimelist.net/character/119205/Beni,119205,Supporting,5
19157,Youkai Watch,https://myanimelist.net/anime/19157/Youkai_Watch,TV,Winter,2014,Komasan,https://myanimelist.net/character/134436/Komasan,134436,Main,112
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari,Movie,,2013,"Kaname, Madoka",https://myanimelist.net/character/37832/Madoka_Kaname,37832,Main,8453
16782,Kotonoha no Niwa,https://myanimelist.net/anime/16782/Kotonoha_no_Niwa,Movie,,2013,"Akizuki, Takao",https://myanimelist.net/character/79463/Takao_Akizuki,79463,Main,163
16782,Kotonoha no Niwa,https://myanimelist.net/anime/16782/Kotonoha_no_Niwa,Movie,,2013,Satou,https://myanimelist.net/character/79579/Satou,79579,Supporting,2
12115,Berserk: Ougon Jidai-hen III - Kourin,https://myanimelist.net/anime/12115/Berserk__Ougon_Jidai-hen_III_-_Kourin,Movie,,2013,"Rhody Windam, Charlotte Beatrix Marie",https://myanimelist.net/character/614/Charlotte_Beatrix_Marie_Rhody_Windam,614,Supporting,5
3785,Evangelion Movie 3: Q,https://myanimelist.net/anime/3785/Evangelion_Movie_3__Q,Movie,,2012,"Ayanami (tentative), Rei",https://myanimelist.net/character/162259/Rei_Ayanami_tentative,162259,Main,399
12191,Smile Precure!,https://myanimelist.net/anime/12191/Smile_Precure,TV,Winter,2012,Candy,https://myanimelist.net/character/53727/Candy,53727,Main,24
10218,Berserk: Ougon Jidai-hen I - Haou no Tamago,https://myanimelist.net/anime/10218/Berserk__Ougon_Jidai-hen_I_-_Haou_no_Tamago,Movie,,2012,"Rhody Windam, Charlotte Beatrix Marie",https://myanimelist.net/character/614/Charlotte_Beatrix_Marie_Rhody_Windam,614,Supporting,5
9756,Mahou Shoujo Madoka★Magica,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica,TV,Winter,2011,"Kaname, Madoka",https://myanimelist.net/character/37832/Madoka_Kaname,37832,Main,8453
8142,Colorful (Movie),https://myanimelist.net/anime/8142/Colorful_Movie,Movie,,2010,"Sano, Shouko",https://myanimelist.net/character/42651/Shouko_Sano,42651,Supporting,7
4106,Trigun: Badlands Rumble,https://myanimelist.net/anime/4106/Trigun__Badlands_Rumble,Movie,,2010,"Stryfe, Meryl",https://myanimelist.net/character/713/Meryl_Stryfe,713,Main,243
6172,Layton Kyouju to Eien no Utahime,https://myanimelist.net/anime/6172/Layton_Kyouju_to_Eien_no_Utahime,Movie,,2009,"Triton, Luke",https://myanimelist.net/character/23259/Luke_Triton,23259,Main,51
6610,Ibara no Ou,https://myanimelist.net/anime/6610/Ibara_no_Ou,Movie,,2009,"Ishiki, Shizuku",https://myanimelist.net/character/41416/Shizuku_Ishiki,41416,Supporting,2
6610,Ibara no Ou,https://myanimelist.net/anime/6610/Ibara_no_Ou,Movie,,2009,"Ishiki, Kasumi",https://myanimelist.net/character/21608/Kasumi_Ishiki,21608,Main,14
6811,InuYasha: Kanketsu-hen,https://myanimelist.net/anime/6811/InuYasha__Kanketsu-hen,TV,Fall,2009,"Higurashi, Kagome",https://myanimelist.net/character/1354/Kagome_Higurashi,1354,Main,2775
5998,Hottarake no Shima: Haruka to Mahou no Kagami,https://myanimelist.net/anime/5998/Hottarake_no_Shima__Haruka_to_Mahou_no_Kagami,Movie,,2009,Miho,https://myanimelist.net/character/31253/Miho,31253,Supporting,1
5681,Summer Wars,https://myanimelist.net/anime/5681/Summer_Wars,Movie,,2009,"Ikezawa, Kazuma",https://myanimelist.net/character/22811/Kazuma_Ikezawa,22811,Main,257
3784,Evangelion Movie 2: Ha,https://myanimelist.net/anime/3784/Evangelion_Movie_2__Ha,Movie,,2009,"Ayanami, Rei",https://myanimelist.net/character/86/Rei_Ayanami,86,Main,20552
3784,Evangelion Movie 2: Ha,https://myanimelist.net/anime/3784/Evangelion_Movie_2__Ha,Movie,,2009,"Ikari, Yui",https://myanimelist.net/character/1258/Yui_Ikari,1258,Supporting,115
