ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
60140,"Kanchigai no Atelier Meister: Eiyuu Party no Moto Zatsuyougakari ga, Jitsu wa Sentou Igai ga SSS Rank Datta to Iu Yoku Aru Hanashi",https://myanimelist.net/anime/60140/Kanchigai_no_Atelier_Meister__Eiyuu_Party_no_Moto_Zatsuyougakari_ga_Jitsu_wa_Sentou_Igai_ga_SSS_Rank_Datta_to_Iu_Yoku_Aru_Hanashi,TV,Spring,2025,Bandana,https://myanimelist.net/character/268136/Bandana,268136,Supporting,0
59419,Project Sekai Movie: Kowareta Sekai to Utaenai Miku,https://myanimelist.net/anime/59419/Project_Sekai_Movie__Kowareta_Sekai_to_Utaenai_Miku,Movie,,2025,"Kiritani, Haruka",https://myanimelist.net/character/205174/Haruka_Kiritani,205174,Supporting,36
58531,High Card: The Flowers Bloom,https://myanimelist.net/anime/58531/High_Card__The_Flowers_Bloom,ONA,,2024,"Pinochle, Leo Constantine",https://myanimelist.net/character/206800/Leo_Constantine_Pinochle,206800,Main,26
55748,Love Live! Nijigasaki Gakuen School Idol Doukoukai: Kanketsu-hen,https://myanimelist.net/anime/55748/Love_Live_Nijigasaki_Gakuen_School_Idol_Doukoukai__Kanketsu-hen,Movie,,2024,"Shinomiya, Akiru",https://myanimelist.net/character/264000/Akiru_Shinomiya,264000,Supporting,0
54869,High Card Season 2,https://myanimelist.net/anime/54869/High_Card_Season_2,TV,Winter,2024,"Pinochle, Leo Constantine",https://myanimelist.net/character/206800/Leo_Constantine_Pinochle,206800,Main,26
56830,Journey to Bloom,https://myanimelist.net/anime/56830/Journey_to_Bloom,ONA,,2023,"Kiritani, Haruka",https://myanimelist.net/character/205174/Haruka_Kiritani,205174,Main,36
51462,Isekai Nonbiri Nouka,https://myanimelist.net/anime/51462/Isekai_Nonbiri_Nouka,TV,Winter,2023,Granmaria,https://myanimelist.net/character/224887/Granmaria,224887,Supporting,0
49939,Petit Seka,https://myanimelist.net/anime/49939/Petit_Seka,ONA,,2022,"Kiritani, Haruka",https://myanimelist.net/character/205174/Haruka_Kiritani,205174,Main,36
43691,Kageki Shoujo!!,https://myanimelist.net/anime/43691/Kageki_Shoujo,TV,Summer,2021,Yamagishi,https://myanimelist.net/character/251963/Yamagishi,251963,Supporting,0
43691,Kageki Shoujo!!,https://myanimelist.net/anime/43691/Kageki_Shoujo,TV,Summer,2021,Miki's Mother,https://myanimelist.net/character/251947/Miki_039_s_Mother,251947,Supporting,0
40403,Shin Sakura Taisen the Animation,https://myanimelist.net/anime/40403/Shin_Sakura_Taisen_the_Animation,TV,Spring,2020,"Saijo, Itsuki",https://myanimelist.net/character/252117/Itsuki_Saijo,252117,Supporting,0
40405,Cop Craft: Utsukushiki Onna Kishi! Toraware no Yousei wo Oe!,https://myanimelist.net/anime/40405/Cop_Craft__Utsukushiki_Onna_Kishi_Toraware_no_Yousei_wo_Oe,TV Special,,2019,"Exedilika, Tilarna",https://myanimelist.net/character/169868/Tilarna_Exedilika,169868,Main,82
38940,Cop Craft,https://myanimelist.net/anime/38940/Cop_Craft,TV,Summer,2019,"Exedilika, Tilarna",https://myanimelist.net/character/169868/Tilarna_Exedilika,169868,Main,82
35313,Kemono Friends 2,https://myanimelist.net/anime/35313/Kemono_Friends_2,TV,Winter,2019,California Sea Lion,https://myanimelist.net/character/169021/California_Sea_Lion,169021,Supporting,1
37007,Hinomaruzumou,https://myanimelist.net/anime/37007/Hinomaruzumou,TV,Fall,2018,"Sada, Mizuki",https://myanimelist.net/character/122213/Mizuki_Sada,122213,Supporting,2
34522,"Wake Up, Girls! Shin Shou",https://myanimelist.net/anime/34522/Wake_Up_Girls_Shin_Shou,TV,Fall,2017,"Shimada, Mayu",https://myanimelist.net/character/88793/Mayu_Shimada,88793,Main,51
35203,Isekai wa Smartphone to Tomo ni.,https://myanimelist.net/anime/35203/Isekai_wa_Smartphone_to_Tomo_ni,TV,Summer,2017,Aer,https://myanimelist.net/character/152618/Aer,152618,Supporting,2
32262,Renai Boukun,https://myanimelist.net/anime/32262/Renai_Boukun,TV,Spring,2017,"Aino, Seiji",https://myanimelist.net/character/100953/Seiji_Aino,100953,Main,42
31080,Anne Happy♪,https://myanimelist.net/anime/31080/Anne_Happy♪,TV,Spring,2016,"Ekoda, Ren",https://myanimelist.net/character/137663/Ren_Ekoda,137663,Main,43
31338,Hundred,https://myanimelist.net/anime/31338/Hundred,TV,Spring,2016,"Kirishima, Sakura",https://myanimelist.net/character/137650/Sakura_Kirishima,137650,Main,30
33105,"Wake Up, Girl Zoo! Miyagi PR de Go!",https://myanimelist.net/anime/33105/Wake_Up_Girl_Zoo_Miyagi_PR_de_Go,Special,,2016,"Shimada, Mayu",https://myanimelist.net/character/88793/Mayu_Shimada,88793,Main,51
32382,"Wake Up, Girls! no Miyagi PR Yarasete Kudasai!",https://myanimelist.net/anime/32382/Wake_Up_Girls_no_Miyagi_PR_Yarasete_Kudasai,Special,,2016,"Shimada, Mayu",https://myanimelist.net/character/88793/Mayu_Shimada,88793,Main,51
30419,"Wake Up, Girls! Beyond the Bottom",https://myanimelist.net/anime/30419/Wake_Up_Girls_Beyond_the_Bottom,Movie,,2015,"Shimada, Mayu",https://myanimelist.net/character/88793/Mayu_Shimada,88793,Main,51
30721,Hacka Doll The Animation,https://myanimelist.net/anime/30721/Hacka_Doll_The_Animation,TV,Fall,2015,Ayame,https://myanimelist.net/character/134014/Ayame,134014,Supporting,0
28841,"Wake Up, Girls! Seishun no Kage",https://myanimelist.net/anime/28841/Wake_Up_Girls_Seishun_no_Kage,Movie,,2015,"Shimada, Mayu",https://myanimelist.net/character/88793/Mayu_Shimada,88793,Main,51
25875,"Wake Up, Girl Zoo!",https://myanimelist.net/anime/25875/Wake_Up_Girl_Zoo,ONA,,2014,"Shimada, Mayu",https://myanimelist.net/character/88793/Mayu_Shimada,88793,Main,51
19023,"Wake Up, Girls!",https://myanimelist.net/anime/19023/Wake_Up_Girls,TV,Winter,2014,"Shimada, Mayu",https://myanimelist.net/character/88793/Mayu_Shimada,88793,Main,51
