ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
54730,Kinnikuman: Kanpeki Chоujin Shiso-hen,https://myanimelist.net/anime/54730/Kinnikuman__Kanpeki_Chоujin_Shiso-hen,TV,Summer,2024,Wolfman,https://myanimelist.net/character/25097/Wolfman,25097,Supporting,0
52976,Berserk: Ougon Jidai-hen - Memorial Edition,https://myanimelist.net/anime/52976/Berserk__Ougon_Jidai-hen_-_Memorial_Edition,TV,Fall,2022,Bazuso,https://myanimelist.net/character/49343/Bazuso,49343,Supporting,16
49519,Hakozume: Kouban Joshi no Gyakushuu,https://myanimelist.net/anime/49519/Hakozume__Kouban_Joshi_no_Gyakushuu,TV,Winter,2022,Deputy Chief,https://myanimelist.net/character/203696/Deputy_Chief,203696,Supporting,0
39274,Dragon Quest: Your Story,https://myanimelist.net/anime/39274/Dragon_Quest__Your_Story,Movie,,2019,Sancho,https://myanimelist.net/character/173771/Sancho,173771,Supporting,0
35848,Promare,https://myanimelist.net/anime/35848/Promare,Movie,,2019,Vinny ,https://myanimelist.net/character/170502/Vinny_,170502,Supporting,10
39991,Promare: Galo-hen,https://myanimelist.net/anime/39991/Promare__Galo-hen,ONA,,2019,Vinny ,https://myanimelist.net/character/170502/Vinny_,170502,Supporting,10
32071,Gantz:O,https://myanimelist.net/anime/32071/Gantz_O,Movie,,2016,"Oka, Hachirou",https://myanimelist.net/character/28703/Hachirou_Oka,28703,Supporting,10
31490,One Piece Film: Gold,https://myanimelist.net/anime/31490/One_Piece_Film__Gold,Movie,,2016,Dice,https://myanimelist.net/character/142928/Dice,142928,Supporting,0
28771,Yu☆Gi☆Oh! The Dark Side of Dimensions,https://myanimelist.net/anime/28771/Yu☆Gi☆Oh_The_Dark_Side_of_Dimensions,Movie,,2016,Kudaragi,https://myanimelist.net/character/153740/Kudaragi,153740,Supporting,0
10218,Berserk: Ougon Jidai-hen I - Haou no Tamago,https://myanimelist.net/anime/10218/Berserk__Ougon_Jidai-hen_I_-_Haou_no_Tamago,Movie,,2012,Bazuso,https://myanimelist.net/character/49343/Bazuso,49343,Supporting,16
4087,Michiko to Hatchin,https://myanimelist.net/anime/4087/Michiko_to_Hatchin,TV,Fall,2008,"Chapek, Kirill",https://myanimelist.net/character/18500/Kirill_Chapek,18500,Supporting,0
