ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
55358,Bucchigiri?!,https://myanimelist.net/anime/55358/Bucchigiri,TV,Winter,2024,Ichiya,https://myanimelist.net/character/243331/Ichiya,243331,Supporting,3
52299,Ore dake Level Up na Ken,https://myanimelist.net/anime/52299/Ore_dake_Level_Up_na_Ken,TV,Winter,2024,"Park, Beom-Shik",https://myanimelist.net/character/241572/Beom-Shik_Park,241572,Supporting,0
53540,Meitantei Conan Movie 26: Kurogane no Submarine,https://myanimelist.net/anime/53540/Meitantei_Conan_Movie_26__Kurogane_no_Submarine,Movie,,2023,"Edogawa, Conan",https://myanimelist.net/character/1742/Conan_Edogawa,1742,Main,7498
50330,Bungou Stray Dogs 4th Season,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season,TV,Winter,2023,"Jouno, Saigiku",https://myanimelist.net/character/182010/Saigiku_Jouno,182010,Supporting,136
49320,Meitantei Conan Movie 25: Halloween no Hanayome,https://myanimelist.net/anime/49320/Meitantei_Conan_Movie_25__Halloween_no_Hanayome,Movie,,2022,"Edogawa, Conan",https://myanimelist.net/character/1742/Conan_Edogawa,1742,Main,7498
44516,Koroshi Ai,https://myanimelist.net/anime/44516/Koroshi_Ai,TV,Winter,2022,"Woo, Seung",https://myanimelist.net/character/206996/Seung_Woo,206996,Supporting,0
48239,Leadale no Daichi nite,https://myanimelist.net/anime/48239/Leadale_no_Daichi_nite,TV,Winter,2022,Caerick,https://myanimelist.net/character/207440/Caerick,207440,Supporting,0
49730,Pokemon Evolutions,https://myanimelist.net/anime/49730/Pokemon_Evolutions,ONA,,2021,Doctor Platane,https://myanimelist.net/character/91981/Doctor_Platane,91981,Supporting,15
39764,Meitantei Conan Movie 24: Hiiro no Dangan,https://myanimelist.net/anime/39764/Meitantei_Conan_Movie_24__Hiiro_no_Dangan,Movie,,2021,"Edogawa, Conan",https://myanimelist.net/character/1742/Conan_Edogawa,1742,Main,7498
40056,Deca-Dence,https://myanimelist.net/anime/40056/Deca-Dence,TV,Summer,2020,Mikey,https://myanimelist.net/character/184393/Mikey,184393,Supporting,0
41353,The God of High School,https://myanimelist.net/anime/41353/The_God_of_High_School,TV,Summer,2020,"Park, Mu-Jin",https://myanimelist.net/character/159470/Mu-Jin_Park,159470,Supporting,109
38088,Digimon Adventure: Last Evolution Kizuna,https://myanimelist.net/anime/38088/Digimon_Adventure__Last_Evolution_Kizuna,Movie,,2020,"Ishida, Yamato",https://myanimelist.net/character/1909/Yamato_Ishida,1909,Main,433
38003,Bungou Stray Dogs 3rd Season,https://myanimelist.net/anime/38003/Bungou_Stray_Dogs_3rd_Season,TV,Spring,2019,"Goncharov, Ivan",https://myanimelist.net/character/151429/Ivan_Goncharov,151429,Supporting,5
37055,Youjo Senki Movie,https://myanimelist.net/anime/37055/Youjo_Senki_Movie,Movie,,2019,"Hofen, Jodok",https://myanimelist.net/character/178665/Jodok_Hofen,178665,Supporting,0
35857,Lupin III: Part 5,https://myanimelist.net/anime/35857/Lupin_III__Part_5,TV,Spring,2018,Bruno,https://myanimelist.net/character/213945/Bruno,213945,Supporting,0
32827,B: The Beginning,https://myanimelist.net/anime/32827/B__The_Beginning,ONA,,2018,"Ross, Gilbert",https://myanimelist.net/character/156971/Gilbert_Ross,156971,Supporting,37
35849,Darling in the FranXX,https://myanimelist.net/anime/35849/Darling_in_the_FranXX,TV,Winter,2018,Gorou,https://myanimelist.net/character/155681/Gorou,155681,Main,473
32951,Rokudenashi Majutsu Koushi to Akashic Records,https://myanimelist.net/anime/32951/Rokudenashi_Majutsu_Koushi_to_Akashic_Records,TV,Spring,2017,"Reier, Rainer",https://myanimelist.net/character/152023/Rainer_Reier,152023,Supporting,1
31231,Pokemon Movie 19: Volcanion to Karakuri no Magearna,https://myanimelist.net/anime/31231/Pokemon_Movie_19__Volcanion_to_Karakuri_no_Magearna,Movie,,2016,Jarvis,https://myanimelist.net/character/148447/Jarvis,148447,Supporting,0
10687,Saint Seiya: Legend of Sanctuary,https://myanimelist.net/anime/10687/Saint_Seiya__Legend_of_Sanctuary,Movie,,2014,"Aries, Muu",https://myanimelist.net/character/8838/Muu_Aries,8838,Supporting,141
10687,Saint Seiya: Legend of Sanctuary,https://myanimelist.net/anime/10687/Saint_Seiya__Legend_of_Sanctuary,Movie,,2014,"Virgo, Shaka",https://myanimelist.net/character/9240/Shaka_Virgo,9240,Supporting,578
13261,Inazuma Eleven Go: Chrono Stone,https://myanimelist.net/anime/13261/Inazuma_Eleven_Go__Chrono_Stone,TV,Spring,2012,"Tsurugi, Yuuichi",https://myanimelist.net/character/61309/Yuuichi_Tsurugi,61309,Supporting,15
10507,Inazuma Eleven Go,https://myanimelist.net/anime/10507/Inazuma_Eleven_Go,TV,Spring,2011,"Kishibe, Taiga",https://myanimelist.net/character/56985/Taiga_Kishibe,56985,Supporting,2
10507,Inazuma Eleven Go,https://myanimelist.net/anime/10507/Inazuma_Eleven_Go,TV,Spring,2011,"Tsurugi, Yuuichi",https://myanimelist.net/character/61309/Yuuichi_Tsurugi,61309,Supporting,15
5231,Inazuma Eleven,https://myanimelist.net/anime/5231/Inazuma_Eleven,TV,Fall,2008,"Nakata, Hidetoshi",https://myanimelist.net/character/36749/Hidetoshi_Nakata,36749,Supporting,1
3972,Yu☆Gi☆Oh! 5D's,https://myanimelist.net/anime/3972/Yu☆Gi☆Oh_5Ds,TV,Spring,2008,Bruno,https://myanimelist.net/character/28157/Bruno,28157,Supporting,36
3972,Yu☆Gi☆Oh! 5D's,https://myanimelist.net/anime/3972/Yu☆Gi☆Oh_5Ds,TV,Spring,2008,Uryuu,https://myanimelist.net/character/19955/Uryuu,19955,Supporting,1
1735,Naruto: Shippuuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden,TV,Winter,2007,Utakata,https://myanimelist.net/character/23219/Utakata,23219,Supporting,83
3576,Kodai Ouja Kyouryuu King,https://myanimelist.net/anime/3576/Kodai_Ouja_Kyouryuu_King,TV,Winter,2007,Nopis,https://myanimelist.net/character/38311/Nopis,38311,Supporting,8
2154,Tekkon Kinkreet,https://myanimelist.net/anime/2154/Tekkon_Kinkreet,Movie,,2006,The Minotaur,https://myanimelist.net/character/10709/The_Minotaur,10709,Supporting,22
2154,Tekkon Kinkreet,https://myanimelist.net/anime/2154/Tekkon_Kinkreet,Movie,,2006,Kuro,https://myanimelist.net/character/6893/Kuro,6893,Main,198
857,Air Gear,https://myanimelist.net/anime/857/Air_Gear,TV,Spring,2006,"Sano, Yasuyoshi",https://myanimelist.net/character/16616/Yasuyoshi_Sano,16616,Supporting,30
411,Gun x Sword,https://myanimelist.net/anime/411/Gun_x_Sword,TV,Summer,2005,"Woo, William Will",https://myanimelist.net/character/1661/William_Will_Woo,1661,Supporting,0
