ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
60159,Love Live! Nijigasaki Gakuen School Idol Doukoukai: Kanketsu-hen Part 2,https://myanimelist.net/anime/60159/Love_Live_Nijigasaki_Gakuen_School_Idol_Doukoukai__Kanketsu-hen_Part_2,Movie,,2025,"Asaka, Karin",https://myanimelist.net/character/176605/Karin_Asaka,176605,Main,156
60619,Nageki no Bourei wa Intai shitai Part 2,https://myanimelist.net/anime/60619/Nageki_no_Bourei_wa_Intai_shitai_Part_2,TV,Fall,2025,"Shade, Tino",https://myanimelist.net/character/243454/Tino_Shade,243454,Supporting,40
59820,Elf-san wa Yaserarenai.: Hami Niku no Shima/Calorie Lovers,https://myanimelist.net/anime/59820/Elf-san_wa_Yaserarenai__Hami_Niku_no_Shima_Calorie_Lovers,ONA,,2024,Kusahanada,https://myanimelist.net/character/177158/Kusahanada,177158,Supporting,3
58172,Nageki no Bourei wa Intai shitai,https://myanimelist.net/anime/58172/Nageki_no_Bourei_wa_Intai_shitai,TV,Fall,2024,"Shade, Tino",https://myanimelist.net/character/243454/Tino_Shade,243454,Supporting,40
55748,Love Live! Nijigasaki Gakuen School Idol Doukoukai: Kanketsu-hen,https://myanimelist.net/anime/55748/Love_Live_Nijigasaki_Gakuen_School_Idol_Doukoukai__Kanketsu-hen,Movie,,2024,"Asaka, Karin",https://myanimelist.net/character/176605/Karin_Asaka,176605,Main,156
59290,Naoe-kun wa Yasesasetai.,https://myanimelist.net/anime/59290/Naoe-kun_wa_Yasesasetai,TV,Summer,2024,Kusahanada,https://myanimelist.net/character/177158/Kusahanada,177158,Supporting,3
57845,Elf-san wa Yaserarenai.,https://myanimelist.net/anime/57845/Elf-san_wa_Yaserarenai,TV,Summer,2024,Kusahanada,https://myanimelist.net/character/177158/Kusahanada,177158,Supporting,3
58623,Nijiyon Animation 2 Specials,https://myanimelist.net/anime/58623/Nijiyon_Animation_2_Specials,Special,,2024,"Asaka, Karin",https://myanimelist.net/character/176605/Karin_Asaka,176605,Main,156
53534,i☆Ris the Movie: Full Energy!!,https://myanimelist.net/anime/53534/i☆Ris_the_Movie__Full_Energy,Movie,,2024,"Kubota, Miyu",https://myanimelist.net/character/238198/Miyu_Kubota,238198,Main,1
57623,Nijiyon Animation 2,https://myanimelist.net/anime/57623/Nijiyon_Animation_2,TV,Spring,2024,"Asaka, Karin",https://myanimelist.net/character/176605/Karin_Asaka,176605,Main,156
55237,"Jashin-chan Dropkick ""Seikimatsu-hen""",https://myanimelist.net/anime/55237/Jashin-chan_Dropkick_Seikimatsu-hen,TV Special,,2023,Medusa,https://myanimelist.net/character/129236/Medusa,129236,Supporting,52
54275,Temple,https://myanimelist.net/anime/54275/Temple,TV,Summer,2023,"Tsukishita, Mana",https://myanimelist.net/character/233337/Mana_Tsukishita,233337,Supporting,0
53671,Love Live! Nijigasaki Gakuen School Idol Doukoukai: Next Sky,https://myanimelist.net/anime/53671/Love_Live_Nijigasaki_Gakuen_School_Idol_Doukoukai__Next_Sky,OVA,,2023,"Asaka, Karin",https://myanimelist.net/character/176605/Karin_Asaka,176605,Main,156
51632,Isekai wa Smartphone to Tomo ni. 2,https://myanimelist.net/anime/51632/Isekai_wa_Smartphone_to_Tomo_ni_2,TV,Spring,2023,Sakura,https://myanimelist.net/character/154959/Sakura,154959,Main,11
54117,Nijiyon Animation Specials,https://myanimelist.net/anime/54117/Nijiyon_Animation_Specials,Special,,2023,"Asaka, Karin",https://myanimelist.net/character/176605/Karin_Asaka,176605,Main,156
