ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
55998,Momochi-san Chi no Ayakashi Ouji,https://myanimelist.net/anime/55998/Momochi-san_Chi_no_Ayakashi_Ouji,TV,Winter,2024,Aoi's Mother,https://myanimelist.net/character/245101/Aoi_039_s_Mother,245101,Supporting,0
50685,Kaginado Season 2,https://myanimelist.net/anime/50685/Kaginado_Season_2,TV,Spring,2022,"Misaka, Shiori",https://myanimelist.net/character/317/Shiori_Misaka,317,Supporting,289
48775,Kaginado,https://myanimelist.net/anime/48775/Kaginado,TV,Fall,2021,"Misaka, Shiori",https://myanimelist.net/character/317/Shiori_Misaka,317,Supporting,289
36023,Persona 5 the Animation,https://myanimelist.net/anime/36023/Persona_5_the_Animation,TV,Spring,2018,"Suzui, Shiho",https://myanimelist.net/character/161361/Shiho_Suzui,161361,Supporting,1
34290,Kirakira☆Precure A La Mode,https://myanimelist.net/anime/34290/Kirakira☆Precure_A_La_Mode,TV,Winter,2017,"Nakamura, Midori",https://myanimelist.net/character/251268/Midori_Nakamura,251268,Supporting,0
29163,Sore ga Seiyuu!,https://myanimelist.net/anime/29163/Sore_ga_Seiyuu,TV,Summer,2015,Yuri-chin,https://myanimelist.net/character/134101/Yuri-chin,134101,Supporting,0
20971,Kiniro no Corda: Blue♪Sky,https://myanimelist.net/anime/20971/Kiniro_no_Corda__Blue♪Sky,TV,Spring,2014,"Hasekura, Nia",https://myanimelist.net/character/104779/Nia_Hasekura,104779,Supporting,1
7720,Ookiku Furikabutte: Natsu no Taikai-hen,https://myanimelist.net/anime/7720/Ookiku_Furikabutte__Natsu_no_Taikai-hen,TV,Spring,2010,"Ogawa, Mia",https://myanimelist.net/character/84841/Mia_Ogawa,84841,Supporting,0
5717,Kiniro no Corda: Secondo Passo,https://myanimelist.net/anime/5717/Kiniro_no_Corda__Secondo_Passo,TV Special,,2009,"Fuyuumi, Shouko",https://myanimelist.net/character/1785/Shouko_Fuyuumi,1785,Supporting,17
5177,Denpa-teki na Kanojo,https://myanimelist.net/anime/5177/Denpa-teki_na_Kanojo,OVA,,2009,"Fujishima, Kanako",https://myanimelist.net/character/28743/Kanako_Fujishima,28743,Supporting,0
3417,Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,https://myanimelist.net/anime/3417/Yawaraka_Sangokushi_Tsukisase_Ryofuko-chan,OVA,,2007,Rena,https://myanimelist.net/character/10464/Rena,10464,Supporting,2
3392,Kiniro no Corda: Primo Passo - Hitonatsu no Encore,https://myanimelist.net/anime/3392/Kiniro_no_Corda__Primo_Passo_-_Hitonatsu_no_Encore,Special,,2007,"Fuyuumi, Shouko",https://myanimelist.net/character/1785/Shouko_Fuyuumi,1785,Main,17
1530,Kanon (2006),https://myanimelist.net/anime/1530/Kanon_2006,TV,Fall,2006,"Misaka, Shiori",https://myanimelist.net/character/317/Shiori_Misaka,317,Main,289
1579,Kiniro no Corda: Primo Passo,https://myanimelist.net/anime/1579/Kiniro_no_Corda__Primo_Passo,TV,Fall,2006,"Fuyuumi, Shouko",https://myanimelist.net/character/1785/Shouko_Fuyuumi,1785,Supporting,17
63,DearS,https://myanimelist.net/anime/63/DearS,TV,Summer,2004,B-Ko,https://myanimelist.net/character/15851/B-Ko,15851,Supporting,0
1037,Saint Beast: Seijuu Kourin-hen,https://myanimelist.net/anime/1037/Saint_Beast__Seijuu_Kourin-hen,TV,Spring,2003,Seira,https://myanimelist.net/character/229235/Seira,229235,Supporting,0
704,Kanon Kazahana,https://myanimelist.net/anime/704/Kanon_Kazahana,Special,,2003,"Misaka, Shiori",https://myanimelist.net/character/317/Shiori_Misaka,317,Main,289
1039,Mizuiro (2003),https://myanimelist.net/anime/1039/Mizuiro_2003,OVA,,2003,"Katase, Kenji",https://myanimelist.net/character/17562/Kenji_Katase,17562,Main,0
1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,https://myanimelist.net/anime/1257/Saint_Seiya__Meiou_Hades_Juuni_Kyuu-hen,OVA,,2002,"Virgo, Shaka",https://myanimelist.net/character/9240/Shaka_Virgo,9240,Supporting,578
5473,Tsuri Baka Nisshi,https://myanimelist.net/anime/5473/Tsuri_Baka_Nisshi,TV,Fall,2002,"Hamasaki, Koitaro",https://myanimelist.net/character/84851/Koitaro_Hamasaki,84851,Supporting,0
144,Kanon,https://myanimelist.net/anime/144/Kanon,TV,Winter,2002,"Misaka, Shiori",https://myanimelist.net/character/317/Shiori_Misaka,317,Main,289
1707,Kinnikuman II Sei,https://myanimelist.net/anime/1707/Kinnikuman_II_Sei,TV,Winter,2002,Topol,https://myanimelist.net/character/228959/Topol,228959,Supporting,0
21,One Piece,https://myanimelist.net/anime/21/One_Piece,TV,Fall,1999,Yuki,https://myanimelist.net/character/59245/Yuki,59245,Supporting,0
380,Fushigi Yuugi OVA,https://myanimelist.net/anime/380/Fushigi_Yuugi_OVA,OVA,,1996,Kaen,https://myanimelist.net/character/242078/Kaen,242078,Supporting,0
