ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
57362,Hoshifuru Oukoku no Nina,https://myanimelist.net/anime/57362/Hoshifuru_Oukoku_no_Nina,TV,Fall,2024,King of Fortna,https://myanimelist.net/character/256827/King_of_Fortna,256827,Supporting,0
50613,Rurouni Kenshin: Meiji Kenkaku Romantan (2023),https://myanimelist.net/anime/50613/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_2023,TV,Summer,2023,Shibumi,https://myanimelist.net/character/238536/Shibumi,238536,Supporting,0
38015,Shika no Ou: Yuna to Yakusoku no Tabi,https://myanimelist.net/anime/38015/Shika_no_Ou__Yuna_to_Yakusoku_no_Tabi,Movie,,2022,Yoki,https://myanimelist.net/character/214469/Yoki,214469,Supporting,0
40776,Haikyuu!! To the Top Part 2,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2,TV,Fall,2020,"Matsukawa, Issei",https://myanimelist.net/character/106427/Issei_Matsukawa,106427,Supporting,58
40392,Runway de Waratte,https://myanimelist.net/anime/40392/Runway_de_Waratte,TV,Winter,2020,"Suou, Kazuya",https://myanimelist.net/character/246126/Kazuya_Suou,246126,Supporting,0
38883,Haikyuu!! To the Top,https://myanimelist.net/anime/38883/Haikyuu_To_the_Top,TV,Winter,2020,"Obara, Yutaka",https://myanimelist.net/character/110625/Yutaka_Obara,110625,Supporting,0
35067,Osomatsu-san 2nd Season,https://myanimelist.net/anime/35067/Osomatsu-san_2nd_Season,TV,Fall,2017,Narrator,https://myanimelist.net/character/141513/Narrator,141513,Supporting,0
34636,Ballroom e Youkoso,https://myanimelist.net/anime/34636/Ballroom_e_Youkoso,TV,Summer,2017,"Iwakuma, Yoshinori",https://myanimelist.net/character/130333/Yoshinori_Iwakuma,130333,Supporting,0
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,TV,Spring,2016,Speedwagon Foundation Ship Captain,https://myanimelist.net/character/166160/Speedwagon_Foundation_Ship_Captain,166160,Supporting,11
30419,"Wake Up, Girls! Beyond the Bottom",https://myanimelist.net/anime/30419/Wake_Up_Girls_Beyond_the_Bottom,Movie,,2015,"Asazu, Masaki",https://myanimelist.net/character/119127/Masaki_Asazu,119127,Supporting,0
28891,Haikyuu!! Second Season,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,TV,Fall,2015,"Matsukawa, Issei",https://myanimelist.net/character/106427/Issei_Matsukawa,106427,Supporting,58
28841,"Wake Up, Girls! Seishun no Kage",https://myanimelist.net/anime/28841/Wake_Up_Girls_Seishun_no_Kage,Movie,,2015,"Asazu, Masaki",https://myanimelist.net/character/119127/Masaki_Asazu,119127,Supporting,0
30364,Haikyuu!! Movie 2: Shousha to Haisha,https://myanimelist.net/anime/30364/Haikyuu_Movie_2__Shousha_to_Haisha,Movie,,2015,"Matsukawa, Issei",https://myanimelist.net/character/106427/Issei_Matsukawa,106427,Supporting,58
27663,Baby Steps 2nd Season,https://myanimelist.net/anime/27663/Baby_Steps_2nd_Season,TV,Spring,2015,"Yakabe, Tadanori",https://myanimelist.net/character/107071/Tadanori_Yakabe,107071,Supporting,0
27775,Plastic Memories,https://myanimelist.net/anime/27775/Plastic_Memories,TV,Spring,2015,"Kinushima, Father",https://myanimelist.net/character/128175/Father_Kinushima,128175,Supporting,0
23587,The iDOLM@STER Cinderella Girls,https://myanimelist.net/anime/23587/The_iDOLMSTER_Cinderella_Girls,TV,Winter,2015,"Shibuya, Father",https://myanimelist.net/character/124576/Father_Shibuya,124576,Supporting,0
20583,Haikyuu!!,https://myanimelist.net/anime/20583/Haikyuu,TV,Spring,2014,"Obara, Yutaka",https://myanimelist.net/character/110625/Yutaka_Obara,110625,Supporting,0
20583,Haikyuu!!,https://myanimelist.net/anime/20583/Haikyuu,TV,Spring,2014,"Matsukawa, Issei",https://myanimelist.net/character/106427/Issei_Matsukawa,106427,Supporting,58
19023,"Wake Up, Girls!",https://myanimelist.net/anime/19023/Wake_Up_Girls,TV,Winter,2014,"Asazu, Masaki",https://myanimelist.net/character/119127/Masaki_Asazu,119127,Supporting,0
20031,D-Frag!,https://myanimelist.net/anime/20031/D-Frag,TV,Winter,2014,Oohori,https://myanimelist.net/character/101019/Oohori,101019,Supporting,3
13331,Jormungand: Perfect Order,https://myanimelist.net/anime/13331/Jormungand__Perfect_Order,TV,Fall,2012,Kaburagi,https://myanimelist.net/character/250442/Kaburagi,250442,Supporting,0
235,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,TV,Winter,1996,Gyuunyuu Haitatsuin,https://myanimelist.net/character/180257/Gyuunyuu_Haitatsuin,180257,Supporting,0
