ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
37395,Zoids Wild,https://myanimelist.net/anime/37395/Zoids_Wild,TV,Summer,2018,Onigiri,https://myanimelist.net/character/177103/Onigiri,177103,Main,0
28595,Pac-World,https://myanimelist.net/anime/28595/Pac-World,TV,Spring,2014,Spiral,https://myanimelist.net/character/150999/Spiral,150999,Main,1
6288,Kidou Senshi Gundam 00 Movie: A Wakening of the Trailblazer,https://myanimelist.net/anime/6288/Kidou_Senshi_Gundam_00_Movie__A_Wakening_of_the_Trailblazer,Movie,,2010,"Erde, Tieria",https://myanimelist.net/character/4237/Tieria_Erde,4237,Main,450
4901,Black Lagoon: Roberta's Blood Trail,https://myanimelist.net/anime/4901/Black_Lagoon__Robertas_Blood_Trail,OVA,,2010,Lotton,https://myanimelist.net/character/4988/Lotton,4988,Supporting,46
4901,Black Lagoon: Roberta's Blood Trail,https://myanimelist.net/anime/4901/Black_Lagoon__Robertas_Blood_Trail,OVA,,2010,"Chi, Tou",https://myanimelist.net/character/249999/Tou_Chi,249999,Supporting,0
4901,Black Lagoon: Roberta's Blood Trail,https://myanimelist.net/anime/4901/Black_Lagoon__Robertas_Blood_Trail,OVA,,2010,Barrows,https://myanimelist.net/character/249998/Barrows,249998,Supporting,0
5039,Kurozuka,https://myanimelist.net/anime/5039/Kurozuka,TV,Fall,2008,Kuon,https://myanimelist.net/character/16692/Kuon,16692,Supporting,8
3927,Kidou Senshi Gundam 00 Second Season,https://myanimelist.net/anime/3927/Kidou_Senshi_Gundam_00_Second_Season,TV,Fall,2008,"Long, Hong",https://myanimelist.net/character/4248/Hong_Long,4248,Supporting,3
3927,Kidou Senshi Gundam 00 Second Season,https://myanimelist.net/anime/3927/Kidou_Senshi_Gundam_00_Second_Season,TV,Fall,2008,"Erde, Tieria",https://myanimelist.net/character/4237/Tieria_Erde,4237,Main,450
2581,Kidou Senshi Gundam 00,https://myanimelist.net/anime/2581/Kidou_Senshi_Gundam_00,TV,Fall,2007,"Erde, Tieria",https://myanimelist.net/character/4237/Tieria_Erde,4237,Main,450
2581,Kidou Senshi Gundam 00,https://myanimelist.net/anime/2581/Kidou_Senshi_Gundam_00,TV,Fall,2007,"Long, Hong",https://myanimelist.net/character/4248/Hong_Long,4248,Supporting,3
1535,Death Note,https://myanimelist.net/anime/1535/Death_Note,TV,Fall,2006,Shidoh,https://myanimelist.net/character/2402/Shidoh,2402,Supporting,43
1535,Death Note,https://myanimelist.net/anime/1535/Death_Note,TV,Fall,2006,"Loud, Stephen",https://myanimelist.net/character/3770/Stephen_Loud,3770,Supporting,20
1519,Black Lagoon: The Second Barrage,https://myanimelist.net/anime/1519/Black_Lagoon__The_Second_Barrage,TV,Fall,2006,Lotton,https://myanimelist.net/character/4988/Lotton,4988,Supporting,46
1519,Black Lagoon: The Second Barrage,https://myanimelist.net/anime/1519/Black_Lagoon__The_Second_Barrage,TV,Fall,2006,Moletti,https://myanimelist.net/character/200954/Moletti,200954,Supporting,0
1212,Oban Star-Racers,https://myanimelist.net/anime/1212/Oban_Star-Racers,TV,Fall,2006,"Wilde, Jordan",https://myanimelist.net/character/2777/Jordan_Wilde,2777,Main,26
1221,Demashita! Powerpuff Girls Z,https://myanimelist.net/anime/1221/Demashita_Powerpuff_Girls_Z,TV,Summer,2006,Soichiro,https://myanimelist.net/character/53645/Soichiro,53645,Supporting,0
2294,Kidou Senshi Gundam SEED Destiny Special Edition,https://myanimelist.net/anime/2294/Kidou_Senshi_Gundam_SEED_Destiny_Special_Edition,TV Special,,2006,"Zala, Athrun",https://myanimelist.net/character/114/Athrun_Zala,114,Main,982
877,Nana,https://myanimelist.net/anime/877/Nana,TV,Spring,2006,"Honjou, Ren",https://myanimelist.net/character/1425/Ren_Honjou,1425,Supporting,948
