ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
34430,Meitantei Conan Movie 21: Karakurenai no Love Letter,https://myanimelist.net/anime/34430/Meitantei_Conan_Movie_21__Karakurenai_no_Love_Letter,Movie,,2017,"Ootaki, Gorou",https://myanimelist.net/character/30374/Gorou_Ootaki,30374,Supporting,0
28621,Subete ga F ni Naru,https://myanimelist.net/anime/28621/Subete_ga_F_ni_Naru,TV,Fall,2015,Suwano,https://myanimelist.net/character/133449/Suwano,133449,Supporting,2
25013,Akatsuki no Yona,https://myanimelist.net/anime/25013/Akatsuki_no_Yona,TV,Fall,2014,"Kan, Su-jin",https://myanimelist.net/character/116939/Su-jin_Kan,116939,Supporting,0
12115,Berserk: Ougon Jidai-hen III - Kourin,https://myanimelist.net/anime/12115/Berserk__Ougon_Jidai-hen_III_-_Kourin,Movie,,2013,King of Midland,https://myanimelist.net/character/615/King_of_Midland,615,Supporting,5
14345,Btooom!,https://myanimelist.net/anime/14345/Btooom,TV,Fall,2012,Takanohashi,https://myanimelist.net/character/75880/Takanohashi,75880,Supporting,0
12113,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,https://myanimelist.net/anime/12113/Berserk__Ougon_Jidai-hen_II_-_Doldrey_Kouryaku,Movie,,2012,King of Midland,https://myanimelist.net/character/615/King_of_Midland,615,Supporting,5
10218,Berserk: Ougon Jidai-hen I - Haou no Tamago,https://myanimelist.net/anime/10218/Berserk__Ougon_Jidai-hen_I_-_Haou_no_Tamago,Movie,,2012,King of Midland,https://myanimelist.net/character/615/King_of_Midland,615,Supporting,5
1538,Pumpkin Scissors,https://myanimelist.net/anime/1538/Pumpkin_Scissors,TV,Fall,2006,Hunks,https://myanimelist.net/character/15984/Hunks,15984,Supporting,1
1013,Le Chevalier D'Eon,https://myanimelist.net/anime/1013/Le_Chevalier_DEon,TV,Summer,2006,Louis XV,https://myanimelist.net/character/2786/Louis_XV,2786,Supporting,1
1506,Meitantei Conan Movie 10: Tantei-tachi no Requiem,https://myanimelist.net/anime/1506/Meitantei_Conan_Movie_10__Tantei-tachi_no_Requiem,Movie,,2006,"Ootaki, Gorou",https://myanimelist.net/character/30374/Gorou_Ootaki,30374,Supporting,0
323,Mousou Dairinin,https://myanimelist.net/anime/323/Mousou_Dairinin,TV,Winter,2004,"Hirukawa, Masami",https://myanimelist.net/character/8718/Masami_Hirukawa,8718,Supporting,5
1366,Meitantei Conan Movie 07: Meikyuu no Crossroad,https://myanimelist.net/anime/1366/Meitantei_Conan_Movie_07__Meikyuu_no_Crossroad,Movie,,2003,"Ootaki, Gorou",https://myanimelist.net/character/30374/Gorou_Ootaki,30374,Supporting,0
1710,Rockman.EXE,https://myanimelist.net/anime/1710/RockmanEXE,TV,Spring,2002,"Magnets, Gauss",https://myanimelist.net/character/237296/Gauss_Magnets,237296,Supporting,0
1313,Digimon Adventure 02,https://myanimelist.net/anime/1313/Digimon_Adventure_02,TV,Spring,2000,"Oikawa, Yukio",https://myanimelist.net/character/40158/Yukio_Oikawa,40158,Supporting,5
232,Cardcaptor Sakura,https://myanimelist.net/anime/232/Cardcaptor_Sakura,TV,Spring,1998,"Amamiya, Masaki",https://myanimelist.net/character/87717/Masaki_Amamiya,87717,Supporting,0
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,https://myanimelist.net/anime/46/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Ishinshishi_e_no_Chinkonka,Movie,,1997,"Yamagata, Aritomo",https://myanimelist.net/character/41458/Aritomo_Yamagata,41458,Supporting,1
779,Meitantei Conan Movie 01: Tokei Jikake no Matenrou,https://myanimelist.net/anime/779/Meitantei_Conan_Movie_01__Tokei_Jikake_no_Matenrou,Movie,,1997,"Moriya, Teiji",https://myanimelist.net/character/41784/Teiji_Moriya,41784,Supporting,2
235,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,TV,Winter,1996,"Ootaki, Gorou",https://myanimelist.net/character/30374/Gorou_Ootaki,30374,Supporting,0
2000,Roujin Z,https://myanimelist.net/anime/2000/Roujin_Z,Movie,,1991,"Minagawa, Director",https://myanimelist.net/character/61265/Director_Minagawa,61265,Supporting,0
986,Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,https://myanimelist.net/anime/986/Dragon_Ball_Z_Special_1__Tatta_Hitori_no_Saishuu_Kessen,TV Special,,1990,Dodoria,https://myanimelist.net/character/9239/Dodoria,9239,Supporting,2
813,Dragon Ball Z,https://myanimelist.net/anime/813/Dragon_Ball_Z,TV,Spring,1989,Dodoria,https://myanimelist.net/character/9239/Dodoria,9239,Supporting,2
