ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
58510,Hanma Baki vs. Kengan Ashura,https://myanimelist.net/anime/58510/Hanma_Baki_vs_Kengan_Ashura,ONA,,2024,Narrator,https://myanimelist.net/character/166677/Narrator,166677,Supporting,2
52405,Highspeed Etoile,https://myanimelist.net/anime/52405/Highspeed_Etoile,TV,Spring,2024,Narrator,https://myanimelist.net/character/236137/Narrator,236137,Supporting,0
52359,Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,https://myanimelist.net/anime/52359/Isekai_de_Mofumofu_Nadenade_suru_Tame_ni_Ganbattemasu,TV,Winter,2024,"Osfe, Daleland",https://myanimelist.net/character/237744/Daleland_Osfe,237744,Supporting,0
51318,Hanma Baki: Son of Ogre 2nd Season,https://myanimelist.net/anime/51318/Hanma_Baki__Son_of_Ogre_2nd_Season,ONA,,2023,Narrator,https://myanimelist.net/character/166677/Narrator,166677,Supporting,2
53540,Meitantei Conan Movie 26: Kurogane no Submarine,https://myanimelist.net/anime/53540/Meitantei_Conan_Movie_26__Kurogane_no_Submarine,Movie,,2023,"Amuro, Tooru",https://myanimelist.net/character/62041/Tooru_Amuro,62041,Supporting,692
52229,Birdie Wing: Golf Girls' Story Season 2,https://myanimelist.net/anime/52229/Birdie_Wing__Golf_Girls_Story_Season_2,TV,Spring,2023,"Amuro, Reiya",https://myanimelist.net/character/206911/Reiya_Amuro,206911,Supporting,0
51586,D4DJ All Mix,https://myanimelist.net/anime/51586/D4DJ_All_Mix,TV,Winter,2023,"Kofune, Ryuujin",https://myanimelist.net/character/187561/Ryuujin_Kofune,187561,Supporting,0
50010,Meitantei Conan: Hannin no Hanzawa-san,https://myanimelist.net/anime/50010/Meitantei_Conan__Hannin_no_Hanzawa-san,TV,Fall,2022,"Amuro, Tooru",https://myanimelist.net/character/62041/Tooru_Amuro,62041,Supporting,692
49827,Kidou Senshi Gundam: Cucuruz Doan no Shima,https://myanimelist.net/anime/49827/Kidou_Senshi_Gundam__Cucuruz_Doan_no_Shima,Movie,,2022,"Ray, Amuro",https://myanimelist.net/character/1335/Amuro_Ray,1335,Main,1185
49320,Meitantei Conan Movie 25: Halloween no Hanayome,https://myanimelist.net/anime/49320/Meitantei_Conan_Movie_25__Halloween_no_Hanayome,Movie,,2022,"Amuro, Tooru",https://myanimelist.net/character/62041/Tooru_Amuro,62041,Main,692
50248,Birdie Wing: Golf Girls' Story,https://myanimelist.net/anime/50248/Birdie_Wing__Golf_Girls_Story,TV,Spring,2022,"Amuro, Reiya",https://myanimelist.net/character/206911/Reiya_Amuro,206911,Supporting,0
50012,Meitantei Conan: Zero no Tea Time,https://myanimelist.net/anime/50012/Meitantei_Conan__Zero_no_Tea_Time,TV,Spring,2022,"Amuro, Tooru",https://myanimelist.net/character/62041/Tooru_Amuro,62041,Main,692
42886,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,https://myanimelist.net/anime/42886/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Gekitotsu,Movie,,2022,Flegel,https://myanimelist.net/character/69959/Flegel,69959,Supporting,1
35136,Koukyoushihen Eureka Seven Hi-Evolution 3: Eureka,https://myanimelist.net/anime/35136/Koukyoushihen_Eureka_Seven_Hi-Evolution_3__Eureka,Movie,,2021,"Thurston, Adroc",https://myanimelist.net/character/30855/Adroc_Thurston,30855,Supporting,6
42940,Hanma Baki: Son of Ogre,https://myanimelist.net/anime/42940/Hanma_Baki__Son_of_Ogre,ONA,,2021,Narrator,https://myanimelist.net/character/166677/Narrator,166677,Supporting,2
48612,Journey: Taiko Arabia Hantou de no Kiseki to Tatakai no Monogatari,https://myanimelist.net/anime/48612/Journey__Taiko_Arabia_Hantou_de_no_Kiseki_to_Tatakai_no_Monogatari,Movie,,2021,"Ibn Jubair, Aws",https://myanimelist.net/character/203862/Aws_Ibn_Jubair,203862,Main,14
37765,Kidou Senshi Gundam: Senkou no Hathaway,https://myanimelist.net/anime/37765/Kidou_Senshi_Gundam__Senkou_no_Hathaway,Movie,,2021,"Ray, Amuro",https://myanimelist.net/character/1335/Amuro_Ray,1335,Supporting,1185
47413,Meitantei Conan: Hiiro no Fuzai Shoumei,https://myanimelist.net/anime/47413/Meitantei_Conan__Hiiro_no_Fuzai_Shoumei,Movie,,2021,"Amuro, Tooru",https://myanimelist.net/character/62041/Tooru_Amuro,62041,Supporting,692
46491,Santa Company: Manatsu no Merry Christmas,https://myanimelist.net/anime/46491/Santa_Company__Manatsu_no_Merry_Christmas,Movie,,2021,Edison,https://myanimelist.net/character/191487/Edison,191487,Supporting,1
39681,D4DJ First Mix,https://myanimelist.net/anime/39681/D4DJ_First_Mix,TV,Fall,2020,"Kofune, Ryuujin",https://myanimelist.net/character/187561/Ryuujin_Kofune,187561,Supporting,0
39555,Baki: Dai Raitaisai-hen,https://myanimelist.net/anime/39555/Baki__Dai_Raitaisai-hen,ONA,,2020,Narrator,https://myanimelist.net/character/166677/Narrator,166677,Supporting,2
40314,Sekaiichi Hatsukoi: Propose-hen,https://myanimelist.net/anime/40314/Sekaiichi_Hatsukoi__Propose-hen,Movie,,2020,"Kirishima, Zen",https://myanimelist.net/character/50795/Zen_Kirishima,50795,Main,72
41063,Kidou Senshi Gundam G40,https://myanimelist.net/anime/41063/Kidou_Senshi_Gundam_G40,ONA,,2020,"Ray, Amuro",https://myanimelist.net/character/1335/Amuro_Ray,1335,Main,1185
36371,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,https://myanimelist.net/anime/36371/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Seiran_3,Movie,,2019,Flegel,https://myanimelist.net/character/69959/Flegel,69959,Supporting,1
36370,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,https://myanimelist.net/anime/36370/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Seiran_2,Movie,,2019,Flegel,https://myanimelist.net/character/69959/Flegel,69959,Supporting,1
36369,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,https://myanimelist.net/anime/36369/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Seiran_1,Movie,,2019,Flegel,https://myanimelist.net/character/69959/Flegel,69959,Supporting,1
38234,One Piece Movie 14: Stampede,https://myanimelist.net/anime/38234/One_Piece_Movie_14__Stampede,Movie,,2019,Sabo,https://myanimelist.net/character/32893/Sabo,32893,Supporting,1774
39592,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,https://myanimelist.net/anime/39592/Kidou_Senshi_Gundam__The_Origin_-_Zenya_Akai_Suisei,TV,Spring,2019,"Ray, Amuro",https://myanimelist.net/character/1335/Amuro_Ray,1335,Main,1185
39674,Gundam vs Hello Kitty,https://myanimelist.net/anime/39674/Gundam_vs_Hello_Kitty,ONA,,2019,"Ray, Amuro",https://myanimelist.net/character/1335/Amuro_Ray,1335,Main,1185
37885,Super Dragon Ball Heroes,https://myanimelist.net/anime/37885/Super_Dragon_Ball_Heroes,ONA,,2018,Yamcha,https://myanimelist.net/character/4014/Yamcha,4014,Supporting,426
34443,Baki,https://myanimelist.net/anime/34443/Baki,ONA,,2018,Narrator,https://myanimelist.net/character/166677/Narrator,166677,Supporting,2
35798,Meitantei Conan Movie 22: Zero no Shikkounin,https://myanimelist.net/anime/35798/Meitantei_Conan_Movie_22__Zero_no_Shikkounin,Movie,,2018,"Amuro, Tooru",https://myanimelist.net/character/62041/Tooru_Amuro,62041,Main,692
37140,Gegege no Kitarou (2018),https://myanimelist.net/anime/37140/Gegege_no_Kitarou_2018,TV,Spring,2018,Ibukimaru,https://myanimelist.net/character/177196/Ibukimaru,177196,Supporting,0
35134,Koukyoushihen Eureka Seven Hi-Evolution 1,https://myanimelist.net/anime/35134/Koukyoushihen_Eureka_Seven_Hi-Evolution_1,Movie,,2017,"Thurston, Adroc",https://myanimelist.net/character/30855/Adroc_Thurston,30855,Supporting,6
35567,Gundam Build Fighters: Battlogue,https://myanimelist.net/anime/35567/Gundam_Build_Fighters__Battlogue,ONA,,2017,"Ray, Amuro",https://myanimelist.net/character/1335/Amuro_Ray,1335,Main,1185
35567,Gundam Build Fighters: Battlogue,https://myanimelist.net/anime/35567/Gundam_Build_Fighters__Battlogue,ONA,,2017,"Almark, Ribbons",https://myanimelist.net/character/11354/Ribbons_Almark,11354,Supporting,36
34034,Pokemon Sun & Moon,https://myanimelist.net/anime/34034/Pokemon_Sun___Moon,TV,Fall,2016,'Olu'olu,https://myanimelist.net/character/152374/_039_Olu_039_olu,152374,Supporting,0
31490,One Piece Film: Gold,https://myanimelist.net/anime/31490/One_Piece_Film__Gold,Movie,,2016,Sabo,https://myanimelist.net/character/32893/Sabo,32893,Supporting,1774
32005,Meitantei Conan Movie 20: Junkoku no Nightmare,https://myanimelist.net/anime/32005/Meitantei_Conan_Movie_20__Junkoku_no_Nightmare,Movie,,2016,"Amuro, Tooru",https://myanimelist.net/character/62041/Tooru_Amuro,62041,Supporting,692
31289,One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,https://myanimelist.net/anime/31289/One_Piece__Episode_of_Sabo_-_3_Kyoudai_no_Kizuna_Kiseki_no_Saikai_to_Uketsugareru_Ishi,TV Special,,2015,Sabo,https://myanimelist.net/character/32893/Sabo,32893,Main,1774
25649,Junjou Romantica 3,https://myanimelist.net/anime/25649/Junjou_Romantica_3,TV,Summer,2015,"Kirishima, Zen",https://myanimelist.net/character/50795/Zen_Kirishima,50795,Supporting,72
30694,Dragon Ball Super,https://myanimelist.net/anime/30694/Dragon_Ball_Super,TV,Summer,2015,Yamcha,https://myanimelist.net/character/4014/Yamcha,4014,Supporting,426
10937,Kidou Senshi Gundam: The Origin,https://myanimelist.net/anime/10937/Kidou_Senshi_Gundam__The_Origin,OVA,,2015,"Ray, Amuro",https://myanimelist.net/character/1335/Amuro_Ray,1335,Supporting,1185
13391,Rakuen Tsuihou,https://myanimelist.net/anime/13391/Rakuen_Tsuihou,Movie,,2014,"Percy, Alonzo",https://myanimelist.net/character/121005/Alonzo_Percy,121005,Supporting,0
22777,Dragon Ball Kai (2014),https://myanimelist.net/anime/22777/Dragon_Ball_Kai_2014,TV,Spring,2014,Yamcha,https://myanimelist.net/character/4014/Yamcha,4014,Supporting,426
20371,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,https://myanimelist.net/anime/20371/Sekaiichi_Hatsukoi_Movie__Yokozawa_Takafumi_no_Baai,Movie,,2014,"Kirishima, Zen",https://myanimelist.net/character/50795/Zen_Kirishima,50795,Main,72
20815,Sekaiichi Hatsukoi: Valentine-hen,https://myanimelist.net/anime/20815/Sekaiichi_Hatsukoi__Valentine-hen,Movie,,2014,"Kirishima, Zen",https://myanimelist.net/character/50795/Zen_Kirishima,50795,Main,72
14837,Dragon Ball Z Movie 14: Kami to Kami,https://myanimelist.net/anime/14837/Dragon_Ball_Z_Movie_14__Kami_to_Kami,Movie,,2013,Yamcha,https://myanimelist.net/character/4014/Yamcha,4014,Supporting,426
14093,Pokemon Best Wishes! Season 2,https://myanimelist.net/anime/14093/Pokemon_Best_Wishes_Season_2,TV,Summer,2012,Arti,https://myanimelist.net/character/39598/Arti,39598,Supporting,6
12929,Saint Seiya Omega,https://myanimelist.net/anime/12929/Saint_Seiya_Omega,TV,Spring,2012,"Pegasus, Seiya",https://myanimelist.net/character/2285/Seiya_Pegasus,2285,Supporting,588
12929,Saint Seiya Omega,https://myanimelist.net/anime/12929/Saint_Seiya_Omega,TV,Spring,2012,Narrator,https://myanimelist.net/character/104709/Narrator,104709,Supporting,0
10798,Un-Go,https://myanimelist.net/anime/10798/Un-Go,TV,Fall,2011,"Shimada, Jirou",https://myanimelist.net/character/55573/Jirou_Shimada,55573,Supporting,0
9863,SKET Dance,https://myanimelist.net/anime/9863/SKET_Dance,TV,Spring,2011,"Hinohara, Enta",https://myanimelist.net/character/43085/Enta_Hinohara,43085,Supporting,0
9969,Gintama',https://myanimelist.net/anime/9969/Gintama,TV,Spring,2011,Elizabeth,https://myanimelist.net/character/2946/Elizabeth,2946,Supporting,1111
8247,Bleach Movie 4: Jigoku-hen,https://myanimelist.net/anime/8247/Bleach_Movie_4__Jigoku-hen,Movie,,2010,Shuren,https://myanimelist.net/character/38393/Shuren,38393,Supporting,6
9107,Pokemon Best Wishes!,https://myanimelist.net/anime/9107/Pokemon_Best_Wishes,TV,Fall,2010,Arti,https://myanimelist.net/character/39598/Arti,39598,Supporting,6
6288,Kidou Senshi Gundam 00 Movie: A Wakening of the Trailblazer,https://myanimelist.net/anime/6288/Kidou_Senshi_Gundam_00_Movie__A_Wakening_of_the_Trailblazer,Movie,,2010,"Ray, Alan",https://myanimelist.net/character/78027/Alan_Ray,78027,Supporting,0
6634,Sengoku Basara Ni,https://myanimelist.net/anime/6634/Sengoku_Basara_Ni,TV,Summer,2010,"Oyamada, Nobushige",https://myanimelist.net/character/36183/Nobushige_Oyamada,36183,Supporting,2
6114,Rainbow: Nisha Rokubou no Shichinin,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin,TV,Spring,2010,Tanaka,https://myanimelist.net/character/263248/Tanaka,263248,Supporting,0
7144,Uchuu Senkan Yamato: Fukkatsu-hen,https://myanimelist.net/anime/7144/Uchuu_Senkan_Yamato__Fukkatsu-hen,Movie,,2009,"Tokugawa, Tasuke",https://myanimelist.net/character/59139/Tasuke_Tokugawa,59139,Supporting,1
7270,Kidou Senshi Gundam 00 Special Edition,https://myanimelist.net/anime/7270/Kidou_Senshi_Gundam_00_Special_Edition,OVA,,2009,"Almark, Ribbons",https://myanimelist.net/character/11354/Ribbons_Almark,11354,Supporting,36
6774,Kuuchuu Buranko,https://myanimelist.net/anime/6774/Kuuchuu_Buranko,TV,Fall,2009,"Tsuda, Hideo",https://myanimelist.net/character/28932/Hideo_Tsuda,28932,Supporting,0
4246,Koukyoushihen Eureka Seven: Pocket ga Niji de Ippai,https://myanimelist.net/anime/4246/Koukyoushihen_Eureka_Seven__Pocket_ga_Niji_de_Ippai,Movie,,2009,"Thurston, Adroc",https://myanimelist.net/character/30855/Adroc_Thurston,30855,Supporting,6
6033,Dragon Ball Kai,https://myanimelist.net/anime/6033/Dragon_Ball_Kai,TV,Spring,2009,Yamcha,https://myanimelist.net/character/4014/Yamcha,4014,Supporting,426
