ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
269,Bleach,https://myanimelist.net/anime/269/Bleach,TV,Fall,2004,"Kurosaki, Masaki",https://myanimelist.net/character/22849/Masaki_Kurosaki,22849,Supporting,22
442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Ninpouchou Dattebayo!,https://myanimelist.net/anime/442/Naruto_Movie_1__Dai_Katsugeki_Yuki_Hime_Ninpouchou_Dattebayo,Movie,,2004,"Kakuyoku, Fubuki",https://myanimelist.net/character/109063/Fubuki_Kakuyoku,109063,Supporting,1
109,Bakuretsu Tenshi,https://myanimelist.net/anime/109/Bakuretsu_Tenshi,TV,Spring,2004,Sei,https://myanimelist.net/character/768/Sei,768,Main,30
20,Naruto,https://myanimelist.net/anime/20/Naruto,TV,Fall,2002,"Mitarashi, Anko",https://myanimelist.net/character/809/Anko_Mitarashi,809,Supporting,185
20,Naruto,https://myanimelist.net/anime/20/Naruto,TV,Fall,2002,Haku,https://myanimelist.net/character/2039/Haku,2039,Supporting,853
181,Vandread: The Second Stage,https://myanimelist.net/anime/181/Vandread__The_Second_Stage,TV,Fall,2001,"Rheingau, Gascogne",https://myanimelist.net/character/1738/Gascogne_Rheingau,1738,Supporting,5
180,Vandread,https://myanimelist.net/anime/180/Vandread,TV,Fall,2000,"Rheingau, Gascogne",https://myanimelist.net/character/1738/Gascogne_Rheingau,1738,Supporting,5
232,Cardcaptor Sakura,https://myanimelist.net/anime/232/Cardcaptor_Sakura,TV,Spring,1998,"Kinomoto, Nadeshiko",https://myanimelist.net/character/3615/Nadeshiko_Kinomoto,3615,Supporting,34
232,Cardcaptor Sakura,https://myanimelist.net/anime/232/Cardcaptor_Sakura,TV,Spring,1998,"Matsumoto, Maki",https://myanimelist.net/character/50347/Maki_Matsumoto,50347,Supporting,2
996,Bishoujo Senshi Sailor Moon: Sailor Stars,https://myanimelist.net/anime/996/Bishoujo_Senshi_Sailor_Moon__Sailor_Stars,TV,Spring,1996,"Taiki, Kou",https://myanimelist.net/character/2877/Kou_Taiki,2877,Main,11
876,Street Fighter II V,https://myanimelist.net/anime/876/Street_Fighter_II_V,TV,Spring,1995,"White, Cammy",https://myanimelist.net/character/9915/Cammy_White,9915,Supporting,57
1239,Bishoujo Senshi Sailor Moon SuperS,https://myanimelist.net/anime/1239/Bishoujo_Senshi_Sailor_Moon_SuperS,TV,Spring,1995,"Nishimura, Reika",https://myanimelist.net/character/18349/Reika_Nishimura,18349,Supporting,0
740,Bishoujo Senshi Sailor Moon R,https://myanimelist.net/anime/740/Bishoujo_Senshi_Sailor_Moon_R,TV,Spring,1993,Queen Serenity,https://myanimelist.net/character/17010/Queen_Serenity,17010,Supporting,34
1254,Saint Seiya,https://myanimelist.net/anime/1254/Saint_Seiya,TV,Fall,1986,Natasha,https://myanimelist.net/character/105393/Natasha,105393,Supporting,0
732,Vampire Hunter D,https://myanimelist.net/anime/732/Vampire_Hunter_D,Movie,,1985,"Lang, Doris",https://myanimelist.net/character/18355/Doris_Lang,18355,Main,2
1433,Lupin III: Babylon no Ougon Densetsu,https://myanimelist.net/anime/1433/Lupin_III__Babylon_no_Ougon_Densetsu,Movie,,1985,"Mine, Fujiko",https://myanimelist.net/character/1047/Fujiko_Mine,1047,Main,816
1293,Urusei Yatsura,https://myanimelist.net/anime/1293/Urusei_Yatsura,TV,Fall,1981,"Miyake, Shinobu",https://myanimelist.net/character/4837/Shinobu_Miyake,4837,Main,24
3873,Honey Honey no Suteki na Bouken,https://myanimelist.net/anime/3873/Honey_Honey_no_Suteki_na_Bouken,TV,Fall,1981,"Honey, Honey",https://myanimelist.net/character/118469/Honey_Honey,118469,Main,0
3043,Andersen Douwa: Ningyohime,https://myanimelist.net/anime/3043/Andersen_Douwa__Ningyohime,Movie,,1975,Marina,https://myanimelist.net/character/17439/Marina,17439,Main,4
