ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
42429,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,https://myanimelist.net/anime/42429/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen_3rd_Season,TV,Spring,2022,Dalua,https://myanimelist.net/character/212274/Dalua,212274,Supporting,0
43691,Kageki Shoujo!!,https://myanimelist.net/anime/43691/Kageki_Shoujo,TV,Summer,2021,Ken,https://myanimelist.net/character/251937/Ken,251937,Supporting,0
38161,Kabukichou Sherlock,https://myanimelist.net/anime/38161/Kabukichou_Sherlock,TV,Fall,2019,Kobura,https://myanimelist.net/character/174763/Kobura,174763,Supporting,0
39523,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,https://myanimelist.net/anime/39523/Choujin_Koukousei-tachi_wa_Isekai_demo_Yoyuu_de_Ikinuku_you_desu,TV,Fall,2019,Marco,https://myanimelist.net/character/175278/Marco,175278,Supporting,0
35586,Jinryoku Senkan!? Shiokaze Sawakaze,https://myanimelist.net/anime/35586/Jinryoku_Senkan_Shiokaze_Sawakaze,ONA,,2017,Shiokaze,https://myanimelist.net/character/164300/Shiokaze,164300,Main,0
33433,Shuumatsu no Izetta,https://myanimelist.net/anime/33433/Shuumatsu_no_Izetta,TV,Fall,2016,"Gallea, Jonas",https://myanimelist.net/character/145116/Jonas_Gallea,145116,Supporting,1
32248,Masamune Datenicle,https://myanimelist.net/anime/32248/Masamune_Datenicle,ONA,,2016,10-dai Ujimune,https://myanimelist.net/character/154352/10-dai_Ujimune,154352,Supporting,0
25013,Akatsuki no Yona,https://myanimelist.net/anime/25013/Akatsuki_no_Yona,TV,Fall,2014,Fook-chi,https://myanimelist.net/character/116943/Fook-chi,116943,Supporting,1
25013,Akatsuki no Yona,https://myanimelist.net/anime/25013/Akatsuki_no_Yona,TV,Fall,2014,Maya,https://myanimelist.net/character/124488/Maya,124488,Supporting,0
16512,Devil Survivor 2 The Animation,https://myanimelist.net/anime/16512/Devil_Survivor_2_The_Animation,TV,Spring,2013,Commander,https://myanimelist.net/character/253904/Commander,253904,Supporting,0
10321,Uta no☆Prince-sama♪ Maji Love 1000%,https://myanimelist.net/anime/10321/Uta_no☆Prince-sama♪_Maji_Love_1000,TV,Summer,2011,Ren's Father,https://myanimelist.net/character/263628/Ren_039_s_Father,263628,Supporting,0
10321,Uta no☆Prince-sama♪ Maji Love 1000%,https://myanimelist.net/anime/10321/Uta_no☆Prince-sama♪_Maji_Love_1000,TV,Summer,2011,Himuro,https://myanimelist.net/character/263629/Himuro,263629,Supporting,0
9367,Freezing,https://myanimelist.net/anime/9367/Freezing,TV,Winter,2011,"Minase, Kyoichi",https://myanimelist.net/character/82187/Kyoichi_Minase,82187,Supporting,0
6169,Tenjoubito to Akutobito Saigo no Tatakai,https://myanimelist.net/anime/6169/Tenjoubito_to_Akutobito_Saigo_no_Tatakai,Movie,,2009,Louie,https://myanimelist.net/character/221228/Louie,221228,Supporting,0
5702,Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,https://myanimelist.net/anime/5702/Sora_wo_Miageru_Shoujo_no_Hitomi_ni_Utsuru_Sekai,TV,Winter,2009,Louie,https://myanimelist.net/character/221228/Louie,221228,Supporting,0
