ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
38015,Shika no Ou: Yuna to Yakusoku no Tabi,https://myanimelist.net/anime/38015/Shika_no_Ou__Yuna_to_Yakusoku_no_Tabi,Movie,,2022,Arisa,https://myanimelist.net/character/205911/Arisa,205911,Supporting,0
40454,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,https://myanimelist.net/anime/40454/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_III,TV,Fall,2020,"Lion, Ryuu",https://myanimelist.net/character/116183/Ryuu_Lion,116183,Supporting,2494
40453,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,https://myanimelist.net/anime/40453/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II_OVA,OVA,,2020,"Lion, Ryuu",https://myanimelist.net/character/116183/Ryuu_Lion,116183,Supporting,2494
37348,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,https://myanimelist.net/anime/37348/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_Movie__Orion_no_Ya,Movie,,2019,"Lion, Ryuu",https://myanimelist.net/character/116183/Ryuu_Lion,116183,Supporting,2494
30749,Saijaku Muhai no Bahamut,https://myanimelist.net/anime/30749/Saijaku_Muhai_no_Bahamut,TV,Winter,2016,"Mayclaire, Altelise",https://myanimelist.net/character/140017/Altelise_Mayclaire,140017,Supporting,1
31710,Divine Gate,https://myanimelist.net/anime/31710/Divine_Gate,TV,Winter,2016,Mordred,https://myanimelist.net/character/135697/Mordred,135697,Supporting,1
18617,Girls & Panzer Movie,https://myanimelist.net/anime/18617/Girls___Panzer_Movie,Movie,,2015,"Isuzu, Hana",https://myanimelist.net/character/62943/Hana_Isuzu,62943,Main,126
24921,Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,https://myanimelist.net/anime/24921/Aoki_Hagane_no_Arpeggio__Ars_Nova_Movie_2_-_Cadenza,Movie,,2015,Kongou,https://myanimelist.net/character/88651/Kongou,88651,Supporting,129
27787,Nisekoi:,https://myanimelist.net/anime/27787/Nisekoi_,TV,Spring,2015,Iwashita,https://myanimelist.net/character/127204/Iwashita,127204,Supporting,0
24439,Kekkai Sensen,https://myanimelist.net/anime/24439/Kekkai_Sensen,TV,Spring,2015,Angelica,https://myanimelist.net/character/129084/Angelica,129084,Supporting,0
