ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
4087,Michiko to Hatchin,https://myanimelist.net/anime/4087/Michiko_to_Hatchin,TV,Fall,2008,"Lima, Pepê",https://myanimelist.net/character/15926/Pepê_Lima,15926,Supporting,7
790,Ergo Proxy,https://myanimelist.net/anime/790/Ergo_Proxy,TV,Winter,2006,"Mayer, Re-l",https://myanimelist.net/character/643/Re-l_Mayer,643,Main,4878
205,Samurai Champloo,https://myanimelist.net/anime/205/Samurai_Champloo,TV,Spring,2004,Budoukiba,https://myanimelist.net/character/411/Budoukiba,411,Supporting,0
393,Escaflowne,https://myanimelist.net/anime/393/Escaflowne,Movie,,2000,Eriya,https://myanimelist.net/character/9372/Eriya,9372,Supporting,2
245,Great Teacher Onizuka,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,TV,Summer,1999,Miss Sagara,https://myanimelist.net/character/33964/Miss_Sagara,33964,Supporting,1
6,Trigun,https://myanimelist.net/anime/6/Trigun,TV,Spring,1998,"Aura Cayzen, Marianne",https://myanimelist.net/character/129896/Marianne_Aura_Cayzen,129896,Supporting,0
537,Tekken,https://myanimelist.net/anime/537/Tekken,OVA,,1998,"Kazama, Jun",https://myanimelist.net/character/4670/Jun_Kazama,4670,Main,20
1647,Kakugo no Susume,https://myanimelist.net/anime/1647/Kakugo_no_Susume,OVA,,1996,"Uchiyama, Hiroko",https://myanimelist.net/character/77895/Hiroko_Uchiyama,77895,Supporting,0
84,Kidou Senshi Gundam 0083: Stardust Memory,https://myanimelist.net/anime/84/Kidou_Senshi_Gundam_0083__Stardust_Memory,OVA,,1991,"Boscht, Mora",https://myanimelist.net/character/131272/Mora_Boscht,131272,Supporting,8
3305,Muteki Koujin Daitarn 3,https://myanimelist.net/anime/3305/Muteki_Koujin_Daitarn_3,TV,Summer,1978,"Sanjou, Reika",https://myanimelist.net/character/39124/Reika_Sanjou,39124,Main,1
4808,Hurricane Polymar,https://myanimelist.net/anime/4808/Hurricane_Polymar,TV,Fall,1974,"Nanba, Teru",https://myanimelist.net/character/57167/Teru_Nanba,57167,Main,1
5658,Great Mazinger,https://myanimelist.net/anime/5658/Great_Mazinger,TV,Fall,1974,"Yumi, Sayaka",https://myanimelist.net/character/20201/Sayaka_Yumi,20201,Supporting,12
2225,Alps no Shoujo Heidi,https://myanimelist.net/anime/2225/Alps_no_Shoujo_Heidi,TV,Winter,1974,"Sesemann, Clara",https://myanimelist.net/character/17787/Clara_Sesemann,17787,Supporting,16
4810,Shinzou Ningen Casshern,https://myanimelist.net/anime/4810/Shinzou_Ningen_Casshern,TV,Fall,1973,"Kozuki, Luna",https://myanimelist.net/character/16196/Luna_Kozuki,16196,Supporting,16
